fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
slavish,adj. 奴隶的；奴性的；卑屈的；盲从的
strained,"v. 使紧张（动词strain的过去式和过去分词）
adj. 紧张的；勉强的；牵强附会的；滤过的"
groom,"vi. 打扮
vt. 整饰；推荐；喂马；刷洗（马等）
n. 新郎；马夫；男仆"
shun,vt. 避开，避免；回避
civility,n. 礼貌；礼仪；端庄
gentility,n. 有教养，文雅；上流阶层
loutish,adj. 粗野的；笨拙的；无礼的
cumulative,adj. 累积的
trivial,adj. 不重要的，琐碎的；琐细的
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
resonance,n.  共振；共鸣；反响
feminism,n. 女权主义；女权运动；男女平等主义
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
derision,n. 嘲笑；嘲笑的对象
imbecile,"n. 低能者；愚蠢的人
adj. 低能的；愚笨的；虚弱的"
parasite,n. 寄生虫；食客
villainous,adj. 罪恶的；恶棍的；恶毒的；坏透的
toff,n. 有钱人；花花公子；爱打扮的人
constraint,n.  约束；局促，态度不自然；强制
failing,"prep. 如果没有…
n. 失败；缺点，过失；弱点
v. 失败；不及格（fail的ing形式）
adj. 失败的"
trendy,"n. 追求时髦者；新潮人物
adj. 时髦的，流行的"
bemoan,"vt. 惋惜；为…恸哭
vi. 叹息"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
sartorial,adj. 裁缝的；缝纫的；裁缝匠的
aspiration,n. 渴望；抱负；送气；吸气；吸引术
ubiquitous,adj. 普遍存在的；无所不在的
utilitarian,"n. 功利主义者
adj. 功利的；功利主义的；实利的"
impoverishment,n. 贫穷；致使贫乏或贫瘠之事物
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
orientation,n. 方向；定向；适应；情况介绍；向东方
oxidize,"vt. 使氧化；使生锈
vi. 氧化"
nectar,n.  花蜜；甘露；神酒；任何美味的饮料
flex,"n. 屈曲；电线；松紧带
vt. 折曲；使收缩
adj. 弹性工作制的
vi. 弯曲；收缩"
abyss,n. 深渊；深邃，无底洞，地狱
crook,"n. 骗子，坏蛋；弯处，弯曲部分；钩状物
vt. 使弯曲；欺骗，诈骗
vi. 弯曲，成钩形"
aerosol,"n.  气溶胶；气雾剂；喷雾器；浮质
adj. 喷雾的；喷雾器的"
prowess,n. 英勇；超凡技术；勇猛
detest,vt. 厌恶；憎恨
defraud,"vi. 进行诈骗（过去式defrauded，过去分词defrauded，现在分词defrauding，第三人称单数defrauds，名词defraudation）
vt. 欺骗"
zest,"n. 风味；热心；强烈的兴趣
vt. 给…调味"
rigging,n. 索具，绳索；装备，传动装置
swirl,"n. 漩涡；打旋；涡状形
vi. 盘绕；打旋；眩晕；大口喝酒
vt. 使成漩涡"
trudge,"n. 长途跋涉；沉重的步伐
vt. 跋涉
vi. 跋涉；步履艰难地走"
tributary,"n. 支流；进贡国；附属国
adj. 纳贡的；附属的；辅助的"
stub,"n. 存根；烟蒂；树桩；断株
vt. 踩熄；连根拔除"
truce,"n. 停战；休战；休战协定
vt. 以休战结束；停止争执
vi. 停战"
fetter,"n. 束缚；羁绊；脚镣
vt. 束缚；加脚镣"
languish,vi. 憔悴；凋萎；失去活力；苦思
inhibit,vt. 抑制；禁止
being,"n. 存在；生命；本质；品格
adj. 存在的；现有的"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
subliminal,"n. 潜意识；阈下意识
adj.  阈下的；潜在意识的；微小得难以察觉的"
draught,"n. 气流；汇票；草稿（等于draft）
vt. 起草；征兵；选派（等于draft）
adj. 汲出的；拖拉的（等于draft）"
chimpanzee,n.  黑猩猩
generate,vt. 使形成；发生；生殖；产生物理反应
subvert,vt. 颠覆；推翻；破坏
cynic,"adj. 犬儒学派的
n. 愤世嫉俗者；犬儒学派的人"
filial,adj. 孝顺的；子女的，当做子女的
