voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
repetition,n. 重复；背诵；副本
American,"n. 美国人，美洲人；美国英语
adj. 美国的，美洲的；地道美国式的"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
route,"n. 路线；航线；通道
vt. 按某路线发送"
discovery,n. 发现，发觉；被发现的事物
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
rose,"n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒
adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的
vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味
vi. 起义( rise的过去式)；升起；（数量）增加；休会"
risen,"v. 升高；站起来；反抗（rise的过去分词）
adj. 升起的"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
relation,n. 关系；叙述；故事；亲属关系
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
foreign,adj. 外国的；外交的；异质的；不相关的
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
Africa,n. 非洲
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
giraffe,n. 长颈鹿
besides,"prep. 除…之外
adv. 此外；而且"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
region,n. 地区；范围；部位
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
wealth,n. 财富；大量；富有
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
open up,"na. (打)开；割开；开发(资源)；揭示
 打开；开辟；开放"
go on a trip, 去旅行；进行旅行；去旅游
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
set sail,"na. 张帆；开船
 启航；起航；扬帆"
be known as,"na. 通称
 被称为；被称作；被认为是"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
lead to,"na. 通向
 导致；引起；通往"
compare ... with ...,
culture shock,文化冲击（突然处于一个与前大不相同的社会和文化环境中因而感到困惑、忧虑、烦恼的心情）
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
firework,n. 烟火；激烈情绪
turkey,n. 土耳其（横跨欧亚两洲的国家）
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
degree,n. 程度，等级；度；学位；阶层
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
idiom,n. 成语，习语；土话
everyday,"n. 平时；寻常日子
adj. 每天的，日常的"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
anyway,adv. 无论如何，不管怎样；总之
especially,adv. 特别；尤其；格外
baseball,n. 棒球；棒球运动
education,n. 教育；培养；教育学
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
president,n. 总统；董事长；校长；主席
