abnormal,adj. 反常的，不规则的；变态的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
antonym,n.  反义词
antiwar,adj. 反对战争的
antibody,n.  抗体
Antarctic,找不到解释
antiaircraft,adj. 防空的；对空的；对付飞机的
bewilder,vt. 使迷惑，使不知所措
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
belittle,vt. 轻视；贬低；使相形见小
beneath,"prep. 在…之下
adv. 在下方"
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
biannual,adj. 一年两次的
biweekly,"n. 双周刊
adj. 两周一次的；每周两次的
adv. 两周一次地；每周两次地"
bystander,n. 旁观者；看热闹的人
byproduct,n. 副产品
byword,n. 谚语，俗语；格言；笑柄
bywork,n. 副业；业余工作
cooperate,vi. 合作，配合；协力
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
coaction,n. 合作，强迫
collocate,"vt. 布置；排列；使成搭配
vi. 搭配；组合"
compassion,n. 同情；怜悯
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
corroborate,vt. 证实；使坚固
compatriot,"n. 同胞；同国人
adj. 同胞的；同国的"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
destruction,n. 破坏，毁灭；摧毁
devalue,"vt. 使贬值；降低…的价值
vi. 贬值"
deforest,vt. 采伐森林；清除…上的树林
depopulation,n. 人口减少；灭绝
diffident,adj. 羞怯的；缺乏自信的；谦虚谨慎的
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
difficult,adj. 困难的；不随和的；执拗的
diffluence,"n. 分流, 溶解
 液化, 溶化"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
disable,vt. 使失去能力；使残废；使无资格
distract,vt. 转移；分心
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
discourage,vt. 阻止；使气馁
ecology,n. 生态学；社会生态学
economy,n. 经济；节约；理财
ecotourism,n. 生态旅游，生态旅行（前往生态资源未被破坏的地方旅行）
economic,adj. 经济的，经济上的；经济学的
