a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）"
an,art. 一（在元音音素前）
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abbey,n. 大修道院，大寺院；修道院中全体修士或修女
abbreviation,n. 缩写；缩写词
abduct,vt. 绑架；诱拐；使外展
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
ability,n. 能力，能耐；才能
able,adj. 能； 有能力的；能干的
abnormal,adj. 反常的，不规则的；变态的
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
abolish,vt. 废除，废止；取消，革除
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
abound,vi. 富于；充满
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
abreast,"adj. 并排的；肩并肩的
adv. 并肩地；并列"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
absence,n. 没有；缺乏；缺席；不注意
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
absorbed,"v. 吸收；使全神贯注（absorb的过去分词形式）
adj. 被吸收的；一心一意的"
abstain,vi. 自制；放弃；避免
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abundance,n. 充裕，丰富
abundant,adj. 丰富的；充裕的；盛产
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
abusive,adj. 辱骂的；滥用的；虐待的
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
academician,n. 院士；大学生；学会会员；大学教师
academy,n. 学院；研究院；学会；专科院校
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptable,adj. 可接受的；合意的；可忍受的
acceptance,n. 接纳；赞同；容忍
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
accession,"n. 增加；就职；到达
vt. 登记入册"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
accident,n. 事故；意外； 意外事件；机遇
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
accomplice,n. 同谋者， 共犯
accomplish,vt. 完成；实现；达到
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
accordingly,adv. 因此，于是；相应地；照著
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountability,n. 有义务；有责任；可说明性
accountable,adj. 有责任的；有解释义务的；可解释的
accountancy,n. 会计工作；会计学；会计师之职
accountant,n. 会计师；会计人员
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
accumulate,"vt. 积攒
vi. 累积；积聚"
accuracy,n.  精确度，准确性
accurate,adj. 精确的
accusation,n. 控告，指控；谴责
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accustom,vt. 使习惯于
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
ace,"n. 幺点；直接得分的发球；佼佼者；（俚）最好的朋友
adj. 一流的，突出的
vt. 以发球赢一分；击败
int. 太棒了；太好了"
ache,"n. 疼痛
vi. 疼痛；渴望"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
achievement,n. 成就；完成；达到；成绩
