by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
once in a while,偶尔；有时（等于every once in a while）
end in,"na. 结果为…
 以…为结束；以…告终；以……结束"
on the horizon,"na. 在地平线上
 在那地平线上；即将来临的；刚刚冒出地平线"
think about,"un. 思考；探讨；为…费心思；想像
 考虑；回想；思索"
respond to,"v. 响应
 对…反应；回答；对…作出反应"
expand on, 进一步阐述， 详谈， 补充
turn back,"na. 同“turn down ”
 折回；往回走；翻回到"
on the theme of,
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
 继续；继续下去；进行"
block up,"na. 堵塞；停用；同“block”
 阻塞；阻碍；塞住"
hold to,"na. “Hold fast”的变体
 坚持；紧握；坚持某个看法"
come between,"na. 介入…之间；离间
 介入……之间；在…中间；妨碍"
rein in,"na. 勒住(马)；控制
 抑制；放慢；约束"
pop ... into,
get into,"na. 进入；穿上；成癖；陷于
 陷入；卷入；养成"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
to some degree,"adv. 多多少少
 在某种程度上；那就是在一定程度上；达到一定的程度"
afford to do, 负担得起做某事；付得起；有能力
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
add to,"na. 增加
 增添；增进；添加"
size up,"na. 够标准；估量；品评
 打量；估计；判断"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
 实际上；在实际中；从实践上看"
tell ... apart from,
hand on,"na. 依次传递
 把…传下去；传下来；转交"
compare to,"un. 核对记录；商量了一番；比较；和…相仿
 与…相比；比作；把…比作"
lay off,"na. 辞退；停止；暂停
 解雇；下岗；裁员"
square off,"na. (拳击中)摆好架势
 方块大战；摆出自卫或攻击的架式；摆出自卫或攻击的架势"
seize up,"v. 强征…入伍；停止转动
 失灵；卡住；停顿"
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
 回忆；追忆；向后看"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
in debt,"un. 背上了债；负债；欠款
 欠债；欠债，欠情；欠著债"
dig up,"na. 查出；找到；开垦(荒地等)；采掘(山芋等)
 挖出；掘起；发现"
by gender,
hang on,"v. 坚守；守住；坚持；支撑着
 坚持下去；抓紧不放；等一下"
