accustom,vt. 使习惯于
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
budge,"n. 羔羊皮
vt. 使让步；移动；使改变态度或意见
vi. 挪动；微微移动；改变态度或意见；服从"
burly,adj. 结实的；率直的；粗鲁的
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
compatible,adj. 兼容的；能共处的；可并立的
concept,n. 观念，概念
distract,vt. 转移；分心
jostle,"vt. 推挤，撞；争夺
vi. 竞争，争夺；推挤
n. 推撞，挤拥"
obedient,adj. 顺从的，服从的；孝顺的
obstacle,n. 障碍，干扰；妨害物
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
aroma,n. 芳香
beverage,n. 饮料
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
brittle,adj. 易碎的，脆弱的；易生气的
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
cultivate,vt. 培养；陶冶；耕作
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
introduce,vt. 介绍；引进；提出；采用
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
tropical,adj. 热带的；热情的；酷热的
ancestor,n. 始祖，祖先；被继承人
carnivore,n.  食肉动物；食虫植物
comprehend,vt. 理解；包含；由…组成
duration,"n. 持续，持续的时间，期间
音长，音延"
evident,adj. 明显的；明白的
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
ferocious,adj. 残忍的；惊人的
gigantic,adj. 巨大的，庞大的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
option,n.  选项；选择权；买卖的特权
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
puny,adj. 弱小的；微不足道的；微小的
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
accurate,adj. 精确的
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
destination,n. 目的地，终点
deteriorate,"vi. 恶化，变坏
vt. 恶化"
gale,n.  大风，狂风；（突发的）一阵
horizon,n.  地平线；视野；眼界；范围
jubilation,n. 喜欢；庆祝；欢呼
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
nostalgia,n. 乡愁；怀旧之情；怀乡病
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
sever,"vt. 割断，断绝；分开；使分离
vi. 断；裂开；分离"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
blizzard,"n. 暴风雪，大风雪；大打击
vi. 下暴风雪"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
crevice,n. 裂缝；裂隙
foolhardy,adj. 有勇无谋的；蛮干的
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
makeshift,"n. 权宜之计；凑合；临时措施；将就
adj. 临时的；权宜之计的；凑合的"
optimist,n. 乐观主义者；乐天派
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
route,"n. 路线；航线；通道
vt. 按某路线发送"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
terse,adj. 简洁的，精练的，扼要的
thwart,"prep. 横过
n. 划手座；独木舟的横梁
vt. 挫败；反对；阻碍；横过
adj. 横放的；固执的
adv. 横过"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
abolish,vt. 废除，废止；取消，革除
agony,n. 苦恼；极大的痛苦；临死的挣扎
catapult,"n. 弹弓；石弩；飞机弹射器；（飞机上的）座椅弹射器
vt. 用弹弓射；用弹射器发射；猛投
vi. 用弹射器弹射；快速移动"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
denounce,vt. 谴责；告发；公然抨击；通告废除
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
grim,adj. 冷酷的；糟糕的；残忍的
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
loathe,vt. 讨厌，厌恶
meddle,vi. 管闲事，干预他人之事
monstrous,adj. 巨大的；怪异的；荒谬的；畸形的
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
steadfast,adj. 坚定的；不变的
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
colony,n. 殖民地；移民队；种群；动物栖息地
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
frigid,adj. 寒冷的，严寒的；冷淡的
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
resemble,vt. 类似，像
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
waddle,"n. 蹒跚；摇摆的步子
vi. 摇摇摆摆地走；蹒跚而行"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
cargo,n. 货物，船货
cask,"n. 木桶，桶
vt. 装入桶内"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
edible,"n. 食品；食物
adj. 可食用的"
frivolous,adj. 无聊的；轻佻的；琐碎的
