hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
cultural,adj. 文化的；教养的
symbol,n. 象征；符号；标志
southern,"n. 南方人
adj. 南的；南方的"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
danger,n. 危险；危险物，威胁
destroy,vt. 破坏；消灭；毁坏
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
earthquake,n. 地震；大动荡
resident,"n. 居民；住院医生
adj. 居住的；定居的"
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
location,n. 位置（形容词locational）；地点；外景拍摄场地
drive-thru, 得来速；汽车餐厅；得来速汽车餐厅
inspector,n. 检查员；巡视员
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
afford,vt. 给予，提供；买得起
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
actually,adv. 实际上；事实上
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
historian,n. 历史学家
explanation,n. 说明，解释；辩解
rewrite,"n. 重写或改写的文稿；改写的作品
vt. 改写；重写
vi. 改写；重写"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
historic,adj. 有历史意义的；历史上著名的
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
peace,n. 和平；平静；和睦；秩序
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
moment,n. 片刻，瞬间，时刻；重要，契机
tear down,"na. 拆毁；扯下；猛冲
 拆除；拆卸；拆除某物"
in danger of,"un. 遭逢不测；有…的危险
 有…危险；处于…危险之中；处于……的危险中"
agree with,"na. 适合；赞同；与…一致
 同意；与...一致；同意某人"
line of thinking,
can afford to do,
close down,"v. 关闭；关门；倒闭；歇业
 停业；查封；封闭"
have nothing to do with,"na. 办完；和…断绝关系；已和…无关
 与……无关；和……毫无关系；与……毫无关系"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
stop ... from doing ...,
even so,"na. 即使如此；确是那样；正是那样
 虽然如此；尽管如此；即使这样"
take away,"adj. 买回去的
 拿走；带走；外带"
McDonald's,
California,n. 加利福尼亚（美国一个州）
Downey,   唐尼 Downie的变体;   唐尼
Golden Arches, 金色拱门；金拱门；金色拱门理论
Ray Kroc,n. 雷·克拉克
Illinois,n. 伊利诺斯州（美国州名）
Dick McDonald,
Mac McDonald,
National Register of Historic Places,
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
replay,"n. 重赛；重播；重演
vt. 重放；重演；重新比赛"
videotape,"n. 录像带
vt. 将…录到录像带上"
uniformity,n. 均匀性；一致；同样
sub-adult,"a. 接近成年的
n. 接近成年的人；亚成体"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
by-product,n. 副产品；附带产生的结果；意外收获
sexist,"n. 性别歧视者；男性至上主义者
adj. 性别主义者的；性别歧视者的"
racist,"n. 种族主义者
种族主义的"
folklore,n. 民俗学；民间传说；民间风俗
protection,n. 保护；防卫；护照
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
treatment,n. 治疗，疗法；处理；对待
Indian,"n. 印度人；印第安人；印第安语
adj. 印度的；印第安人的；印第安语的"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
basic,"n. 基础；要素
adj. 基本的；基础的"
educator,n. 教育家；教育工作者；教师
lion,n. 狮子；名人；勇猛的人；社交场合的名流
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
artistic,adj. 艺术的；风雅的；有美感的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
rush out,"na. 赶制出来
 冲出去；突然出现；涌出"
make a trip to,"vt.到...处旅行,到...处走一趟"
anything but,"na. 决不是；除…外什么都
 除…以外任何事；一点也不；绝不"
more than a little, 非常；当然我说的不止一些；英俊
of the worst kind,
at work,"na. 做着；在工作；起着作用；运转中
 在上班；起作用；在起作用"
be opposed to,"v. 反对；与…相对
 她不反对必要的改变；强烈地反对；反对老师的观点"
in detail,"na. 详细
 详细地；详细的；详尽"
sort of,"adv. 有几分地
 （想不出恰当的词或不知下面该怎么说时用）可以说，可说是"
play out,"na. 做完；用完；使筋疲力竭；放松(绳索等)
 使破产；演完；放出"
long before,"na. 很久以前；老早以前
 在…以前很久；很早以前；早在…之前"
be quick to do, 做某事快；迅速做某事；很快做某事
be quick to do something,
Disney,n. 迪斯尼（美国动画影片制作家及制片人）
Walt Disney Company,
Disney's America,
Capital Cities/ABC Inc.,
Walter Elias Disney, 迪士尼；华特迪士尼；华德迪士尼
Disney TV,
Disneyland,
Disney World,
Harold Bloom,
Yale University,"n. 耶鲁大学
 美国耶鲁大学；毕业于美国耶鲁大学；康涅狄格州"
Paul Fussell,
University of Pennsylvania,"n. 宾夕法尼亚大学
 宾州大学；宾西法尼亚大学；美国宾夕法尼亚大学"
Henry Giroux,
Penn State University,
Pocahontas,n. 风中奇缘（电影名称）
American Indian, 印第安人；美洲印第安人；美国印地安人
The Lion King,
Abraham Lincoln, 林肯；亚伯拉罕·林肯；林肯总统
Gettysburg Address,"na. (1863年美国总统林肯所作的)葛底斯堡演说
 盖茨堡演说；盖兹堡演说；在葛底斯堡的演说"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
fad,n. 时尚；一时的爱好；一时流行的狂热
tendency,n. 倾向，趋势；癖好
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
hairstyle,n. 发型
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
furniture,n. 家具；设备；储藏物
hero,n. 英雄；男主角，男主人公
politician,n. 政治家，政客
appear,vi. 出现；显得；似乎；出庭；登场
advertisement,n. 广告，宣传
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
magazine,n. 杂志；弹药库；胶卷盒
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
area,n. 区域，地区；面积；范围
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
groovy,adj. 出色的；绝妙的；时髦的
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
foolish,adj. 愚蠢的；傻的
vain,adj. 徒劳的；自负的；无结果的；无用的
creative,adj. 创造性的
economy,n. 经济；节约；理财
additional,adj. 附加的，额外的
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
more than just,"v. 不只是
 不仅仅是"
in style,"na. 有样子；“in/out of style”的变体
 时髦的；流行的；别具风格的"
out of date,"adj. 过时的；缺乏新信息的；陈腐的；失效的
 过期；过期的；过时了"
get away from,"v. 逃脱
 逃离；离开；摆脱"
in fashion,"na. 时新的
 流行；时兴；正流行"
out of fashion,"adj. 过时
 不流行；不合时尚；过时的"
and the like,"na. “and such like”的变体
 等等；诸如此类；之类"
pay attention to,"na. 注意
 重视；对……注意；关心"
come and go,"na. 来来去去；变化无定；来往
 来来往往；往来；来和去"
make money,"na. 赚钱；发财
 挣钱；生财；网路赚钱"
Britain,n. 英国；不列颠
Japan,n. 日本（东亚国家名）
unhealthy,adj. 不健康的；危险的；有害身心健康的
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
attitude,n. 态度；看法；意见；姿势
