absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
accurate,adj. 精确的
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
actual,adj. 真实的，实际的；现行的，目前的
additional,adj. 附加的，额外的
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
admission,n. 承认；入场费；进入许可；坦白；录用
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
afford,vt. 给予，提供；买得起
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
eim, 兴奋诱导物质
album,n. 相簿；唱片集；集邮簿；签名纪念册
alive,adj. 活着的；活泼的；有生气的
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
although,conj. 尽管；虽然；但是；然而
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
bei,abbr. 行为事件访谈法（Behavioral Event Interview）；无白金式电子点火（Breakerless Electronic Ignition）；英国国际电气公司（British Electricity International Ltd.）
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
cliff,n. 悬崖；绝壁
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
population,n. 人口； 种群， 群体；全体居民
region,n. 地区；范围；部位
scenery,n. 风景；景色；舞台布景
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
valley,n. 山谷；流域；溪谷
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
pensioner,n. 领养老金者；领取抚恤金者
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
attractive,adj. 吸引人的；有魅力的；引人注目的
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
glove,"n. 手套
vt. 给…戴手套"
handkerchief,n. 手帕；头巾，围巾
jewellery,n. 珠宝（等于jewelry）
jumper,n. 跳高运动员；跳跃者；工作服；妇女穿的套头外衣
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
amazed,"v. 使…吃惊；把…弄糊涂（amaze的过去分词）
adj. 惊奇的，吃惊的"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
anniversary,n. 周年纪念日
announcement,n. 公告；宣告；发表；通告
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
