authoritarian,"n. 权力主义者；独裁主义者
adj. 独裁主义的；权力主义的"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
depict,vt. 描述；描画
benignly,adv. 亲切地；仁慈地
endorse,vt. 背书；认可；签署；赞同；在背面签名
egalitarian,"n. 平等主义；平等主义者
adj. 平等主义的"
unmitigated,adj. 全然的；严厉的；未缓和的
grim,adj. 冷酷的；糟糕的；残忍的
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
tabloid,"n. 小报；药片；文摘；小型画报
adj. 小报式的；缩略的；轰动性的；扼要的"
mythology,n. 神话；神话学；神话集
glorification,n. 赞颂
decadent,"adj. 颓废的；衰微的
n. 颓废者"
osmosis,n.  渗透； 渗透性；渗透作用
delusion,n. 迷惑，欺骗；错觉；幻想
intrinsic,adj. 本质的，固有的
moronic,adj. 低能的；迟钝的
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
ostensibly,adv. 表面上；外表
veer,"n. 转向；方向的转变
vt. 使转向；使顺风；使船尾向上风
vi. 转向；改变观点；风向顺时针转；调转船尾向上风"
lamentably,adv. 哀伤地；不幸地；拙劣地
conurbation,n. 有卫星城的大都市；（几个邻近的城市因扩建而形成一个）组合城市，集合都市
suffocate,"vt. 压制，阻碍；使……窒息
vi. 受阻，受扼制；窒息"
populist,
morass,n. 沼泽；困境；乱糟糟的一堆
grenade,"n. 手榴弹；灭火弹
vt. 扔手榴弹；用催泪弹攻击"
complacency,n. 自满；满足；自鸣得意
backlash,"n. 反冲；强烈抵制
vt. 强烈反对；发生后冲"
curbside,n. 路边；靠近路缘的人行道部分
Filipino,"n. （西）菲律宾人；菲律宾语
adj. 菲律宾的"
metaphorical,adj. 比喻性的，隐喻性的
a kick in the pants,"na. 意想不到的挫折
 非难；口头警告；巴西丛林笔记"
nicotine,n.  尼古丁； 烟碱
pliant,"n. 顺从
adj. 顺从的；易弯的；易受影响的；能适应的"
onslaught,n. 猛攻；突击
light a fire under sb.,
scowl,"n. 愁容；怒容；阴沉沉的样子
vt. 皱眉表示；对…沉下脸
vi. 皱眉；怒视"
chain-smoking,"vi. 连续不断地抽香烟
vt. 连续不断地抽香烟"
high-profile,adj. 高调的；备受瞩目的；知名度高的
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
sophistication,n. 复杂；诡辩；老于世故；有教养
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
fall into line,"na. “come into line”的变体
 排齐；保持一致；排好队"
endemic,"n. 地方病
adj. 地方性的；风土的"
toothless,"adj. 无牙齿的
adj. 无权势的"
scant,"adj. 不足的；缺乏的；勉强够的
vt. 减少；节省；限制"
prosecutor,n. 检察官；公诉人； 起诉人；实行者
blockbuster,n. 轰动；巨型炸弹；一鸣惊人者
bear fruit,"na. 结果实
 结出果实；有成果；结实"
label-conscious,
ratchet,"n. 棘轮；棘齿
vt. 安装棘轮于；松脱"
apathy,n. 冷漠，无兴趣，漠不关心；无感情
chunk,n. 大块；矮胖的人或物
spin off,"na. 母公司收回子公司全部股本使之脱离的做法；有用的副产品
 分拆；剥离；衍生"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
populace,n. 大众；平民；人口
monetary,adj. 货币的；财政的
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
exceed,"vt. 超过；胜过
vi. 超过其他"
rallying point,"n. 号召力；有感召力的人（或团体、事件等）
 聚集点；振作点；恢复点"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
overdue,adj. 过期的；迟到的；未兑的
match words with action,
reversion,n. 逆转；回复；归还； 隔代遗传； 继承权
sovereignty,n. 主权；主权国家；君主；独立国
smoke-free,adj. 无烟的；禁止吸烟的
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
lay the ground work for,
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
city-state,n. 城邦
enclave,n. 飞地（指在本国境内的隶属另一国的一块领土）；被包围的领土；被包围物
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
gamma,n. 微克；希腊语的第三个字母
illicit,adj. 违法的；不正当的
thwart,"prep. 横过
n. 划手座；独木舟的横梁
vt. 挫败；反对；阻碍；横过
adj. 横放的；固执的
adv. 横过"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
fissionable,"n. 可裂变物质
adj. 可分裂的；可作核裂变的"
plutonium,n.  钚（94号元素）
bluster,"n. 怒号；吓唬
vi. 咆哮；恫吓
vt. 咆哮；狂吹；夸口；威吓；气势汹汹地说"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
booty,n. 战利品；赃物；获得之物
proliferation,n. 增殖，扩散；分芽繁殖
threshold,n. 入口；门槛；开始；极限；临界值
depravity,n. 堕落；邪恶
extort,vt. 敲诈；侵占；强求；牵强地引出
juxtaposition,n. 并置，并列；毗邻
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
vault,"n. 拱顶；撑竿跳；地下室
vi. 跳跃；成穹状弯曲
vt. 做成圆拱形；撑竿跳过"
totter,"n. 蹒跚的步子
vi. 蹒跚；踉跄"
aggrieved,"v. 侵害，伤害（aggrieve的过去分词形式）；使悲痛
adj. 受委屈的，愤愤不平的；权利受到不法侵害的"
coerce,vt. 强制，迫使
cadet,n. 幼子，次子；实习生；候补军官；陆海军官学校的学员
bidder,n. 投标人；出价人；命令者
sting operation, 针刺行动；突击圈套；死盯行动
conspirator,n. 阴谋者；反叛者；同谋者
