animal,"n. 动物
动物的"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
bee,n. 蜜蜂，蜂；勤劳的人
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
cat,n. 猫，猫科动物
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
crocodile,n. 鳄鱼
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
donkey,n. 驴子；傻瓜；顽固的人
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
elephant,n. 象；大号图画纸
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
giraffe,n. 长颈鹿
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
hippo,n. 河马；吐根
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
jellyfish,n. 水母； 海蜇；软弱无能的人
lizard,n. 蜥蜴；类蜥蜴爬行动物
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
mice,n. 老鼠（mouse的复数）
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
polar bear,"n. 北极熊；白熊
 冬泳者；极地熊；北极熊篇"
sheep,n. 羊，绵羊；胆小鬼
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
spider,n. 蜘蛛；设圈套者；三脚架
tiger,n. 老虎；凶暴的人
zebra,"n.  斑马
adj. 有斑纹的"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
arm,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
