acrobatics,n. 杂技；巧妙手法
acrobat,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
trouper,n. 戏团演员；台柱演员；剧团的团员；有经验的演员
acrobatic theatre,找不到解释
acrobatic art,找不到解释
modern acrobatics,找不到解释
folk acrobatics,找不到解释
acrobatic competition,找不到解释
acrobatic festival,找不到解释
acrobatic troupe,找不到解释
daredevil,"n. 铤而走险的人，蛮勇的人
adj. 蛮勇的，不怕死的"
skydiving,"n. 跳伞运动（由飞机跳下时先自由坠落一段时间后再张开降落伞的）
v. 空中杂技跳伞（skydive的现在分词）"
dangerous,"adj. 危险的
危险地"
parachute,"n. 降落伞
vi. 跳伞
空投"
timid,adj. 胆小的；羞怯的
behavior,n. 行为，举止；态度；反应
thrilling,adj. 毛骨悚然的；令人兴奋的；颤动的
adventurous person,找不到解释
risk-takers,"(risk-taker 的复数) n. 冒险者, 喜欢冒险的人"
hot-air balloon,n. 热气球
sky diver, 跳伞者；跳伞的工作；定点跳伞
bungee jumping,"n. 蹦极跳
 高空弹跳；笨猪跳；爱情蹦极跳"
hang-gliding,n. 悬挂式滑翔运动
extreme game,找不到解释
car racing, 赛车；飙车；赛车玩家
The Guinness Book of World Records,找不到解释
take risks,"un. 冒险
 冒风险；勇于冒险；承担风险"
afraid of height,找不到解释
seek thrills,找不到解释
cause danger,找不到解释
have more curiosity,找不到解释
give up life for thrills,找不到解释
cater to the tastes of some TV viewers,找不到解释
gears or facilities,找不到解释
automobile,"n. 汽车
vt. 驾驶汽车
"
diamond necklace, 钻石项链；钻石颈链；宝石项链
make a deep impression,找不到解释
remember the brand,找不到解释
non-profitable ads,找不到解释
increase sales of products,找不到解释
new brand, 新品牌；新品牌策略；新进品牌
improve reputation,找不到解释
non-profitable,找不到解释
follow social norms,找不到解释
mislead consumers,找不到解释
focus of ads,找不到解释
ruin the credit,找不到解释
symbol of high quality,找不到解释
commercial advertisement,"un. 商业广告
 商品广告"
classified advertisement,"na. (报刊上的)分类广告
 广告种类；分类广告商务英语；普通分类小广告"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
advertiser,n. 广告客户；刊登广告的人
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
poster,n. 海报，广告；招贴
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
inset,"n. 插图，插页；插入物
vt. 嵌入；插入"
lost & found,找不到解释
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
brochure,n. 手册，小册子
flyer,n. 传单；飞鸟；飞行物；飞跳；孤注一掷
promo,n. 商品广告；商品推销
trailer,"n. 拖车； 预告片；追踪者
vt. 用拖车载运
vi. 乘拖车式活动房屋旅行"
publicity,n. 宣传，宣扬；公开；广告；注意
slogan,n. 标语；呐喊声
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
food,n. 食物；养料
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
alcohol,n. 酒精，乙醇
automobile,"n. 汽车
vt. 驾驶汽车
"
TV,abbr. 电视（television）
Internet,找不到解释
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
magazine,n. 杂志；弹药库；胶卷盒
newspaper,"n. 报纸
报社
旧报纸"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
sneakers,n. 胶底运动鞋（sneaker的复数形式）
computer,n. 计算机；电脑；电子计算机
appliance,n. 器具；器械；装置
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
skywriting,"n. 空中文字（指飞机放烟在空中写成的文字或图案）
v. 用飞机喷出的烟写字，大肆宣扬( skywrite的现在分词 )"
telemarketing,n. 电话推销，电话销售
business section,"un. 商业区
 商务科；业务组；商业区行车"
editorial page,"un. 社论版
 社论专页；编辑页"
science and technology page,找不到解释
sports section,"un. 体育专栏
 体育栏；体育部；活动组"
amusement page,找不到解释
news hole,"na. 新闻窗口
 新闻版面；新闻洞；版面限制"
financial page,找不到解释
city news,n. 社会新闻
advertisement page,找不到解释
daily circulation,找不到解释
news vendor, 卖报人；报童模型；报贩
press conference,"n. 新闻发布会；记者招待会
 记者会；记者招待台；召开新闻发布会"
news conference,"na. 记者招待会
 新闻发布会；新闻发布会上；记者会"
publish the news,找不到解释
news blockout,找不到解释
liberty of speech, 言论自由
press coverage, 新闻报道；报界对…的报道；媒体报道
gather news,找不到解释
advertising agency, 广告公司；广告代理商；广告商
advertising agent,"un. 广告社；广告商
 广告代理人；广告代理行；广告代理商"
advertise on TV,找不到解释
public service advertising,公用服务广告
attention-getter, 广告妙语
advertising film,广告片
neon-light advertisement,找不到解释
outdoor advertising,"un. 街头广告
 户外广告；室外广告；张贴广告"
junk mail,"n. 垃圾邮件
 邮寄宣传品；直接邮寄的广告宣传；垃圾信件"
glossy advertisement,找不到解释
full-page advertisement,找不到解释
advertisement column,na. 广告栏
matrimonial notice,找不到解释
marriage announcement,找不到解释
want ads,"n. 找人的广告, 招聘广告; <口>招聘广告, 征求广告( want ad的名词复数 )"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
help wanted, 招聘员工；帮助通缉；救济招聘
publishing house,"n. 出版社
 书局；出版图书的机构；北京大学出版社"
visitors' book, 旅客登记簿
advertising campaign, 广告活动；广告宣传活动；广告运动
outdoor billboards,找不到解释
rolling boards,找不到解释
point-of-purchase media,找不到解释
parking meter,"n. 停车计时器
 停车收费表；停车计费表；停车计时表"
transit ads,找不到解释
station posters,找不到解释
consumer credit card,找不到解释
product advertisement,找不到解释
nutritional food,找不到解释
direct mail,"n. 直接邮寄的广告
 直接邮件；直邮；直邮广告"
broadcast media,电波媒介(指收音机、电视机等，与印刷媒体相应)
print media, 印刷媒体；平面媒体；印刷媒介
electronic media,"na. 电子舆论媒体
 电子媒体；电子媒介；电子传媒"
increase the sales,找不到解释
promote the products,找不到解释
make a profit, 获利；赚钱；赚取利润
have a rest,"v. 休息一下
 休息一会儿；休憩；好好休息"
provide information about products,找不到解释
make people sick,找不到解释
exaggerate the functions,找不到解释
misguide the consumers,找不到解释
not suitable for children to watch,找不到解释
cause the negative mood of audience,找不到解释
high cost,"adj. 价格过高的
 高成本；代价太高；高赀"
buy the products advertised,找不到解释
buy what they don't need,找不到解释
update their belongings,找不到解释
benefits of consumers,找不到解释
functions of products,找不到解释
satisfy the demands of children,找不到解释
buy what their children like,找不到解释
make their children more intelligent and healthier,找不到解释
make a wise choice,找不到解释
high quality,"un. 优质的；高品质因数；高质；高级
 高质量；高画质；高质量的"
sports facilities, 体育设施；运动设施；体育建筑设计
famous brands,找不到解释
quality of product, 产品质量；产品品质；产品基本性质
pursue luxuries,找不到解释
theory,n. 理论；原理；学说；推测
talent,n. 才能；天才；天资
art gallery,"n. 美术馆；艺术展览馆
 画廊；艺术画廊；艺廊"
draw the sketch,找不到解释
motivate students' interest,找不到解释
full of imagination,找不到解释
observe objects,找不到解释
gain good value,找不到解释
symbols of social status,找不到解释
decorate rooms with painting,找不到解释
flowers or landscape,找不到解释
represent social status,找不到解释
western paintings,找不到解释
different cultures and styles,找不到解释
part of education,找不到解释
identify objects in nature,找不到解释
specific nature of flowers,找不到解释
gifted people,有天赋的人
have better sense of beauty,找不到解释
have the skill of observation,找不到解释
forget their troubles and worries,找不到解释
have the peace of mind,找不到解释
theoretical knowledge,"un. 理论知识
 理论性知识；理论性的知识；理论型知识"
practical skill,实际技能
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
beachwear,n. 海滩装
boardwalk,n. 木板路
beachside hotel,找不到解释
beach bag, 海滨浴场用手提袋；海滨游泳袋；沙滩包
bathing beach,"un. 游泳场
 海水浴场；海滨浴场；第一海水浴场"
beach umbrella,"na. (海滩或花园用的)太阳伞
 遮阳伞；海滩伞；沙滩伞"
sparrow,n. 麻雀；矮小的人
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
seabird,n.  海鸟（如海鸥，等于seafowl）
lovebird,n. 小鹦鹉类； 多情鹦鹉
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
songbird,n. 鸣禽，鸣鸟；女歌手；告密者
rare birds, 珍禽假意；稀鸟；不速之客
wild duck,"na. 野鸭
 大水鸭；野鸭子；野鸭情侣"
protect the environment, 保护环境；环境保护；保护地球环境
illegal to take their eggs,找不到解释
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
memorable,adj. 显著的，难忘的；值得纪念的
anniversary,n. 周年纪念日
birthday celebration,找不到解释
celebrate birthday,找不到解释
baked prawns,找不到解释
shells,"n. 贝壳（shell的复数）
v. 脱壳（shell的第三人称单数形式）"
bonfire party,找不到解释
tell stories,找不到解释
prepare a birthday cake,找不到解释
make a wish, 许愿；许个愿；许一个愿望
blow the candles,找不到解释
share the cake,找不到解释
sing and dance,找不到解释
have a get-together,找不到解释
receive gifts,找不到解释
family ceremony,找不到解释
special parties,找不到解释
