Good to see you again!,
Nice to see you again!,
Glad to see you again!,
Please be quiet!,
Welcome back!,
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
door,n. 门；家，户；门口；通道
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
window,n. 窗；窗口；窗户
sit down,"na. 坐下；住定；占有；(坐下来)开始工作(谈判等)
 扎营；雪堂请侬坐；坐吧"
classroom,n. 教室
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
friend,n. 朋友；助手；赞助者
Good afternoon.,
Miss,
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
to,"prep. 到；向；（表示时间、方向）朝…方向
adv. 向前；（门等）关上"
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
read,"n. 阅读；读物
adj. 有学问的
vi. 读；读起来
vt. 阅读；读懂，理解"
write,"vi. 写，写字；写作，作曲；写信
vt. 写，书写；写信给；著述"
do,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情"
sleep,"n. 睡眠
vi. 睡，睡觉"
watch TV,
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
What's your favourite food?,
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
or,conj. 或，或者；还是
noodle,n. 面条；笨蛋
bread,"n. 面包；生计
vt. 在…上洒面包屑"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
a box of, 一盒；一箱；一盒子
a bag of, 一袋；一包；一书包
a piece of,"det. 一块；一只
 一张；一片；一件"
watermelon,n. 西瓜
"Pass me the milk, please!",
Here you are.,；我们(或你，你们)到了!；这就是我们(或你，你们)所要的东西。
You're welcome.,
ice-cream,"a. 冰淇淋的, 乳白色的"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
one,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
boy,n. 男孩；男人
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
"May I speak to ..., please?",
in the park, 在公园里；再公园；我在公园里
school,"n. 学校；学院；学派；鱼群
vt. 教育"
his,pron. 他的
at school,"na. 在学校；在上课；在求学
 在上学；在校；在学校里"
at home,"na. 在家；安适；在家接待客人；在本国 (opp. abroad)
 在家里；在国内；自在"
in the classroom, 在教室里；在课堂上；教室用语
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
animal,"n. 动物
动物的"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
elephant,n. 象；大号图画纸
so,"conj. 所以；因此
adv. 如此，这么；确是如此
pron. 这样"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
tiger,n. 老虎；凶暴的人
go to the zoo,
want,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
go to the park,
twenty-one,"n. 二十一点纸牌游戏
num. 二十一
adj. 二十一的"
twenty-two,num. 二十二
twenty-three,num. 二十三
twenty-four,num. 二十四
twenty-five,num. 二十五
twenty-six,二十六
twenty-seven, 二十七
twenty-eight, 二十八
twenty-nine,二十九
thirty,"num. 三十
n. 三十年代
adj. 三十个的"
forty,"n. 四十
adj. 四十的；四十个的"
fifty,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的"
sixty,num. 六十；六十个
seventy,"n. 七十；七十个；七十岁；七十年代
num. 七十
adj. 七十的；七十个的；七十岁的"
eighty,"num. 八十
n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的"
