message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
tricky,adj. 狡猾的；机警的
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
semester,n. 学期；半年
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
duty,n. 责任； 关税；职务
management,n. 管理；管理人员；管理部门；操纵；经营手段
number one,"n. 头号人物（或事物）；最重要的人（或事物）；最好的人（或事物）
adj. 头号的；最重要的；最好的
 第一；第一号；拿摩温"
seriously,adv. 认真地；严重地，严肃地
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
ability,n. 能力，能耐；才能
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
flexible,adj. 灵活的；柔韧的；易弯曲的
re-plan, 重新计划；重新规划；重规划
basis,n. 基础；底部；主要成分；基本原则或原理
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
mid-term,adj. 期中的
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
alive,adj. 活着的；活泼的；有生气的
assignment,n. 分配；任务；作业；功课
activity,n. 活动；行动；活跃
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
seem,vi. 似乎；像是；装作
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
look ahead,"na. 考虑未来；“look/think/plan ahead”的变体
 展望未来；向前看；前瞻"
at the beginning of,"un. 前奏；处于…的开端；起初
 的起初；的开始；在……的开始"
plenty of,"na. 很多的
 许多；大量的；充足的"
have time on one's hands,没有多少事做；有的是时间，时间多得打发不了，(不工作的人)很空闲
towards the end of ...,找不到解释
work for,"na. 被…雇用着；为…尽力；参加
 为……工作；为…效力；强调工作"
work against, 对……不利；对…产生不利的作用和影响；反对
get the most out of sth.,找不到解释
put ... into practice,"na. 实行
 实施；付诸实施；落实"
allow for,"v. 考虑到
 顾及；估计到；体谅"
at least,"na. 至少
 最低限度；起码；最少"
in ... case,找不到解释
on a weekly basis,找不到解释
on a daily basis, 每天；日常；每天都
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
seem to be, 好像；看来；似乎是
run out,"na. 耗尽；用光；过有效期；失效
 用完；用尽；到期"
run out of,"na. 用光…
 用完；用尽；耗尽"
fairy tale,"n. 童话故事；虚构的故事；妄言
 神话；神话故事；说谎"
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
shoemaker,n. 鞋匠；补鞋工人
shoemaking,n. 制鞋；修补皮鞋
prince,n. 王子，国君；亲王；贵族
princess,n. 公主；王妃；女巨头
poetry,n. 诗；诗意，诗情；诗歌艺术
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
stepfather,n. 继父
weaving,"n. 织动，编织
v. 编织，组合（weave的ing形式）"
weaver,n. 织工；织布者
unhappiness,n. 苦恼；忧愁
tragedy,n. 悲剧；灾难；惨案
dancer,n. 舞蹈家；舞蹈演员；舞女；跳舞者
genius,n. 天才，天赋；精神
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
for,"prep. 为，为了；因为；给；对于；至于；适合于
conj. 因为"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
woman-like,找不到解释
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
writer,n. 作家；作者
helping,"n. 帮助，协助；一份食物
v. 帮助；扶持（help的ing形式）
adj. 辅助的；给予帮助的"
finally,adv. 最后；终于；决定性地
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
once upon a time,"na. 从前；很久很久以前；古时候
 童话镇；曾经；童话小镇"
ask a favour of sb.,找不到解释
look at,"na. 看；考虑
 看着；注视；瞧"
believe in,"v. 相信
 信任；信仰；信奉"
work hard at ...,找不到解释
pay for sth.,找不到解释
be afraid to do sth.,找不到解释
change ... into ...,找不到解释
turn ... into ...,找不到解释
arrive in,"v. 到达；达到
 抵达；可以说到达；到达大地点"
arrive at,"v. 到达；得出
 抵达；达成；达到"
for ever,"adv. 永远地；永恒地；无休止地；永无止境地
n. 永恒；相当长的时间
 永久；长期地；直到永远"
from time to time,"na. 时时
 有时；不时；不时地"
lend a helping hand to sb.,找不到解释
pretend to do sth.,找不到解释
not ... at all,找不到解释
start out,"na. 跳出；开始；企图
 出发；动身；着手"
add sth. to sth.,找不到解释
out of sight,"adv. 无影无踪
 看不见；战略高手；在视野之外"
because of,"na. 因
 因为；由于；由于，因为"
attic,n. 阁楼；顶楼；鼓室上的隐窝
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
fund,"n. 基金；资金；存款
vt. 投资；资助"
vividly,adv. 生动地；强烈地
march,n. 三月
gallop,"n. 疾驰；飞奔
vi. 飞驰；急速进行；急急忙忙地说
vt. 使飞跑；迅速运输"
papercut,"n. 剪纸, 刻纸"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
deeply,adv. 深刻地；浓浓地；在深处
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
emperor,n. 皇帝，君主
kind-hearted,adj. 仁慈的，好心肠的
unhappy,adj. 不快乐的；不幸福的；不适当的
happily,adv. 快乐地；幸福地；幸运地；恰当地
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
day,"n. 一天；时期；白昼
adj. 日间的；逐日的
adv. 每天；经常在白天地"
duck-yard,找不到解释
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
celebration,n. 庆典，庆祝会；庆祝；颂扬
prince,n. 王子，国君；亲王；贵族
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
have a good view of, 清楚看到；风光；很好的看到了---的景色
make friends with sb.,找不到解释
send sb. to school,找不到解释
be full of,"na. 充满…(的)
 充满了；装满；充满他"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
 因……而发笑；取笑；因…而笑"
feel at ease with sb.,找不到解释
be at ease with sb.,找不到解释
ask for sth.,找不到解释
translate ... into ...,找不到解释
at last,"na. 终于
 最后；最终；终於"
in turn,"na. 挨次
 依次；轮流；反过来"
come out,"na. 出来
 出现；出柜；现身"
so ... that,"所以,因而"
look upon ... as ...,找不到解释
be in sb.'s honour,找不到解释
be in sth.'s honour,找不到解释
be in honour of sb.,找不到解释
be in honour of sth.,找不到解释
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
no,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号"
dishwasher,n. 洗碗工；洗碟机
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
p.m.,找不到解释
post meridiem,"na. 午后
 下午；拉丁语"
Jewish,adj. 犹太人的；犹太族的
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
context,n. 环境；上下文；来龙去脉
armed,adj. 武装的；有扶手的；有防卫器官的（指动物）
reread,"n. 重读
vt. 重读；再读
vi. 重读，再读"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
contribution,n. 贡献；捐献；投稿
see sb. doing sth.,找不到解释
stare at,"na. 瞪着看
 凝视；盯着；盯着看"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
 下来；动身；离开"
say to oneself,心里想到
be able to do, 能够做某事；能做某事；有能力做某事
think about sth.,找不到解释
spend ... time doing,找不到解释
spend ... time in doing,找不到解释
make sb. do sth.,找不到解释
clear away,"na. 扫除；砍去；(雾等)消散
 收拾；把…清除掉；去掉"
run across sb.,找不到解释
run into sb.,找不到解释
run across sth.,找不到解释
run into sth.,找不到解释
a couple of,"det. 一对
 几个；两个；两三个"
make a contribution to,"na. 捐赠；贡献给
 为……做贡献；为……做出贡献；作出贡献"
take sth. away,"adj. 买回去的
 拿走；带走；外带"
take sth. away with sb.,找不到解释
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
go over,"na. 仔细查看；仔细搜查；排练；重温
 复习；检查；仔细检查"
begin to do sth.,找不到解释
used to do sth.,找不到解释
get an idea, 有一种想法；想到一个注意；有主意
have an idea, 有了个主意；有一个主意；有了一个主意
get an idea of, 了解
have an idea of,找不到解释
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
elderly,adj. 上了年纪的；过了中年的；稍老的
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
ambulance,n.  救护车；战时流动医院
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
repeatedly,adv. 反复地；再三地；屡次地
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
wore,v. 穿（衣服等）；戴（首饰等）；装着（wear的过去式）
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的"
emergency-room,n. 急诊室
Marine,找不到解释
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
jeep,n. 吉普车
wade,"n. 跋涉；可涉水而过的地方
vi. 跋涉
vt. 涉水；费力行走"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
enable,vt. 使能够，使成为可能；授予权利或方法
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
serviceman,n. 军人；维修人员
bedside,"n. 床边，床旁
adj. 床旁的，枕边的"
weak,adj.  疲软的；虚弱的；无力的；不牢固的
dimly,adv. 朦胧地；微暗
oxygen,n.  氧气， 氧
tent,"n. 帐篷；住处；帷幕
vt. 用帐篷遮盖；使在帐篷里住宿
vi. 住帐蓬；暂时居住"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
encouragement,n. 鼓励
dimly-lit,adj. 光线暗淡的
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
occasionally,adv. 偶尔；间或
clanking,v. 发出丁当声
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
laughter,n. 笑；笑声
night-staff,找不到解释
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
snore,"n. 鼾声
vt. 打鼾
vi. 打呼噜；打着鼾声渡过"
tightly,adv. 紧紧地；坚固地
lifeless,adj. 无生命的；死气沉沉的；无趣味的
sympathy,n. 同情；慰问；赞同
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
