Helen,找不到解释
Mike,找不到解释
morning,n. 早晨；黎明；初期
afternoon,n. 午后，下午
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
dad,n. 爸爸；爹爹
mum,"adj. 沉默的
n. 妈妈（口语）；沉默；菊花
vi. 演哑剧
int. 别说话"
teacher,n. 教师；导师
a book,找不到解释
a bag, 一个包；袋子；一个书包
a pencil,找不到解释
a pencil box,找不到解释
a banana,找不到解释
a pear,找不到解释
a mango,找不到解释
a peach, 桃子；一只桃子；一个桃子
a cow, 一头母牛；奶牛；一头奶牛
a duck, 一只鸭子；飞来一只野鸭；鸭子会游泳
a pig, 猪猡；一只猪；一头猪
a cat, 一只猫；一只小猫；柏里欧是一只猫
a dog, 一条狗；一只狗；小狗
a mouth,找不到解释
a nose, 鼻子；一只鼻子；一个鼻子
an ear,找不到解释
an eye, 眼睛；一只眼睛；一眼睛图片
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
sing,"n. 演唱；鸣声；呼啸声
vt. 唱；用诗赞颂；唱着使
vi. 唱歌；歌颂；鸣叫；呼号"
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
a card, 制作一张卡片；明信片；一张贺卡
a doll, 玩偶；一个洋娃娃；一只娃娃
a red packet,找不到解释
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
