downsize,vt. 以较小尺寸设计；缩小尺寸；裁减人数
elimination,n. 消除；淘汰；除去
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
insecure,adj. 不安全的；不稳定的；不牢靠的
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
income,n. 收入，收益；所得
ex-banker, 前银行家
disposable,adj. 可任意处理的；可自由使用的；用完即可丢弃的
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
occurrence,n. 发生；出现；事件；发现
misfortune,n. 不幸；灾祸，灾难
depressed,"adj. 沮丧的；萧条的；压低的
v. 使沮丧；使萧条（depress的过去式和过去分词形式）；压低"
eagerly,adv. 急切地；渴望地；热心地
anticipate,vt. 预期，期望；占先，抢先；提前使用
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
courage,n. 勇气；胆量
presentation,n. 展示；描述，陈述；介绍；赠送
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
reserved,adj. 保留的，预订的；缄默的，冷淡的，高冷的；包租的
terrify,vt. 恐吓；使恐怖；使害怕
visibly,adv. 明显地；显然；看得见地
heartbeat,n. 心跳；情感
audible,"adj. 听得见的
听得见地"
assignment,n. 分配；任务；作业；功课
amazement,n. 惊异；惊愕
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
zone,  地带、地区（德语）
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
inner,"n. 内部
adj. 内部的；内心的；精神的"
self,"n. 自己，自我；本质；私心
adj. 同一的
vt. 使自花授精；使近亲繁殖
vi. 自花授精"
reevaluate,v. 再评估，再评价
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
fulfilling,adj. 令人满意的；能实现个人抱负的；令人高兴的
rejoin,"vt. 再加入；使…再结合；再回答
vi. 答辩；回答；重新聚合"
simplify,vt. 简化；使单纯；使简易
revisit,"n. 再访问
vt. 重游；再访；重临"
result in,"na. 终于(失败)
 导致；结果是；造成"
make all the difference, 关系重大；大不相同；重要
hold someone back,
hold something back, 保留；举行某事
by nature,"na. 生就；从本性上说
 生来；天生的；生性"
no matter,"na. 没事儿
 无论；不管；不论"
no matter what,"na. 不管怎什么
 无论如何；无论什么；不管什么"
no matter how,"na. 不管怎样
 无论怎样；无论怎么样；不管如何"
no matter whether, 不论是否；无论是否；即使
rat race,"n. （大城市里为财富、权力等的）疯狂竞争
 亡命夺宝；激烈的竞争；亡命寻宝"
on one's terms,
you bet,"na. 肯定
 当然；一定，当然；你说的没错"
make room for,"na. 让地位给…
 给……腾出地方；腾出空间；给……腾地方"
nowadays,"adv. 现今；时下
n. 当今"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
data,n. 数据（datum的复数）；资料
processor,n.  处理器；处理程序；加工者
analyst,n. 分析者；精神分析医师；分解者
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
possibly,adv. 可能地；也许；大概
everyday,"n. 平时；寻常日子
adj. 每天的，日常的"
junk,n. 垃圾，废物；舢板
handful,n. 少数；一把；棘手事
production,n. 成果；产品；生产；作品
construct,"n. 构想，概念
vt. 建造，构造；创立"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
elevator,n. 电梯；升降机；升降舵；起卸机
vital,adj. 至关重要的；生死攸关的；有活力的
scowl,"n. 愁容；怒容；阴沉沉的样子
vt. 皱眉表示；对…沉下脸
vi. 皱眉；怒视"
retype,vt. 重新输入
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
comparison,n. 比较；对照；比喻；比较关系
afterward,adv. 以后，后来
fall apart,"na. 土崩瓦解
 崩溃；破碎；四分五裂"
in effect,"na. 实际上；总之；有效
 事实上；生效；正在实行"
wear out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
think of ... as ...,
at any given moment,
make of someone,
make of something,
think over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
concentration,n. 浓度；集中；浓缩；专心；集合
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
edible,"n. 食品；食物
adj. 可食用的"
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
precious,adj. 宝贵的；珍贵的；矫揉造作的
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
darling,n. 心爱的人；亲爱的
be hungry for,"v. 渴望
 渴望得到；如饥似渴；渴求"
lose one's control,
have ... in common,"un. 没有共同之处；有某些共同之处
 共同点；与…有共通之处；有共同点"
a faraway look, 恍惚的神色
Nazi,"n. 纳粹党人；纳粹主义信徒
adj. 纳粹党的；纳粹主义的"
Jew,"n. 犹太人；犹太教徒；守财奴
vt. 欺骗；杀价"
northern,"adj. 北部的；北方的
n. 北部方言"
snowstorm,n. 暴风雪；雪暴
sweetheart,"n. 爱人；心上人
vt. 向…求爱；与…恋爱
vi. 爱慕；恋爱
adj. 私下签订的；私下达成的"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
speedy,adj. 快的；迅速的；敏捷的
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
polish,
pavement,"n. 人行道
路面"
prayer,n. 祈祷，祷告；恳求；祈祷文
anniversary,n. 周年纪念日
folks,n. （复数）人们
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
see someone through,帮助某人度过(难关、危险等)；足以维持某人的(生活)等
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
let someone down, 不支持，辜负，拆台
be wrapped up in something,
pull into,"un. 停车；进
 驶入；开进；让车等驶入"
stick with someone,
application,n. 应用；申请；应用程序；敷用
reflection,n. 反射；沉思；映象
preference,n. 偏爱，倾向；优先权
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
ensure,vt. 保证，确保；使安全
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
introductory,adj. 引导的，介绍的；开端的
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
salutation,n. 称呼；问候；招呼；寒喧
employment,n. 使用；职业；雇用
statement,n. 声明；陈述，叙述；报表，清单
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
specification,n. 规格；说明书；详述
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
