aberrant,adj. 异常的；畸变的；脱离常轨的；迷乱的
aberration,n. 失常；离开正路，越轨
abjure,vt. 发誓放弃；公开放弃；避免
aboveboard,"adj. 光明正大的；直率的
adv. 光明正大地；率直地"
abrogate,vt. 废除；取消
abstain,vi. 自制；放弃；避免
abstruse,adj. 深奥的；难懂的
abysmal,adj. 深不可测的；糟透的；极度的
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accolade,n. 荣誉；荣誉称号授予仪式；连谱号；称赞
acerbic,adj. 尖刻的（等于acerb）；酸的；辛辣的
acme,n. 顶点，极点；最高点
acrimony,n. 辛辣；尖刻；严厉
adamant,"n. 坚硬的东西；坚石
adj. 固执的，坚强的；坚定不移的；坚硬无比的"
adequate,adj. 充足的；适当的；胜任的
adjudicate,"vt. 裁定；宣判
vi. 裁定；宣判"
admonish,vt. 告诫；劝告
admonitory,adj. 劝告的，警告的
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
aesthete,n. 唯美主义者；审美家
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
affable,adj. 和蔼可亲的；友善的
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
afford,vt. 给予，提供；买得起
alacrity,n. 敏捷；轻快；乐意
altruism,n. 利他；利他主义
amalgam,n.  汞合金， 汞齐；混合物
ambiguous,adj. 模糊不清的；引起歧义的
ambivalent,adj. 矛盾的；好恶相克的
ameliorate,"vt. 改善；减轻（痛苦等）；改良
vi. 变得更好"
amenable,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的
amiable,adj. 和蔼可亲的，亲切的
amok,"adj. 杀人狂的；狂乱的
adv. 狂乱地；杀人狂地"
amorphous,adj. 无定形的；无组织的； 非晶形的
amply,adv. 充足地；广大地
anachronism,n. 时代错误；不合潮流的人或物
analogous,adj. 类似的； 同功的；可比拟的
anathema,n. 诅咒；革出教门；被诅咒者；令人厌恶的人
anemic,adj. 患贫血症的，贫血的
animosity,n. 憎恶，仇恨，敌意
anodyne,"n.  止痛剂；起安慰作用的事物
adj. 止痛的；安慰人的；平淡无奇的"
anomalous,adj. 异常的；不规则的；不恰当的
anomaly,n. 异常；不规则；反常事物
antedate,"n. 比实际提前的日期
vt. 先于；前于"
antic,"n. 滑稽动作；丑角
adj. 古怪的；滑稽可笑的
vi. 扮小丑；做滑稽动作"
antipathy,n. 反感；厌恶；憎恶；不相容
antiquated,"adj. 过时的；陈旧的；年老的
v. 使古旧；废弃（antiquate的过去分词）"
antithetical,adj. 对立的，正相反的
apathetic,adj. 冷漠的；无动于衷的，缺乏兴趣的
apathy,n. 冷漠，无兴趣，漠不关心；无感情
apex,n. 顶点；尖端
aphorism,n. 格言；警句
aphoristic,adj. 格言（似）的；警句（似）的
aplomb,n. 沉着；垂直；泰然自若
apocryphal,adj. 伪的；可疑的
apogee,"n. 最高点，极点；远地点
vt. 位于远地点；位于最高点"
apostate,"n. 脱党者；变节者；叛教者
adj. 变节的；脱党的；背教的"
apothegm,n. 格言；箴言；警句
apotheosis,n. 神化；崇拜，颂扬；尊奉为神
appease,vt. 使平息；使满足；使和缓；对…让步
appreciable,adj. 可感知的；可评估的；相当可观的
apprehension,n. 理解；恐惧；逮捕；忧惧
approbatory,adj. 认可的；赞赏的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
appurtenant,"adj. 附属的，附带的，有关的
n. 附属物"
arbitrary,adj.  任意的；武断的；专制的
arcane,adj. 神秘的；晦涩难解的；秘传的
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
archaic,adj. 古代的；陈旧的；古体的；古色古香的
arduous,adj. 努力的；费力的；险峻的
arrant,adj. 极恶的；声名狼藉的；彻头彻尾的
arriviste,n. 暴发户；一心想发迹的人；野心家
arrogate,vt. 冒称；霸占；没来由地将…归属于
artful,adj. 巧妙的；狡猾的；有技巧的；欺诈的
artifice,n. 诡计；欺骗；巧妙的办法
artless,adj. 天真的；朴实的；无虚饰的
ascendancy,n. 优势；支配地位（等于ascendency，ascendence）
ascetic,"n. 苦行者；禁欲者
adj. 苦行的；禁欲主义的"
ascribe,vt. 归因于；归咎于
askance,adv. 怀疑地；斜视地
asperity,n. （表面的）粗糙；（气候等的）严酷；艰苦的条件；（性格）粗暴
assail,vt. 攻击；质问；着手解决
assuage,vt. 平息；缓和；减轻
atavism,n. 返祖现象；隔代遗传
attenuate,"vt. 使减弱；使纤细
adj. 减弱的；稀薄的；细小的
vi. 变纤细；变弱"
audacious,adj. 无畏的；鲁莽的
audacity,n. 大胆；厚颜无耻
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
auspicious,adj. 吉兆的，吉利的；幸运的
austere,adj. 严峻的；简朴的；苦行的；无装饰的
autocratic,adj. 专制的；独裁的，专横的
avarice,n. 贪婪，贪财
avaricious,adj. 贪婪的；贪得无厌的
avert,vt. 避免，防止；转移
avid,adj. 渴望的，贪婪的；热心的
badger,"n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊
vt. 纠缠不休；吵着要；烦扰"
baleful,adj. 恶意的；有害的
assiduous,adj. 刻苦的，勤勉的
autonomous,adj. 自治的；自主的；自发的
balk,"n. 障碍；错误
vi. 犹豫；突然止步不前
vt. 阻止；推诿；错过"
banal,adj. 陈腐的；平庸的；老一套的
banality,n. 平凡；陈腐；陈词滥调
banish,vt. 放逐；驱逐
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
bastardization,n. 认定为私生子
beatific,adj. 幸福的；祝福的；快乐的
becoming,"n. （变化过程的）形成，发生
adj. 合适的，适当的"
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
begrudge,vt. 羡慕，嫉妒；吝惜，舍不得给
belie,vt. 掩饰；与…不符；使失望；证明…虚假错误
belittle,vt. 轻视；贬低；使相形见小
bellicose,adj. 好战的；好斗的
belligerent,"n. 交战国；参加斗殴的人或集团
adj. 交战的；好战的；交战国的"
bemoan,"vt. 惋惜；为…恸哭
vi. 叹息"
benighted,"adj. 愚昧的；赶路到天黑的
v. 使处于夜色包围之中；使愚昧无知（benight的过去分词）"
benign,adj. 良性的；和蔼的，亲切的；吉利的
bereft,"adj. 丧失的；被剥夺的；失去亲人的
v. 失去…的（bereave的过去式）"
besiege,vt. 围困；包围；烦扰
besmirch,vt. 弄污；损害；诽谤
besotted,"adj. 愚蠢的；糊涂的；醉的
v. 使糊涂（besot的过去式）"
