personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
addition,n. 添加； 加法；增加物
success,n. 成功，成就；胜利；大获成功的人或事物
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
mislead,vt. 误导；带错
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
courageous,adj. 有胆量的，勇敢的
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
matter,"n. 物质；事件
vi. 有关系；要紧"
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
acceptable,adj. 可接受的；合意的；可忍受的
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
protect,vt. 保护，防卫；警戒
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
widen,"vt. 放宽
vi. 变宽"
require,vt. 需要；要求；命令
creative,adj. 创造性的
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
popularity,n. 普及，流行；名气；受大众欢迎
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
