discrepancy,n. 不符；矛盾；相差
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
interchange,"n. 互换；立体交叉道
vt. （指两人等）交换；互换
vi. 交换；相互交换"
discretion,n. 自由裁量权；谨慎；判断力；判定；考虑周到
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
hospitality,n. 好客；殷勤
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
concept,n. 观念，概念
genius,n. 天才，天赋；精神
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
manual,"adj. 手工的；体力的
n. 手册，指南"
hysteric,"n. 癔病患者；歇斯底里患者
adj. 歇斯底里的；癔病的；亢奋的"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
ethnic,adj. 种族的；人种的
