conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
arise,vi. 出现；上升；起立
politeness,n. 有礼貌；优雅
tearful,adj. 含泪的；令人伤心的
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
grim-faced,adj. 面孔铁青的
appreciation,n. 欣赏，鉴别；增值；感谢
moody,adj. 喜怒无常的；易怒的；郁郁寡欢的
sullenness,n. 不高兴；情绪消沉
complaint,n. 抱怨；诉苦；疾病；委屈
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
justice,n. 司法，法律制裁；正义；法官，审判员
unpaved,adj. 未铺砌的；没有铺柏油的；没有铺石砖的
highway,n. 公路，大路；捷径
innate,adj. 先天的；固有的；与生俱来的
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
episode,n. 插曲；一段情节；插话；有趣的事件
dine,"vi. 进餐，用餐
vt. 宴请"
unscrew,vt. 旋开；旋松；从...旋出螺丝
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
catsup,n. 番茄酱（等于catchup）
busboy,n. （美）餐馆工（等于bus boy）
momentarily,adv. 随时地；暂时地；立刻
tighten,"vt. 变紧；使变紧
vi. 绷紧；变紧"
feign,"vt. 假装；装作；捏造；想象
vi. 假装；装作；作假；佯作"
pliers,n. 钳子；老虎钳（plier的复数形式）
impel,vt. 推动；驱使；激励
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
status,n. 地位；状态；情形；重要身份
repetition,n. 重复；背诵；副本
exception,n. 例外；异议
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
impatience,n. 急躁；无耐心
operator,n. 经营者；操作员；话务员；行家
sternly,adv. 严厉地；坚决地
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
unnecessary,adj. 不必要的；多余的，无用的
horn-blowing, 鸣喇叭
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
goad,"n. 刺激；（赶牲口用的）刺棒；激励
vt. 刺激；激励；用刺棒驱赶；煽动"
retaliate,"vi. 报复；回敬
vt. 报复"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
exasperation,n. 恼怒；恶化；惹人恼怒的事
discourteous,adj. 失礼的，无礼貌的；粗鲁的
combination,n. 结合；组合；联合； 化合
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
requirement,n. 要求；必要条件；必需品
predominantly,adv. 主要地；显著地
self-directed,adj. 自主的；自我指导的
intimacy,n. 性行为；亲密；亲昵行为；隐私
displace,vt. 取代；置换；转移；把…免职；排水
gladly,adv. 乐意地；高兴地；欢喜地
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
ulterior,adj. 将来的，较远的；在那边的；隐秘不明的
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
string,n. 线，弦，细绳；一串，一行
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
injustice,n. 不公正；不讲道义
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
beatitude,n. 祝福；至福
footnote,"n. 脚注；补充说明
vt. 给…作脚注；在脚注里评议"
not so much ... as ...,
take trouble to do sth.,
spare sb. sth. from sth.,
spare sb. from sth.,
goad sb. into sth.,
goad sth. into sth.,
goad sb. into doing sth.,
goad sth. into doing sth.,
be considerate of sb.,
identify with sb.,
identify with sth.,
be out of control, 不自禁；忍不住；失掉控制
get out of control,"na. 控制不住
 失去控制；不能操纵；摆脱控制"
impose sth. on sb.,
impose sth. on sth.,
suspect sb. of sth.,
suspect sb. of doing sth.,
be suspicious of sb.,
be suspicious of sth.,
be suspicious about sb.,
be suspicious about sth.,
come down to sth.,
assert,vt. 维护，坚持；断言；主张；声称
impossibility,n. 不可能；不可能的事
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
oppose,"vt. 反对；对抗，抗争
vi. 反对"
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
will,"n. 意志；决心；情感；遗嘱；意图；心愿
vt. 决心要；遗赠；用意志力使
vi. 愿意；下决心
aux. 将；愿意；必须"
reluctantly,adv. 不情愿地；嫌恶地
hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
hullo,int. 喂，哈啰（等于hello）
incredible,adj. 难以置信的，惊人的
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
cyclist,n. 骑自行车的人
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
landlord,n. 房东，老板；地主
red-faced,adj. 面红耳赤的
precise,adj. 精确的；明确的；严格的
heavily,adv. 沉重地；猛烈地；沉闷地
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
perception,n. 知觉； 感觉；看法；洞察力；获取
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
candlestick,n. 烛台
gaze,"n. 凝视；注视
vi. 凝视；注视"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
reflection,n. 反射；沉思；映象
cautious,adj. 谨慎的；十分小心的
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
undress,"n. 便服；裸体
vt. 使脱衣服；使卸去装饰；暴露
vi. 脱衣服"
nightshirt,n. 衬衫式长睡衣；男用长睡衣
woolen,"n. 毛织品
adj. 羊毛的；羊毛制的"
immense,adj. 巨大的，广大的；无边无际的；非常好的
thoughtful,adj. 深思的；体贴的；关切的
landlady,n. 女房东；女地主；女店主
conceal,vt. 隐藏；隐瞒
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
miraculously,adv. 奇迹般地；神奇地；非凡地；出乎意料地
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
watchfulness,n. 警觉性
gasworks,n. 煤气厂（等于gashouse）
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
accomplish,vt. 完成；实现；达到
footstep,n. 脚步；脚步声；足迹
