first floor,"n. 地面以上的一层；底层
 一楼；二楼；第二层"
second floor,"na. 二楼；三楼
 二层；第二层；三层"
teachers' office,
library,n. 图书馆，藏书室；文库
playground,n. 运动场，操场；游乐场
computer room,"un. 计算机机房；计算机室
 电脑室；计算机教室；计算机房"
art room, 绘画教室；美术室；美术教室
music room, 音乐教室；音乐室；音乐厅
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
homework,n. 家庭作业，课外作业
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
forty,"n. 四十
adj. 四十的；四十个的"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
English class, 英语课；英文课；英语课程
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
music class,
PE class,
dinner,n. 晚餐，晚宴；宴会；正餐
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
go to school,"na. 到校上课；上学去；开始求学
 去上学；去学校；到学校去"
go home,"na. 回家；死；(忠告等)刻骨铭心；击中
 回家吧；回家去；回家了"
go to bed,"na. 睡；同床；付印
 上床睡觉；去睡觉；就寝"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
now,"adv. 现在；如今；立刻
adj. 现在的
n. 现在；目前
conj. 由于；既然"
o'clock,abbr. …点钟（等于of the clock）
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
thirty,"num. 三十
n. 三十年代
adj. 三十个的"
hurry up,"na. 催促；赶快
 快点；赶紧；匆匆完成"
come on,"na. (演员)出台；进行(很好)；(暴风雨等)起；(病,苦痛等)加深
 来吧；加油；快点"
just a minute,"na. “wait/just a minute”的变体
 等一下；等一会儿；等一等"
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
windy,adj. 多风的，有风的；腹胀的；吹牛的
cloudy,adj. 多云的；阴天的；愁容满面的
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
rainy,adj. 下雨的；多雨的
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
be careful, 小心；当心；注意
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
New York,"n. 纽约州
 美国纽约；纽约市；纽约步"
how about ...,
degree,n. 程度，等级；度；学位；阶层
world,n. 世界；领域；世俗；全人类；物质生活
London,n. 伦敦
Moscow,n. 莫斯科（俄罗斯首都）
Singapore,n. 新加坡
Sydney,
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
tomato,n. 番茄，西红柿
potato,n.  土豆， 马铃薯
green beans,"n. 青豆
 绿豆；四季豆；扁豆"
carrot,"n. 胡萝卜
诱饵"
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
sheep,n. 羊，绵羊；胆小鬼
hen,n. 母鸡；女人；雌禽
these,"adj. 这些的
pron. 这些"
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
yum,int. 极好的；妙的；美味的
animal,"n. 动物
动物的"
those,"adj. 那些的
pron. 那些（that的复数）"
that,"conj. 因为；以至于
adj. 那；那个
pron. 那；那个
adv. 那么；那样"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
goat,n. 山羊；替罪羊（美俚）；色鬼（美俚）
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
clothes,n. 衣服
pants,n. 裤子
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
