rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
inventor,n. 发明家； 发明人；创造者
statesman,n. 政治家；国务活动家
philosopher,n. 哲学家；哲人
economist,n. 经济学者；节俭的人
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
puritan,"n. 清教徒
adj. 清教徒的"
persecution,n. 迫害；烦扰
almanac,n. 年鉴；历书；年历
ambulance,n.  救护车；战时流动医院
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
terrified,"v. 使恐惧；恐吓（terrify的过去分词）
adj. 感到恐惧的；受惊吓的"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
avoid,vt. 避免；避开，躲避；消除
midlife,n. 中年
funk,"n. 恐惧；怯懦；恐怖；臭味
vt. 害怕；畏缩；使闻到臭味
vi. 惊恐；畏缩；发出臭味"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
firehouse,n. 消防站；消防队
cowardly,"adj. 怯懦的，懦弱的；胆小的
adv. 胆怯地"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
hospice,n. 收容所；旅客招待所；救济院
colleague,n. 同事，同僚
printout,n.  打印输出；打印出的资料；晒相
seizure,n. 没收；夺取；捕获；（疾病的）突然发作
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
symptom,n.  症状；征兆
gospel,"n. 真理；信条
adj. 传播福音的；福音赞美诗的"
performance,n. 性能；绩效；表演；执行；表现
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
unthinkable,adj. 不能想象的；过分的
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
sanitize,vt. 使…无害；给…消毒；对…采取卫生措施
feel like,"na. 想要…；愿意…；感觉像是…
 觉得；感到想要做；想做"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
approve of,"na. 赞成
 赞同；同意；赞赏，同意"
occupation,n. 职业；占有；消遣；占有期
upwardly,adv. 向上地；在上面地
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
wisdom,n. 智慧，才智；明智；学识；至理名言
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
optimism,n. 乐观；乐观主义
imperturbable,adj. 冷静的；泰然自若的
ability,n. 能力，能耐；才能
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
opportunity,n. 时机，机会
growth,n. 增长；发展；生长；种植
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
involve,vt. 包含；牵涉；使陷于；潜心于
solve,"vt. 解决；解答；溶解
vi. 作解答"
philosophy,n. 哲学；哲理；人生观
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
eventually,adv. 最后，终于
oddball,"adj. 古怪的；奇怪的
n. 古怪；古怪的人"
laugh off,"v. 对…一笑置之
 用笑摆脱；笑而不理，表示不当一回事；一笑了之"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
cancer, 巨蟹座
outskirts,n. 市郊，郊区
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
bomber,n. 轰炸机；投弹手
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
sunshine,n. 阳光；愉快；晴天；快活
bulletin,"n. 公告，公报
vt. 公布，公告"
parlor,"n. 客厅；会客室；业务室
adj. 客厅的"
cocky,adj. 自大的；骄傲的；过于自信的
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
prayer,n. 祈祷，祷告；恳求；祈祷文
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
solemnly,adv. 庄严地；严肃地
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
cremate,vt. 火葬；烧成灰
bunker,"n. 沙坑；煤仓；燃料库
vt. 使陷入困境；把球击入沙坑"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
hectare,n. 公顷（等于1万平方米）
property,n. 性质，性能；财产；所有权
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
invasive,adj. 侵略性的；攻击性的
non-native,"adj. 非本地；非原生
n. 外乡人"
invader,n. 侵略者；侵入物
kudzu,n. 野葛
vine,"n. 藤；葡萄树；藤本植物；攀缘植物
vi. 长成藤蔓；爬藤"
agency,n. 代理，中介；代理处，经销处
recreation,n. 娱乐；消遣；休养
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
destructive,adj. 破坏的；毁灭性的；有害的，消极的
badger,"n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊
vt. 纠缠不休；吵着要；烦扰"
naturalist,"n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人
adj. 自然的（等于naturalistic）；自然主义的；博物学的"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
call at,"na. 访问(某家)；(车船)停靠(某地)
 拜访；拜访某地；拜访地点"
countryman,n. 乡下人，农村人；同胞
genuinely,adv. 真诚地；诚实地
species,"n.  物种；种类
adj. 物种上的"
traditionally,adv. 传统上；习惯上；传说上
