abnormal,adj. 反常的，不规则的；变态的
anonymous,adj. 匿名的，无名的；无个性特征的
delete,vt. 删除
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
destroy,vt. 破坏；消灭；毁坏
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
deprive,vt. 使丧失，剥夺
destruction,n. 破坏，毁灭；摧毁
destructive,adj. 破坏的；毁灭性的；有害的，消极的
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
disagree,vi. 不同意；不一致；争执；不适宜
disable,vt. 使失去能力；使残废；使无资格
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
disclose,vt. 公开；揭露
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
displace,vt. 取代；置换；转移；把…免职；排水
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
disapproval,n. 不赞成；不喜欢
discontinue,"vt. 停止；使中止
vi. 停止，中断"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
disability,n. 残疾；无能；无资格；不利条件
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
discourage,vt. 阻止；使气馁
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
discover,"vi. 发现
vt. 发现；发觉"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
imbalance,n. 不平衡；不安定
immoral,adj. 不道德的；邪恶的；淫荡的
impartial,adj. 公平的，公正的；不偏不倚的
impatient,adj. 焦躁的；不耐心的
immense,adj. 巨大的，广大的；无边无际的；非常好的
immediate,adj. 立即的；直接的；最接近的
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
irrespective,adj. 无关的；不考虑的；不顾的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
irrelative,adj. 无关系的；不关连的
inability,n. 无能力；无才能
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
inevitable,adj. 必然的，不可避免的
indignant,adj. 愤愤不平的；义愤的
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
injure,vt. 伤害，损害
intact,adj. 完整的；原封不动的；未受损伤的
integrity,n. 完整；正直；诚实；廉正
incredible,adj. 难以置信的，惊人的
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
innumerable,adj. 无数的，数不清的
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
nonprofit,adj. 非盈利的；不以盈利为目的的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
negligence,n. 疏忽；忽视；粗心大意
negligible,adj. 微不足道的，可以忽略的
unable,adj. 不会的，不能的； 无能力的；不能胜任的
unemployment,n. 失业；失业率；失业人数
undoubtedly,adv. 确实地，毋庸置疑的
unnecessary,adj. 不必要的；多余的，无用的
unavoidable,adj. 不可避免的；不能废除的
unfold,"vi. 展开；显露
vt. 打开；呈现"
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
unexpected,adj. 意外的，想不到的
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
uneasy,adj. 不舒服的；心神不安的；不稳定的
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
unusual,adj. 不寻常的；与众不同的；不平常的
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
mislead,vt. 误导；带错
misbehave,"vi. 作弊；行为不礼貌
vt. 使举止失礼；使行为不端"
misinterpret,vt. 曲解，误解
misfortune,n. 不幸；灾祸，灾难
misunderstand,vt. 误解；误会
deteriorate,"vi. 恶化，变坏
vt. 恶化"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
antithesis,n. 对立面；对照；对仗
antibody,n.  抗体
antipathy,n. 反感；厌恶；憎恶；不相容
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
controversial,adj. 有争议的；有争论的
controversy,n. 争论；论战；辩论
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
counteract,vt. 抵消；中和；阻碍
counterpart,n. 副本；配对物；极相似的人或物
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
overcome,"vt. 克服；胜过
vi. 克服；得胜"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
superb,adj. 极好的；华丽的；宏伟的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
superiority,n. 优越，优势；优越性
superstructure,n. 上层建筑；上部构造
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
meddle,vi. 管闲事，干预他人之事
mediation,n. 调解；仲裁；调停
deduct,vt. 扣除，减去；演绎
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
devalue,"vt. 使贬值；降低…的价值
vi. 贬值"
devaluation,n. 货币贬值
definite,adj. 一定的；确切的
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
depress,vt. 压抑；使沮丧；使萧条
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
derive,"vt. 源于；得自；获得
vi. 起源"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
underestimate,"n. 低估
vt. 低估；看轻"
undergo,vt. 经历，经受；忍受
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
underlie,vt. 成为……的基础；位于……之下
