textbook,n. 教科书，课本
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
aloud,adv. 大声地；出声地
pronunciation,n. 发音；读法
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
discover,"vi. 发现
vt. 发现；发觉"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
look up,"v. 查找；查阅；探望；看望
 向上看；抬头看；仰望"
grammar,n. 语法；语法书
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
pal,"n. 朋友，伙伴；同志
vi. 结为朋友"
physics,n. 物理学；物理现象
chemistry,n. 化学；化学过程
memorize,vt. 记住，背熟；记忆
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
born,"v. 出世（bear的过去分词）
adj. 天生的"
be born with, 天生具有；生而具有；生就
ability,n. 能力，能耐；才能
create,vt. 创造，创作；造成
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
attention,n. 注意力；关心；立正！（口令）
pay attention to,"na. 注意
 重视；对……注意；关心"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
connect ... with,找不到解释
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
knowledge,n. 知识，学问；知道，认识；学科
lifelong,adj. 终身的
wisely,adv. 明智地；聪明地；精明地
Annie,找不到解释
Alexander Graham Bell, 贝尔；亚历山大·格雷厄姆·贝尔；亚历山大·贝尔
mooncake,n. 月饼
lantern,n. 灯笼；提灯；灯笼式天窗
stranger,n. 陌生人；外地人；局外人
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
put on,"na. 假话
 穿上；上演；戴上"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
goddess,n. 女神，受崇拜的女性
whoever,"pron. 无论谁；任何人
n. 《爱谁谁》（电影名）"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
lay out,"n. 布局；设计；规划；安排
 布置；摆开；花费"
dessert,n. 餐后甜点；甜点心
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
tradition,n. 惯例，传统；传说
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
haunted,"v. 常去；缠住；使担忧（haunt的过去式和过去分词）
adj. 闹鬼的；反复出现的；受到困扰的"
ghost,"n. 鬼，幽灵
vt. 作祟于；替…捉刀；为人代笔
vi. 替人代笔"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
spider,n. 蜘蛛；设圈套者；三脚架
Christmas,n. 圣诞节；圣诞节期间
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
novel,"adj. 新奇的；异常的
n. 小说"
eve,n. 前夕；傍晚；重大事件关头
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
business,n. 商业； 生意； 交易；事情
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
warmth,n. 温暖；热情；激动
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
Macao,n. 澳门
Chiang Mai,"n. 清迈
 清迈府；泰国清迈；清迈省"
Water Festival,找不到解释
Mid-Autumn Festival,找不到解释
Mother's Day,"na. (美国和加拿大的)母亲节
 第二个星期日母亲节；月的第二个星期日；月第二个星期日"
Father's Day,"na. 父亲节(每年六月的第三个星期日)
 第三个星期日父亲节；异趣父亲节；父亲忌日"
Halloween,n. 万圣节前夕（指十月三十一日夜晚）
A Christmas Carol, 圣诞颂歌；小气财神；圣诞欢歌
Easter,n. 复活节
Clara,找不到解释
Santa Claus,"n. 身着红衣
 圣诞老人；圣诞老公公；圣诞老人的由来"
Charles Dickens, 狄更斯；查尔斯·狄更斯；英国大文豪狄更斯
Scrooge,找不到解释
Jacob Marley, 雅各布·马利；马里；埃比尼泽•斯克鲁奇
restroom,n. 厕所；洗手间
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
bookstore,n. 书店（等于bookshop）
beside,prep. 在旁边；与…相比；和…无关
postcard,n. 明信片
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
washroom,n. 洗手间；盥洗室；厕所
bathroom,n. 浴室；厕所；盥洗室
normally,adv. 正常地；通常地，一般地
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
pass by,"na. 经过；不过问；打…旁边过去；通用(…这个名字)
 路过；走过；忽略"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
grape,n. 葡萄；葡萄酒；葡萄树；葡萄色
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
pardon me, 对不起；原谅我；请原谅
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
inexpensive,adj. 便宜的
uncrowded,adj. 宽敞的；不拥挤的
convenient,adj. 方便的；适当的；近便的；实用的
mall,n. 购物商场；林荫路；铁圈球场
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
politely,adv. 有礼貌地；客气地；委婉地；殷勤地
request,"n. 请求；需要
vt. 要求，请求"
direction,n. 方向；指导；趋势；用法说明
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
speaker,n. 演讲者；扬声器；说话者；说某种语言的人
whom,pron. 谁（who的宾格）
impolite,adj. 无礼的；粗鲁的
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
parking lot,"n. 停车场
 停车处；停车位；平面停车场"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
Italian,"n. 意大利人；意大利语
adj. 意大利的；意大利文化的；意大利语的"
Tim,找不到解释
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
helpful,adj. 有帮助的；有益的
from time to time,"na. 时时
 有时；不时；不时地"
