ban,"n. 禁令，禁忌
vt. 禁止，取缔"
buy up,"na. 囤积；整批收购；购进(其他公司)
 尽可能买进；全部买进；全部买下"
involve,vt. 包含；牵涉；使陷于；潜心于
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
lay down,"v. 躺下；不反抗；屈服；顺从
 放下；制定；规定"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
verdict,n. 结论；裁定
specialisation,n. 特殊化，专门化，特化作用
accumulation,n. 积聚，累积；堆积物
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
subject matter,"n. 题材
 主题；标的物；论题"
professionalisation, 职业化；专业化过程；职业化阶段
clear-cut,adj. 清晰的；轮廓鲜明的
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
exception,n. 例外；异议
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
consequent,"n. 结果
adj. 随之发生的；作为结果的"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
geology,n. 地质学；地质情况
geological,adj. 地质的，地质学的
publication,n. 出版；出版物；发表
primacy,n. 首位；卓越；大主教的职位
definition,n. 定义； 清晰度；解说
constitute,vt. 组成，构成；建立；任命
worthwhile,adj. 值得做的，值得花时间的
in one's own right,"na. 依据自己的权利；依据自己生来应有的权利
 凭本身的头衔；独立的；依照自己的权利"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
readership,n. 读者人数；读者们；读者的身分
differentiation,n. 变异， 分化；区别
geologist,n. 地质学家，地质学者
whereas,conj. 然而；鉴于；反之
under way,"na. 进行着；航行中
 在进行中；正在进行之中；正在进行中"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
crucial,adj. 重要的；决定性的；定局的；决断的
division,n.  除法；部门；分配；分割；师（军队）；赛区
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
work against, 对……不利；对…产生不利的作用和影响；反对
optimistic,adj. 乐观的；乐观主义的
technological,adj. 技术的；工艺的
commercialize,vt. 使商业化；使商品化
universalize,vt. 使普遍化，使一般化
potential customer,"un. 潜在消费者
 潜在顾客；潜在客户；潜在主顾"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
impoverished,"adj. 穷困的；用尽了的，无创造性的
v. 使贫困（impoverish的过去分词）"
get over,"na. 同“get across”
 克服；恢复；越过"
anti-colonial,adj. 反殖民主义的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
sovereignty,n. 主权；主权国家；君主；独立国
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
infrastructure,n. 基础设施；公共建设；下部构造
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
for that matter,"na. 就此而言
 关于那一点；就那件事而论；而且"
better off,"adj. 富有的；富裕的；境况良好
 情况更好；更富裕；经济状况好的"
lie down,"v. 躺下；不反抗；屈服；顺从
 躺下不干；躺下来；躺倒"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
telecom,n. 电信，远距通信；电讯
painful,adj. 痛苦的；疼痛的；令人不快的
journalism,n. 新闻业，新闻工作；报章杂志
credibility,n. 可信性；确实性
turn out to be, 证明是；结果是；原来是
factual,adj. 事实的；真实的
head-scratching, 令人挠头的；令人头痛的；令人头疼的
puzzlement,n. 迷惑；费解
in the world,"na. 在世界上；究竟
 到底；全世界；长城是世界一大奇迹"
way,"n. 方法；道路；方向；行业；习惯
adj. 途中的
adv. 大大地；远远地"
template,n. 模板，样板
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
newsroom,n. 新闻编辑部；报刊阅览室
backbone,n. 支柱；主干网；决心，毅力；脊椎
ready-made,adj. 现成的；做好的；陈旧的；平凡的
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
disconnect,"vt. 拆开，使分离
vi. 断开"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
questionnaire,n. 问卷；调查表
