wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
get down to,"v. 认真对待
 开始；着手；着手做"
moment,n. 片刻，瞬间，时刻；重要，契机
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
prosaic,adj. 平凡的，乏味的；散文体的
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
thoroughly,adv. 彻底地，完全地
hospitality,n. 好客；殷勤
elsewhere,adv. 在别处；到别处
kindness,n. 仁慈；好意；友好的行为
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
surroundings,n. 环境；周围的事物
charming,"adj. 迷人的；可爱的
v. 使陶醉（charm的现在分词）"
no wonder, 难怪；怪不得；不足为奇
reciprocate,"vt. 报答；互换；互给
vi. 往复运动；互换；酬答；互给"
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
be available for, 有效；可利用的；可供……利用
language,n. 语言；语言文字；表达能力
campus,n. （大学）校园；大学，大学生活；校园内的草地
cordially,adv. 诚挚地，诚恳地；友善地
January,n. 一月
invite,"n. 邀请
vt. 邀请，招待；招致"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
question and answer session, 问答环节；问答阶段；会议问答阶段
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
similarly,adv. 同样地；类似于
dissatisfaction,n. 不满；令人不满的事物
disappointing,"adj. 令人失望的；令人扫兴的
v. 令人失望（disappoint的ing形式）；辜负…的期望"
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
extremely,adv. 非常，极其；极端地
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
overprice,vt. 对…定价过高；定价高于…的购买力
five-star,adj. 五星级的；第一流的，最高级的
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
on a daily basis, 每天；日常；每天都
therefore,adv. 因此；所以
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
eat out,"v. 出去吃；在外面吃饭
 下馆子；出去吃饭；上馆子吃饭"
complaint,n. 抱怨；诉苦；疾病；委屈
enclose,vt. 围绕；装入；放入封套
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
in the future,"adv. 今后
 将来；在将来；在未来"
greatly,adv. 很，大大地；非常
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
at your earliest convenience,"na. 务请从速
 尽早；在你方便时尽早；你最方便的时候"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
receipt,"n. 收到；收据；收入
vt. 收到"
professor,n. 教授；教师；公开表示信仰的人
memorable,adj. 显著的，难忘的；值得纪念的
feedback,n. 反馈；成果，资料；回复
handout,n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
take down,"na. 扯下；卷起；记下；卸下
 拿下；取下；拆卸"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
discussion,n. 讨论，议论
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
informative,adj. 教育性的，有益的；情报的；见闻广博的
suitable,adj. 适当的；相配的
inspiring,"v. 鼓舞；激发；使感悟（inspire的ing形式）
adj. 鼓舞人心的；灌输的；启发灵感的"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
deepen,"vt. 使加深；使强烈；使低沉
vi. 变深；变低沉"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
look forward to,"na. 盼望
 期待；期望；期盼"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
increasingly,adv. 越来越多地；渐增地
additional,adj. 附加的，额外的
in addition,"na. 加之
 另外；此外；又"
computer room,"un. 计算机机房；计算机室
 电脑室；计算机教室；计算机房"
lecture note,找不到解释
request,"n. 请求；需要
vt. 要求，请求"
lab,n. 实验室，研究室
install,vt. 安装；任命；安顿
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
prestigious,adj. 有名望的；享有声望的
the Spring and Autumn Period,找不到解释
celebrity,n. 名人；名声
Confucius,n. 孔子（中国哲学家，教育家）
life story,"n. 生平事迹
 生命故事；生活故事；人生故事"
thinker,n. 思想家；思想者
disciple,n. 门徒，信徒；弟子
educator,n. 教育家；教育工作者；教师
the Analects, 论语；论语集；品味国学
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
Confucianism,n. 孔子学说；儒家思想
long-standing,adj. 长期存在的；存在已久的
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
inner world,"na. 内心世界
 内在世界；精神世界；里面的世界"
Confucian thought,找不到解释
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
human value, 人的价值；人类价值；人类的价值
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
unfortunately,adv. 不幸地
look forward to,"na. 盼望
 期待；期望；期盼"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
be able to,"v. 能够
 会；有能力做某事；强调有能力"
infection,n. 感染；传染；影响；传染病
inform sb. of sth.,找不到解释
require,vt. 需要；要求；命令
situation,n. 情况；形势；处境；位置
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
congratulation,n. 祝贺；贺辞
Yale University,"n. 耶鲁大学
 美国耶鲁大学；毕业于美国耶鲁大学；康涅狄格州"
receive,"vt. 收到；接待；接纳
vi. 接收"
hard work,"na. 难苦的工作
 努力工作；艰苦的工作；勤奋"
doctorate,n. 博士学位；博士头衔
on your part,找不到解释
philosophy,n. 哲学；哲理；人生观
achievement,n. 成就；完成；达到；成绩
be proud of,"na. 以…自豪
 为…自豪；骄傲；以……为骄傲"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
certainly,adv. 当然；行（用于回答）；必定
success,n. 成功，成就；胜利；大获成功的人或事物
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
undertake,vt. 承担，保证；从事；同意；试图
think over,"v. 仔细考虑
 仔细思考；仔细考虑一下；再三考虑"
sightseeing,"n. 观光；游览
v. 观光（sightsee的ing形式）；游览
adj. 观光的；游览的"
Terracotta Warriors,找不到解释
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
be sure, 确信; 诚然; 有谱儿
tomb,"n. 坟墓；死亡
vt. 埋葬"
tourist destination, 旅游目的地；旅游景点；旅游胜地
emperor,n. 皇帝，君主
in the old days,"un. 得意的日子；从前
 旧社会；过去；过去的日子里"
Dayan Pagoda,找不到解释
dynasty,n. 王朝，朝代
the Banpo Museum,找不到解释
be full of,"na. 充满…(的)
 充满了；装满；充满他"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
relic,n. 遗迹，遗物；废墟；纪念物
plenty of,"na. 很多的
 许多；大量的；充足的"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
attraction,n. 吸引，吸引力；引力；吸引人的事物
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
sense of responsibility, 责任感；责任心；责任意识
serve as,"v. 用作；充当
 作为；担任；当作"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
platform,n. 平台；月台，站台；坛；讲台
interpersonal relation,人际关系
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
various,adj. 各种各样的；多方面的
ability,n. 能力，能耐；才能
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
proficiency,n. 精通，熟练
a range of,"det. 一大片；一排
 一系列；一些；一系列的"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
be involved in,"na. 被包入；被卷入漩涡
 参与；涉及；介入"
empower,vt. 授权，允许；使能够
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
decided,"vt. 决定（decide的过去式）
adj. 明确的；显然的；坚决的，果断的"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
competitive,adj. 竞争的；比赛的；求胜心切的
musical drama,音乐剧
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
group discussion,"n. 小组讨论
 分组讨论；团体讨论；集体讨论"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
ample,adj. 丰富的；足够的；宽敞的
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
written application,"un. 书面申请
 正式书面申请；书面正式专利；正式申请书"
participation,n. 参与；分享；参股
staff office, 医护办公室；职员办公室；技术员办公室
be helpful to,"v. 有助于；对…有
 对……有益处；对…有帮助；对……是有帮助的"
deadline,n. 截止期限，最后期限
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
sign up,"na. 同“sign”
 注册；报名；签约"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
speedy,adj. 快的；迅速的；敏捷的
indicate,vt. 表明；指出；预示；象征
a large number of,"adj. 极多；许多
 大量的；很多；表示大量的"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
in addition,"na. 加之
 另外；此外；又"
private car,"un. 私人汽车；服务车
 私家车；私人轿车；企业自备车"
a great many,"na. 很多的
 许多；大量；许许多多"
all the time,"na. 始终；老是
 一直；总是；无时无刻"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
go up,"na. 上升；上城市去；腾贵；烧起来
 上涨；增长；上去"
transportation,n. 运输；运输系统；运输工具；流放
a good many,"na. 很多的
 许多；相当多；大量的"
greatly,adv. 很，大大地；非常
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
as follows,"na. 如下；以下
 如下所述；如下所示；如次"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
to begin with,"na. 首先；本来
 第一；一开始；起初"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
line chart,"un. 折线图；线路施工图
 线形图；曲线图；趋势曲线图"
quickening pace,找不到解释
gymnasium,n. 体育馆；健身房
urban life, 城市生活；都市生活；城市生活图片
doing exercise,找不到解释
ever-increasing pressure,找不到解释
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
in mounting numbers,找不到解释
be on a steady rise,找不到解释
considerably,adv. 相当地；非常地
departments concerned,找不到解释
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
tendency,n. 倾向，趋势；癖好
respectively,adv. 分别地；各自地，独自地
energetic,adj. 精力充沛的；积极的；有力的
keep a balanced diet,找不到解释
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
vigorous,adj. 有力的；精力充沛的
burn the midnight oil,"na. 干到深夜；开夜车
 挑灯夜战；熬夜；熬夜读书"
stay up late,"un. 整晚不睡；守着；迟睡
 熬夜；熬夜到很晚；熬夜到很迟"
persistent,adj. 固执的，坚持的；持久稳固的
studying abroad, 留学海外；出国留学；国外学习的利与弊
expand knowledge,找不到解释
growth rate,"na. 增长率
 生长速率；生长率；生长速度"
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
studying overseas,找不到解释
social interaction,"un. 社会交互作用；社会相互作用
 社会互动；社交互动；社会交往"
on a steady rise,找不到解释
strong willpower,找不到解释
on the contrary,"na. 反之
 正相反；相反地；相反的"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
linguistic knowledge,找不到解释
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
cultural understanding, 文化理解；文化了解；文化领悟
approximately,adv. 大约，近似地；近于
equipped with,"un. 配备
 装备；装有…的；配有"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
modern-day workplace,找不到解释
aforementioned,adj. 上述的；前面提及的
excellent opportunity,找不到解释
bar chart,"n. 条形统计图
 条形图；柱状图；棒形图"
transaction,n. 交易；事务；办理；会报，学报
formality,n. 礼节；拘谨；仪式；正式手续
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
preferable,adj. 更好的，更可取的；更合意的
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
undoubtedly,adv. 确实地，毋庸置疑的
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
prosperity,n. 繁荣，成功
availability,n. 可用性；有效性；实用性
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
SOHO,找不到解释
information technology,"n. 信息技术
 资讯科技；信息科技；资讯技术"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
e-commerce,n. 电子商务
have access to,"na. 得接近；得会见；得进入
 使用；有权使用；可以接近"
inevitable,adj. 必然的，不可避免的
what is more,"na. 加之
 而且；更重要的是；更有甚者"
accordingly,adv. 因此，于是；相应地；照著
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
