disastrous,adj. 灾难性的；损失惨重的；悲伤的
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
fate,"n. 命运
vt. 注定"
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
literacy,n. 读写能力；精通文学
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
equip,vt. 装备，配备
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
abnormal,adj. 反常的，不规则的；变态的
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
statistics,n. 统计；统计学； 统计资料
apparent,adj. 显然的；表面上的
association,n. 协会，联盟，社团；联合；联想
defense,"n. 防卫，防护；防御措施；防守
vt. 谋划抵御"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
valley,n. 山谷；流域；溪谷
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
await,vt. 等候，等待；期待
complicated,adj. 难懂的，复杂的
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
solution,n. 解决方案；溶液；溶解；解答
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
sympathy,n. 同情；慰问；赞同
fulfil,vt. 履行；完成；实践；满足
vain,adj. 徒劳的；自负的；无结果的；无用的
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
eve,n. 前夕；傍晚；重大事件关头
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
detect,vt. 察觉；发现；探测
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
rely,vi. 依靠；信赖
deceive,v. 欺骗；行骗
sub,"n. 潜水艇；地铁；替补队员
vi. 代替"
famine,n. 饥荒；饥饿，奇缺
strategy,n. 战略，策略
cumulative,adj. 累积的
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
bewilder,vt. 使迷惑，使不知所措
density,n. 密度
motivate,vt. 刺激；使有动机；激发…的积极性
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
preside,"vi. 主持，担任会议主席
vt. 管理"
recovery,n. 恢复，复原；痊愈；重获
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
deserve,"vi. 应受，应得
vt. 应受，应得"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
essence,n. 本质，实质；精华；香精
alleviate,vt. 减轻，缓和
basis,n. 基础；底部；主要成分；基本原则或原理
greedy,adj. 贪婪的；贪吃的；渴望的
substance,n. 物质；实质；资产；主旨
maturity,n. 成熟；到期；完备
peculiarity,n. 特性；特质；怪癖；奇特
parasite,n. 寄生虫；食客
casualty,n. 意外事故；伤亡人员；急诊室
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
unanimous,adj. 全体一致的；意见一致的；无异议的
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
cavity,n. 腔；洞，凹处
ministerial,adj. 部长的；内阁的；公使的；牧师的
adherence,n. 坚持；依附；忠诚
oust,vt. 驱逐；剥夺；取代
transcribe,vt. 转录；抄写
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
retrieval,n. 检索；恢复；取回；拯救
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
elicit,vt. 抽出，引出；引起
infinity,n. 无穷；无限大；无限距
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
rigor,n. 严厉；精确；苛刻；僵硬
deter,vt. 制止，阻止；使打消念头
dressing,"n. 穿衣；加工；调味品；装饰；梳理
v. 给…穿衣；为…打扮（dress的现在分词）"
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
fireworks,"n. 烟火, 激烈争论
 焰火"
fireplace,n. 壁炉
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
tornado,n.  龙卷风；旋风；暴风；大雷雨
atrocity,n. 暴行；凶恶，残暴
pesticide,n. 杀虫剂
limelight,"n. 石灰光，石灰光灯；众人注目的中心
vt. 使显露头角，使受到注目"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
beverage,n. 饮料
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
clothe,vt. 给…穿衣；覆盖；赋予
advent,n. 到来；出现；基督降临；基督降临节
arbitrate,vt. 仲裁；公断
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
compassion,n. 同情；怜悯
proofread,"vt. 校对，校勘
vi. 做校对工作"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
enable,vt. 使能够，使成为可能；授予权利或方法
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
salvation,n. 拯救；救助
suppress,vt. 抑制；镇压；废止
currency,n. 货币；通货
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
hierarchy,n. 层级；等级制度
cope,"n. 长袍
vi. 处理；对付；竞争"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
universe,n. 宇宙；世界；领域
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
pollution,"n. 污染
污染物"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
salad,n. 色拉；尤指莴苣
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
response,n. 响应；反应；回答
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
abundant,adj. 丰富的；充裕的；盛产
reunion,n. 重聚；（班级或学校的）同学会，同窗会
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
literature,n. 文学；文献；文艺；著作
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
interference,n. 干扰，冲突；干涉
prestige,n. 威望，声望；声誉
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
massive,adj. 大量的；巨大的，厚重的；魁伟的
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
myth,n. 神话；虚构的人，虚构的事
marginal,adj. 边缘的；临界的；末端的
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
