fallacy,n. 谬论，谬误
pact,n. 协定；公约；条约；契约
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
well-off,adj. 富裕的；顺利的，走运的；繁荣昌盛的
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
makeup,n. 化妆品；组成；补充；补考
elite,n. 精英；精华；中坚分子
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
counterpart,n. 副本；配对物；极相似的人或物
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
situated,"v. 使位于；使处于（situate的过去分词）
adj. 位于…的；处于…境遇的"
expressway,n. （美）高速公路
venue,n. 审判地；犯罪地点；发生地点；集合地点
luminous,adj. 发光的；明亮的；清楚的
stereo,"n. 立体声；立体声系统；铅版；立体照片
adj. 立体的；立体声的；立体感觉的"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
obesity,n. 肥大，肥胖
explanatory,adj. 解释的；说明的
underway,"n.  水底通道
adj. 进行中的；起步的；航行中的"
inference,n. 推理；推论；推断
analytical,adj. 分析的；解析的；善于分析的
conversion,n. 转换；变换； 兑换；改变信仰
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
flatter,vt. 奉承；谄媚；使高兴
flattery,n. 奉承；谄媚；恭维话
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
petitioner,n. 请愿人；诉愿人；（英）离婚案原告
axe,"n. 斧
vt. 削减；用斧砍"
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
muscular,adj. 肌肉的；肌肉发达的；强健的
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
drip,"n. 水滴，滴水声；静脉滴注；使人厌烦的人
vt. 使滴下；溢出，发出
vi. 滴下；充满；漏下"
sarcasm,n. 讽刺；挖苦；嘲笑
disclosure,n.  披露；揭发；被揭发出来的事情
make a pact,
in exchange for,"na. 换
 交换；用……交换；作为交换"
set a date for,
appeal to,"v. 求助于；引起N
 呼吁；吸引；上诉"
make an analogy between,
draw an analogy between, 指出……之间的相似处；把加以比较；把加以相比
make sth. out of ...,
give sb. the axe,
be dripping with sth.,
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
realm,n. 领域，范围；王国
formulate,vt. 规划；用公式表示；明确地表达
layman,n. 外行；门外汉；俗人；一般信徒
stainless,adj. 不锈的；纯洁的，未被玷污的；无瑕疵的
incompetence,n. 无资格，不胜任；无能力；不适当；不熟练
accountability,n. 有义务；有责任；可说明性
petty,adj. 琐碎的；小气的；小规模的
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
refute,vt. 反驳，驳斥；驳倒
hypothesis,n. 假设
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
rivalry,n. 竞争；对抗；竞赛
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
plaza,n. 广场；市场，购物中心
overstate,vt. 夸张；夸大的叙述
prophet,n. 先知；预言者；提倡者
testify,"vi. 作证；证明
vt. 证明，证实；作证"
testimony,n.  证词，证言；证据
recount,"n. 重算
vt. 叙述；重新计算"
retention,n. 保留；扣留，滞留；记忆力；闭尿
retrieval,n. 检索；恢复；取回；拯救
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
rape,"n. 强奸，掠夺； 油菜；葡萄渣
vt. 强奸；掠夺，抢夺
vi. 犯强奸罪"
repel,vt. 击退；抵制；使厌恶；使不愉快
empirical,adj. 经验主义的，完全根据经验的；实证的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
incidence,n. 发生率；影响； 入射；影响范围
periodic,adj. 周期的；定期的
casino,n. 俱乐部，赌场；娱乐场
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
threshold,n. 入口；门槛；开始；极限；临界值
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
erroneous,adj. 错误的；不正确的
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
watertight,adj. 水密的；不漏水的；无懈可击的
by virtue of,"na. 靠
 由于；凭借；因"
factor sth. into sth.,
attribute sth. to sb.,
attribute sth. to sth.,
in reality,"na. 事实上；实在
 实际上；在现实中；其实"
come into play,"na. 开始活动
 开始起作用；开始运转；产生作用"
in that,"na. 因为；以…的理由
 由于；在于；在…方面"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
play the odds, 抢抓先机；玩概率；把握好机会
in a row,"na. 成一排；连续
 连续的；一连串；接连"
be stuck on sth.,
get stuck on sth.,
subject to sth.,"v. 处于…中；使服从
 受制于；以……为条件；以……为准"
rehearsal,n. 排演；预演；练习；训练；叙述
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
arrogant,adj. 自大的，傲慢的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
affix,"n.  词缀；附加物
vt. 粘上；署名；将罪责加之于"
allotment,n. 分配；分配物；养家费；命运
groom,"vi. 打扮
vt. 整饰；推荐；喂马；刷洗（马等）
n. 新郎；马夫；男仆"
grooming,"n. 修饰
v. 喂马；整饰；推荐（groom的ing形式）"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
deficient,adj. 不足的；有缺陷的；不充分的
chronic,adj. 慢性的；长期的；习惯性的
inborn,adj. 天生的；先天的
thigh,n. 大腿，股
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
aisle,n. 通道，走道；侧廊
warfare,n. 战争；冲突
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
appliance,n. 器具；器械；装置
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
via,prep. 渠道，通过；经由
elasticity,n. 弹性；弹力；灵活性
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
obsession,n. 痴迷；困扰； 强迫观念
obsessed,"adj. 着迷的；无法摆脱的
v. 着迷（obsess的过去式）；纠缠"
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
gorgeous,adj. 华丽的，灿烂的；极好的
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
conformity,n. 一致，适合；符合；相似
appease,vt. 使平息；使满足；使和缓；对…让步
prosecution,n. 起诉，检举；进行；经营
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
subjective,adj. 主观的；个人的；自觉的
excuse oneself,"na. 为自己辩解；说声“对不起”就(要)走开
 替自己辩解；谢；同本义"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
stick to sth.,
affix value to sth.,
in hopes of,"na. 希望着
 怀着…的希望；期待着；为期待"
reach out to, 接触；把手伸向；联系
become obsessed with ...,
be obsessed with ...,
voice an opinion on,
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
biomedical,adj. 生物医学的
physiological,adj. 生理学的，生理的
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
criterion,n. （批评判断的）标准；准则；规范；准据
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
