keep in touch with,"v. 与…保持接触
 与……保持联系；和…保持联系；与…保持联络"
evolution,n. 演变；进化论；进展
device,n. 装置；策略；图案
drawback,n. 缺点，不利条件；退税
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
construct,"n. 构想，概念
vt. 建造，构造；创立"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
black-and-white,adj. 印刷的；黑白混合的；用笔写的
accessible,adj. 易接近的；可进入的；可理解的
satellite dish,"n. 卫星电视碟形天线
 卫星天线；碟形卫星天线；圆盘式卫星电视天线"
distribute,vt. 分配；散布；分开；把…分类
percentage,n. 百分比；百分率，百分数
receiver,n. 接收器；接受者；收信机；收款员，接待者
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
eventually,adv. 最后，终于
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
digital,"n. 数字；键
adj. 数字的；手指的"
VCD,
storage,n. 存储；仓库；贮藏所
foresee,vt. 预见；预知
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
adaptation,n. 适应；改编；改编本，改写本
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
ample,adj. 丰富的；足够的；宽敞的
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
insurance,n. 保险；保险费；保险契约；赔偿金
obvious,adj. 明显的；显著的；平淡无奇的
all-round,adj. 多才多艺的；全面的；多方面的；综合性的
electronic,"adj. 电子的
n. 电子电路；电子器件"
translation,n. 翻译；译文；转化；调任
idiom,n. 成语，习语；土话
gram,n. 克；鹰嘴豆（用作饲料）
suitable,adj. 适当的；相配的
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
Christian,"n. 基督徒，信徒
adj. 基督教的；信基督教的"
carriage,n. 运输；运费；四轮马车；举止；客车厢
refrigerator,n. 冰箱，冷藏库
