likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
concept,n. 观念，概念
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
waist,n. 腰，腰部
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
cyberspace,n. 网络空间；赛博空间
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
climate,n. 气候；风气；思潮；风土
global,adj. 全球的；总体的；球形的
global warming,"n. 全球（气候）变暖；地球大气层变暖
 全球变暖；全球暖化；警惕全球变暖"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
reality,n. 现实；实际；真实
virus,n.  病毒；恶毒；毒害
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
rapidly,adv. 迅速地；很快地；立即
growth,n. 增长；发展；生长；种植
pessimistic,adj. 悲观的，厌世的；悲观主义的
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
terrorist,n. 恐怖主义者，恐怖分子
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
chaos,n. 混沌，混乱
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
optimistic,adj. 乐观的；乐观主义的
entertainment,n. 娱乐；消遣；款待
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
as if,"na. 彷佛；活像
 好像；仿佛；似乎"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
obvious,adj. 明显的；显著的；平淡无奇的
destruction,n. 破坏，毁灭；摧毁
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
scientific,adj. 科学的，系统的
the Pentagon,"na. 五角大厦；美国国防部
 五角大楼；美国五角大楼；请问五角大楼怎么说"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
network,n. 网络；广播网；网状物
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
get in touch, 取得联系；联系我们；和某某人联系
hang on,"v. 坚守；守住；坚持；支撑着
 坚持下去；抓紧不放；等一下"
be up to,"un. 面对；在干；居心
 胜任；该由…负责；应由"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
suggestion,n. 建议；示意；微量，细微的迹象
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
arrangement,n. 布置；整理；准备
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
destination,n. 目的地，终点
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
in the flesh,"na. 亲身；以肉体形式；活着的
 本人；行尸肉心；复生"
exit,"n. 出口，通道；退场
vi. 退出；离去"
historical,adj. 历史的；史学的；基于史实的
site,"n. 地点；位置；场所
vt. 设置；为…选址"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
millionaire,"n. 百万富翁；大富豪
adj. 100万以上人口的"
smoker,n. 吸烟者；薰制工
non-smoker,n. 不吸烟的人
tourism,n. 旅游业；游览
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
Maori,"adj. 毛利人的；毛利语的
n. 毛利人；毛利语"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
settlement,n. 解决，处理； 结算；沉降；殖民
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
suburb,n. 郊区；边缘
zone,  地带、地区（德语）
volcano,n. 火山
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
sunshine,n. 阳光；愉快；晴天；快活
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
surfing,"n. 冲浪游戏
v. 冲浪（surf的ing形式）"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
location,n. 位置（形容词locational）；地点；外景拍摄场地
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
be known as,"na. 通称
 被称为；被称作；被认为是"
Chinatown,n. 唐人街，中国城
officially,adv. 正式地；官方地；作为公务员
scenery,n. 风景；景色；舞台布景
cuisine,n. 烹饪，烹调法
attractive,adj. 吸引人的；有魅力的；引人注目的
spider,n. 蜘蛛；设圈套者；三脚架
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
rock 'n' roll,n. 摇滚乐
disco,n. 迪斯科舞厅；的士高
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
disappoint,vt. 使失望
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
unclear,adj. 不清楚的；不易了解的
be used to,"na. 惯于
 习惯于；适应；被用来"
album,n. 相簿；唱片集；集邮簿；签名纪念册
performance,n. 性能；绩效；表演；执行；表现
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
award,"n. 奖品；判决
vt. 授予；判定"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
extremely,adv. 非常，极其；极端地
creative,adj. 创造性的
powerful,"adj. 强大的；强有力的
adv. 很；非常"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
system,n. 制度，体制；系统；方法
audience,n. 观众；听众；读者；接见；正式会见；拜会
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
performer,n. 演出者；执行者；演奏者
instrument,n. 仪器；工具；乐器；手段；器械
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
carriage,n. 运输；运费；四轮马车；举止；客车厢
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
acrobatics,n. 杂技；巧妙手法
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
in other words,"na. 换句话说
 换言之；也就是说；也就是"
pianist,n. 钢琴家；钢琴演奏者
musician,n. 音乐家
at times,"na. 时时
 有时；有时候；时常"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
talent,n. 才能；天才；天资
worldwide,"adj. 全世界的
adv. 在世界各地"
in some ways, 在某些方面；在某种程度上；在一些方面
identity,n. 身份；同一性，一致；特性；恒等式
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
rediscover,vt. 重新发现；再发现
beauty,n. 美；美丽；美人；美好的东西
appearance,n. 外貌，外观；出现，露面
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
hairstyle,n. 发型
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
waltz,"n. 华尔兹舞；华尔兹舞曲
adj. 圆舞曲的；华尔兹舞的
vt. 硬拖；与…跳华尔兹舞
vi. 跳华尔兹舞；旋转；轻快地走动"
breakdance,n. 霹雳舞
encyclopedia,n. 百科全书（亦是encyclopaedia）
sword,n. 刀，剑；武力，战争
peacock,"n. 孔雀；雄孔雀；爱虚荣的人
vi. 炫耀；神气活现地走"
Swan Lake, 天鹅湖；柴可夫斯基；天鹅湖芭蕾舞曲
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
generation,n. 一代；产生；一代人；生殖
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
back and forth,"na. 来回地
 反复地；往返；前后"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
ballroom,n. 舞厅；跳舞场
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
tap dancing, 踢踏舞；踢躂舞；踢跶舞
tango,"n. 探戈舞；探戈舞曲
vi. 跳探戈舞"
reaction,n. 反应，感应；反动，复古；反作用
responsible,adj. 负责的，可靠的；有责任的
permission,n. 允许，许可
realistic,adj. 现实的；现实主义的；逼真的；实在论的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
wavy,adj. 多浪的；波动起伏的
imagination,n.  想象力；空想；幻想物
painter,n. 画家；油漆匠
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
exhibition,n. 展览，显示；展览会；展览品
poetry,n. 诗；诗意，诗情；诗歌艺术
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
mane,n. （马等的）鬃毛
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
youth,n. 青年；青春；年轻；青少年时期
insect,n. 昆虫；卑鄙的人
fix one's eyes on,"na. 注视
 目不转睛；盯着；凝视"
creature,n. 动物，生物；人；创造物
artist,n. 艺术家；美术家（尤指画家）；大师
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
typical,adj. 典型的；特有的；象征性的
elegantly,adv. 优美地
emphasise,vt. （英）强调；加强…的语气（等于emphasize ）
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
cloth,"n. 布；织物；桌布
adj. 布制的"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
eyesight,n. 视力；目力
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
balcony,n. 阳台；包厢；戏院楼厅
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
angel,"n. 天使；守护神；善人
vt. 出钱支持"
architect,"n. 建筑师
缔造者"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
loch,n. 湖；海湾（狭长的）
fairytale,adj. 童话式的；童话中才有的；优美无比的
granite,n. 花岗岩；坚毅；冷酷无情
sort of,"adv. 有几分地
 （想不出恰当的词或不知下面该怎么说时用）可以说，可说是"
café,找不到解释
phoenix,n. 凤凰；死而复生的人
rooster,n. 公鸡；狂妄自负的人
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
tomb,"n. 坟墓；死亡
vt. 埋葬"
date back,"un. 过时；始于
 回溯至；追溯到；回溯到"
date back to,"na. 回溯至
 追溯到；始于；可追溯到"
dynasty,n. 王朝，朝代
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
happiness,n. 幸福
temple,n. 庙宇；寺院；神殿；太阳穴
offering,"n. 提供；祭品；奉献物；牲礼
v. 提供（offer的ing形式）"
