hot dog,"n. 热狗（香肠面包）；（滑雪、滑雪板运动或冲浪的）灵巧动作表演者
adj. 极好的
 红肠面包；热狗肠；小红肠"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
cola,n. 可乐；可乐树（其子含咖啡碱）
soup,"n. 汤，羹；马力
vt. 加速；增加马力"
dollar,n. 美元
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
enjoy,vt. 欣赏，享受；喜爱；使过得快活
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
to go, 去；走；外带
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
Oh dear!,
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
cloudy,adj. 多云的；阴天的；愁容满面的
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
quickly,adv. 迅速地；很快地
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
cry,"n. 叫喊；叫声；口号；呼叫
vi. 哭；叫；喊
vt. 叫喊；哭出；大声说"
thing,n. 事情；东西；事物；情况
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
fly away, 远走高飞；飞走；飞行
stairs,n. 楼梯；梯级（stair的复数）
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
arrive,vi. 到达；成功；达成；出生
hardly,adv. 几乎不，简直不；刚刚
raincoat,n. （美）雨衣
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
spaceship,n.  宇宙飞船
surprised,"v. 使惊奇（surprise的过去分词形式）
adj. 感到惊讶的，出人意料的"
made,"adj. 成功的；创造的
v. 做，使，安排（make的过去式和过去分词）"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
taikonaut,n. 中国太空人
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
flew,v. 飞，飞翔（fly的过去式）
spent,"v. 花费（spend的过去分词）；浪费；耗费
adj. 耗尽了的；精疲力尽的"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
someday,adv. 有一天，有朝一日
born,"v. 出世（bear的过去分词）
adj. 天生的"
illness,n. 病；疾病
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
all over the world,"adv. 遍及全世界
 世界各地；遍及世界；犹如全世界所知"
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
classmate,n. 同班同学
baseball,n. 棒球；棒球运动
brought,v. 带来（bring的过去分词）
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
make mistakes, 犯错；犯错误；出错
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
best wishes, 最美好的祝愿；最好的祝福；最良好的祝愿
luck,"n. 运气；幸运；带来好运的东西
vi. 靠运气，走运；凑巧碰上"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primary school,"n. 小学
 本村小学；小学教育；小学组"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
forever,adv. 永远；不断地；常常
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
