questionnaire,n. 问卷；调查表
matter,"n. 物质；事件
vi. 有关系；要紧"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
lifestyle,"n. 生活方式
保健的"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
peaceful,adj. 和平的，爱好和平的；平静的
relaxing,"v. 放松；休息（relax的ing形式）；缓和；松懈
adj. 令人轻松的"
stressful,adj. 紧张的；有压力的
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
series,n. 系列，连续； 串联；级数；丛书
TV series, 电视连续剧；电视剧；电视系列剧
cartoon,"n. 卡通片， 动画片；连环漫画
vt. 为…画漫画
vi. 画漫画"
talk show,"n. 脱口秀
 谈话节目；访谈节目；现场访谈"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
couch potato,"n. 老泡在电视机前的人
 沙发土豆；电视迷；沙发马铃薯"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
switch over,"na. 转换转变
 切换；转接；切换到另一边"
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
BBC,abbr. 英国广播公司（British Broadcasting Corporation）
British Broadcasting Corporation, 英国广播公司；英国国家广播公司；根据英国国家广播公司
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
remote control,"n. 遥控；遥控器
 远程控制；摇控器；遥控装置"
workaholic,"n. 专心工作的人；醉心于工作的人；为免遭辞退而工作过份卖力的人
adj. 醉心于工作的"
paperwork,n. 文书工作
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
alarm clock,"n. 闹钟
 闹铃时钟；响闹式时钟；闹钟功能"
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
be filled with, 充满；装满；充满着
urgent,adj. 紧急的；急迫的
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
studio,n. 工作室； 演播室；画室；电影制片厂
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
minus,"prep. 减，减去
n. 负号，减号；不足；负数
adj. 减的；负的"
basin,n. 水池；流域；盆地；盆
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
advertisement,n. 广告，宣传
presentation,n. 展示；描述，陈述；介绍；赠送
solve,"vt. 解决；解答；溶解
vi. 作解答"
accountant,n. 会计师；会计人员
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
crowded,"adj. 拥挤的；塞满的
v. 拥挤（crowd的过去分词）"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
lung,n. 肺；呼吸器
sickness,n. 疾病；呕吐；弊病
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
distance learning,"n. 远程教育；远程学习
 远距教学；远距学习；远程教学"
cigar,n. 雪茄
at the moment,"na. “for the moment”的变体
 此刻；现在；目前"
over the years,"na. 长年累月
 多年来；这些年来；很多年来"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
mini-skirt,n. 超短裙
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
kung fu,"n. 功夫（中国拳术）
v. 用功夫击打(对手)
 中国功夫；功夫片；徒手功夫"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
violent,adj. 暴力的；猛烈的
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
spaceship,n.  宇宙飞船
manned spaceship,"un. 载人宇宙飞船
 载人飞船；载人太空船；载人航天"
province,n. 省；领域；职权
astronaut,n. 宇航员，航天员；太空旅行者
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
gravity,n. 重力，地心引力；严重性；庄严
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
the United Nations,"na. (第二次大战后成立的)联合国
 联合国大楼；联合国大厦；联合国总部"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
peacefully,adv. 平静地；和平地
reporter,n. 记者
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
atmosphere,n. 气氛；大气；空气
parachute,"n. 降落伞
vi. 跳伞
空投"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
millions of,"det. 数百万
 数百万的；成百万的；数以百万计"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
revolution,n. 革命；旋转；运行；循环
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
republic,n. 共和国；共和政体
light bulb,"n. 灯泡
 电灯泡；右下灯泡；白炽灯"
opinion,n. 意见；主张
in my opinion,"na. 我的意见是
 在我看来；我认为；依我看"
personally,adv. 亲自地；当面；个别地；就自己而言
racism,n. 种族主义，种族歧视；人种偏见
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
march,n. 三月
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
skilful,adj. 灵巧的; 熟练的; 技术好的
awful,adj. 可怕的；极坏的；使人敬畏的
useless,adj. 无用的；无效的
unusual,adj. 不寻常的；与众不同的；不平常的
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
violence,n. 暴力；侵犯；激烈；歪曲
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
compete,vi. 竞争；比赛；对抗
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
event,n. 事件，大事；项目；结果
fortunately,adv. 幸运地
athlete,n. 运动员，体育家；身强力壮的人
superhero,n. 超级英雄
afterwards,adv. 后来；然后
superman,n. 超人，能力非凡的
disaster,n. 灾难，灾祸；不幸
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
injury,n. 伤害，损害；受伤处
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
come to do something,找不到解释
pull through,"na. 恢复健康；痊愈；渡过难关
 度过难关；渡过危机；度过危机"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commit suicide,"na. 自杀；自尽
 寻短见；自裁；自杀身亡"
get on,"na. 上马；安上；过日子；相投 (with together)
 上车；进展；相处"
relationship,n. 关系；关联
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
involve,vt. 包含；牵涉；使陷于；潜心于
get involved with,"na. 给…缠住
 给...缠住；参与；卷入"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
confident,adj. 自信的；确信的
far too, 太；极为；极其
come off it,"un. 脱落；不要吹牛皮
 别胡说；别装蒜了；别吹牛了"
Olympic,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的
badminton,n. 羽毛球
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
dead,"n. 死者
adj. 无生命的；呆板的；废弃了的
adv. 完全地"
dead right, 绝对正确；完全正确；就是完全正确
absolutely,adv. 绝对地；完全地
medal,n. 勋章，奖章；纪念章
You've got a point there.,找不到解释
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
scholarship,n. 奖学金；学识，学问
the Mid-Autumn Festival,找不到解释
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
Halloween,n. 万圣节前夕（指十月三十一日夜晚）
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
the Dragon Boat Festival,找不到解释
turkey,n. 土耳其（横跨欧亚两洲的国家）
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
traditional,adj. 传统的；惯例的
bean paste,"na. 豆(瓣)酱
 豆瓣酱；豆沙；豆酱"
nowadays,"adv. 现今；时下
n. 当今"
lantern,n. 灯笼；提灯；灯笼式天窗
the Lantern Festival,找不到解释
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
lunar month,"n. 朔望月；太阴月；会合月
 农历月；阴历月份；阳历一个月"
celebration,n. 庆典，庆祝会；庆祝；颂扬
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
darkness,n. 黑暗；模糊；无知；阴郁
destroy,vt. 破坏；消灭；毁坏
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
 烧毁；烧光；烧为平地"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
sweet dumpling,找不到解释
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
