symptom,n.  症状；征兆
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
therapy,n. 治疗，疗法
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
infect,vt. 感染，传染
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
illness,n. 病；疾病
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
flu,n. 流感
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
ache,"n. 疼痛
vi. 疼痛；渴望"
headache,n. 头痛；麻烦；令人头痛之事
diabetes,n. 糖尿病；多尿症
cancer, 巨蟹座
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
agony,n. 苦恼；极大的痛苦；临死的挣扎
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
cocaine,n.  可卡因
heroin,n.  海洛因，吗啡
chronic,adj. 慢性的；长期的；习惯性的
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
obesity,n. 肥大，肥胖
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
chemical,"n. 化学制品，化学药品
adj. 化学的"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
alleviate,vt. 减轻，缓和
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
physician,n.  医师；内科医师
surgeon,n. 外科医生
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
clinic,n. 临床；诊所
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
hospital,n. 医院
ambulance,n.  救护车；战时流动医院
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
nursery,n. 苗圃；托儿所；温床
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
health,n. 健康；卫生；保健；兴旺
healthy,adj. 健康的，健全的；有益于健康的
hygiene,n. 卫生；卫生学；保健法
nutrition,n. 营养，营养学；营养品
nourish,vt. 滋养；怀有；使健壮
deficiency,n. 缺陷，缺点；缺乏；不足的数额
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
hormone,n.  激素，荷尔蒙
bacterium,n.  细菌；杆菌属
bacteria,n.  细菌
substance,n. 物质；实质；资产；主旨
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
nervous,adj. 神经的；紧张不安的；强健有力的
protein,"n. 蛋白质；朊
adj. 蛋白质的"
vitamin,n.  维生素； 维他命
calorie,n. 卡路里（热量单位）
calcium,n.  钙
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
vessel,n. 船，舰； 脉管，血管；容器，器皿
lung,n. 肺；呼吸器
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
virus,n.  病毒；恶毒；毒害
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
organ,n.  器官；机构；风琴；管风琴；嗓音
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
surgery,n. 外科；外科手术；手术室；诊疗室
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
inject,vt. 注入；注射
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
paralyze,vt. 使麻痹；使瘫痪
paralyse,vt. 使……无力；使……麻痹；使……瘫痪
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
benign,adj. 良性的；和蔼的，亲切的；吉利的
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
depress,vt. 压抑；使沮丧；使萧条
infectious,adj. 传染的；传染性的；易传染的
toxic,adj. 有毒的；中毒的
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
operation,n. 操作；经营； 手术； 运算
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
recovery,n. 恢复，复原；痊愈；重获
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
dentist,"n. 牙科医生
牙医诊所"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
mixture,n. 混合；混合物；混合剂
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
biology,n. （一个地区全部的）生物；生物学
anatomy,n. 解剖；解剖学；剖析；骨骼
hypothesis,n. 假设
speculate,"vi. 推测；投机；思索
vt. 推断"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
