erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
ash,n. 灰；灰烬
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
geyser,n. 喷泉； 间歇泉；（英）烧水锅炉
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
glacier,n. 冰河，冰川
combination,n. 结合；组合；联合； 化合
lava,n. 火山岩浆；火山所喷出的熔岩
Socotra,索科特拉岛(在阿拉伯海西南部)
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
sap,"n.  树液；精力，元气；活力；坑道
vt. 使衰竭，使伤元气；挖掘以破坏基础
vi. 挖坑道"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
Siberia,
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
Trans-Siberian,
isolated,"adj. 孤立的；分离的；单独的； 绝缘的
v. 使孤立；使绝缘；脱离（isolate的过去分词）"
indigenous,adj. 本土的；土著的；国产的；固有的
sacred,adj. 神的；神圣的；宗教的；庄严的
legend,n. 传奇；说明；图例；刻印文字
Etosha National Park, 埃托沙国家公园 ( 纳 )
waterhole,"水潭
水洼"
incredible,adj. 难以置信的，惊人的
rhinoceros,n.  犀牛
rhino,n. 犀牛（等于rhinoceros）；钱；现金
Namibia,n. 纳米比亚（非洲西南部国家）
sleep in,"na. 睡懒觉；(佣人)住在东家家里；睡过头
 迟起床；住在雇主家里；比通常睡得晚"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
species,"n.  物种；种类
adj. 物种上的"
Chile,n. 智利（南美洲国家）
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
inhabited,"v. 占据（inhabit的过去分词）；居住于
adj. 有人居住的"
explorer,n. 探险家；勘探者；探测器；探针
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
ancestor,n. 始祖，祖先；被继承人
