tedious,adj. 沉闷的；冗长乏味的
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
absorbed,"v. 吸收；使全神贯注（absorb的过去分词形式）
adj. 被吸收的；一心一意的"
allergic,adj. 对…过敏的；对…极讨厌的
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
civilization,n. 文明；文化
architecture,n. 建筑学；建筑风格；建筑式样；架构
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
condensed,"adj. 浓缩的；扼要的
vt. 浓缩（condense的过去分词）"
exceed,"vt. 超过；胜过
vi. 超过其他"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
downturn,n. 衰退（经济方面）；低迷时期
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
complementary,adj. 补足的，补充的
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
criticism,n. 批评；考证；苛求
deficit,n. 赤字；不足额
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
grocery,"n. 食品杂货店
食品杂货"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
proclaim,vt. 宣告，公布；声明；表明；赞扬
scandal,n. 丑闻；流言蜚语；诽谤；公愤
proficiency,n. 精通，熟练
moreover,adv. 而且；此外
vital,adj. 至关重要的；生死攸关的；有活力的
adequately,adv. 充分地；足够地；适当地
accurate,adj. 精确的
competent,adj. 胜任的；有能力的；能干的；足够的
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
jerky,"adj. 抽筋的；急动的；不平稳的
n. 牛肉干"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
destination,n. 目的地，终点
precise,adj. 精确的；明确的；严格的
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
subjunctive,"n. 虚拟语气
adj. 虚拟的；虚拟语气的"
be obliged to do sth.,
feel obliged to do sth.,
get serious about,
be serious about,"v. 用心
 对……认真；对…过度认真；认真对待"
run into sb.,
fresh from, 刚从…出来的；刚从…来的；刚从…毕业
distinguish between,"v. 分清
 区分；区别；辨别"
nail sth. down,"v. 钉牢；约束
 敲定；明确；确定"
get lost,"int. 滚开；别烦我
v. 迷路；迷失；陷入…而忽略了…
 走开；走失；失踪"
feel lost,"na. 不知所措
 恍然若失；失落感；感到迷茫"
be lost, 迷路；丢失；迷失
become attracted to sth.,
be attracted to sth.,
out of curiosity,"na. 在好奇心驱使下
 出于好奇；出于好奇心；不要好奇"
look upon ... as,
be equipped with sth.,
mysterious,adj. 神秘的；不可思议的；难解的
mysteriously,adv. 神秘地；故弄玄虚地；难以理解地
assassinate,vt. 暗杀；行刺
autobiography,n. 自传；自传文学
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
unsophisticated,adj. 纯洁的；不懂世故的；不精细的；天真无邪的；质朴无华的
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
advisable,adj. 明智的，可取的，适当的
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
quotation,n.  报价单；引用语；引证
quotation mark,"na. 引用号
 引号；双引号；注意引号"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
literacy,n. 读写能力；精通文学
depict,vt. 描述；描画
acquisition,n. 获得物，获得；收购
marvellous,adj. 不可思议的；惊人的
successive,adj. 连续的；继承的；依次的；接替的
confusion,n. 混淆，混乱；困惑
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
concentration,n. 浓度；集中；浓缩；专心；集合
fluent,adj. 流畅的，流利的；液态的；畅流的
fluently,adv. 流利地；通畅地
profound,adj. 深厚的；意义深远的；渊博的
ignorance,n. 无知，愚昧；不知，不懂
horizon,n.  地平线；视野；眼界；范围
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
in a bid to do sth.,
turn to sb.,
turn to sth.,
speak of,"na. 讲起；特别推荐说
 谈到；谈及；提到"
launch sb. on sth.,
get hold of sth.,
appeal to sb. for sth.,
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
focus sth. on,
Malcolm,
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
fairy tale,"n. 童话故事；虚构的故事；妄言
 神话；神话故事；说谎"
burglary,"n. 盗窃，夜盗；盗窃行为
v. 入室行窃"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
passionate,adj. 热情的；热烈的，激昂的；易怒的
version,n. 版本；译文；倒转术
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
currently,adv. 当前；一般地
obsess,vt. 迷住，缠住；使…着迷；使…困扰
magnificence,n. 壮丽；宏伟；富丽堂皇
massive,adj. 大量的；巨大的，厚重的；魁伟的
gaze,"n. 凝视；注视
vi. 凝视；注视"
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
roller coaster,"n. 过山车；剧烈起伏(的事物)
 云霄飞车；游乐场过山车；摩天轮"
placement,n. 布置；定位球；人员配置
Advanced Placement,
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
semester,n. 学期；半年
introductory,adj. 引导的，介绍的；开端的
confirm,vt. 确认；确定；证实；批准；使巩固
par,"n. 标准；票面价值；平均数量
adj. 标准的；票面的"
hatred,n. 憎恨；怨恨；敌意
thereafter,adv. 其后；从那时以后
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
spectrum,n. 光谱；频谱；范围；余象
artistic,adj. 艺术的；风雅的；有美感的
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
option,n.  选项；选择权；买卖的特权
graphic,adj. 形象的；图表的；绘画似的
graphic design,"un. 图表设计法
 平面设计；图形设计；绘图设计"
sentiment,n. 感情，情绪；情操；观点；多愁善感
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
prolong,vt. 延长；拖延
prolonged,adj. 延长的；拖延的；持续很久的
source,n. 来源；水源；原始资料
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
proofread,"vt. 校对，校勘
vi. 做校对工作"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
press release,"n. （向媒体发布的）新闻稿
 新闻发布；新闻公告；新闻简报"
provoke,vt. 驱使；激怒；煽动；惹起
thought-provoking,adj. 发人深省的；引起思考的
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
reputable,adj. 声誉好的；受尊敬的；卓越的
aspiration,n. 渴望；抱负；送气；吸气；吸引术
tuition,n. 学费；讲授
be passionate about,
be obsessed with,"un. 昼夜萦绕在…心头；被…缠住；埋头研究
 沉迷于；痴迷于；对…着迷"
be obsessed by,"na. 被…附上
 对……着迷；指缠住"
in awe,"un. 惊奇；感到不可思议；敬畏
 敬畏地；叹为观止；震撼"
not up to par,
let sb. down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
pick one's brains,
throw sth. out,"na. 投出；拒绝；否决(议案)；派出
 扔掉；赶走；扔出"
major in,"v. 主修
 专修；专攻；以……为专业"
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
succession,n. 连续；继位；继承权； 演替
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
liberal arts,"n. 文科
 文学院；博雅教育；文科恋曲"
logical,adj. 合逻辑的，合理的；逻辑学的
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
vivid,adj. 生动的；鲜明的；鲜艳的
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
speculate,"vi. 推测；投机；思索
vt. 推断"
destruction,n. 破坏，毁灭；摧毁
self-destruction,n. 自毁; 灯蛾扑火
conscious,adj. 意识到的；故意的；神志清醒的
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
constructive,adj. 建设性的；推定的；构造上的；有助益的
philosopher,n. 哲学家；哲人
myth,n. 神话；虚构的人，虚构的事
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
likewise,adv. 同样地；也
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
spectacular,adj. 壮观的，惊人的；公开展示的
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
insight,n. 洞察力；洞悉
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
self-awareness,n. 自我意识
thereby,adv. 从而，因此；在那附近；在那方面
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
martial,adj. 军事的；战争的；尚武的
undertake,vt. 承担，保证；从事；同意；试图
candidate,n. 候选人，候补者；应试者
mathematician,"n. 数学家
善作数字计算的人"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
dean,n. 院长；系主任；教务长；主持牧师
