account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountants,会计人员
accountable,adj. 有责任的；有解释义务的；可解释的
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
advertisements,n.  广告（advertisement的复数）；宣传
ages,abbr. 晚期糖基化终末产物（Advanced Glycation End Products）
aging,n. 老化；陈化，熟化
alarms,"n.  警报； 警报器；闹钟（alarm的复数形式）
v. 警告；使恐慌（alarm的第三人称单数）"
alarming system,找不到解释
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
air-condition,"n. 空调；空调器
vt. 用空调调节；给...装上空调"
airline,"n. 航空公司；航线
adj. 航线的"
airplane,n. 飞机
air pump,"n. 抽气泵；抽气机
 空气泵；打气筒；风泵"
air pollution,"na. 大气污染
 空气污染；由于空气污染；空气染污"
air quality,"n. 空气质量
 空气品质；空气质素；大气质量"
airports,n. 航空站，机场，航空港( airport的名词复数 )
animals,n.  动物，动物世界；牲畜（animal的复数形式）
animals behavior,找不到解释
animals life,找不到解释
arts,n. 文科
art gallery,"n. 美术馆；艺术展览馆
 画廊；艺术画廊；艺廊"
artists,n. 艺术家，设计师（artist的复数）
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
back problem,找不到解释
back door,"n. 后门；边门
 走后门；开后门；后门程式"
back wheel,"un. 后轮
 背轮"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
background music,"un. 本底谐音；背景时乐；背景音乐
 配乐；背景乐；陪衬音乐"
balcony,n. 阳台；包厢；戏院楼厅
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
bathrooms,n. 浴室( bathroom的名词复数 ); 盥洗室; （带抽水马桶的）厕所; 卫生间
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
birds,"n.  鸟类；禽（bird的复数）
v. 打鸟；观察研究野鸟；起哄（bird的三单形式）"
bird park,找不到解释
bird-watching,n. 观察研究野鸟
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
bikes,"n. 自行车( bike的名词复数 )
v. 自行车( bike的第三人称单数 )"
bridges,"n.  桥梁；纽带（bridge的复数）
vt. 架桥于；把…弥合起来（bridge的第三人称单数）"
bones,"n. 骨骼；身体；争议点（bone的复数）
v. 剔去…的骨；专心致志（bone的第三人称单数）"
books,"n. 书籍（book的复数）；书评
v. 预订；领会（book的第三人称单数）；把…记载入册"
bookshop,n. 书店
bookkeeping,n. 记帐，簿记
booklet,n. 小册子
bus,"n. 公共汽车
乘公共汽车"
bus stop,"n. 公共汽车停靠站
 公共汽车站；巴士站；公交车站"
bus service,"un. 汽车接送
 公交服务；公交车；公共汽车"
bus tickets,公共汽车票
business,n. 商业； 生意； 交易；事情
business management,"un. 企业管理
 商务管理；商业管理；工商管理"
business cards,n. 名片( business card的名词复数 ); 商业名片
business plan, 商业计划书；经营规划；经营计划
business area,"un. 商业区
 业务领域；业务范围；业务区域"
business visits,找不到解释
cafe,n. 咖啡馆；小餐馆
cameras,n. 摄像机，照相机（camera的复数形式）
cars,"abbr. 中美洲研究站（Central America Research Station）
abbr. 计算机化自动额定值系统（computerized automatic rating system）
abbr. 汽车收据结账证书（Certificates for Automobile Receivables）
n. (cars) 汽车（复数）"
car-park,n. 停车场
car tyres,找不到解释
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
cash machine,"n. 自动取款机
 自动提款机；自动柜员机；印钞机"
castles,"城堡，堡垒（castle的名词复数）
置于城堡中
(棋)移动王车易位
巨大建筑物（城堡,船楼）,卡斯图尔
国际象棋车"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
central station,"na. 中央发电厂
 中央车站；中央火车站；中心站"
central heating,"n. 暖气；集中供暖
 中央供暖；中央暖气系统；集中采暖"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
changing room,"n. （尤指做运动前使用的）更衣室
 更衣间；试衣间；员工更衣室"
chemical,"n. 化学制品，化学药品
adj. 化学的"
chemical contaminants,找不到解释
chemist,n. 化学家；化学工作者；药剂师；炼金术士
chemistry lab,化学实验室
children,n. 孩子们（child的复数）
children education,找不到解释
closed,"v. 关；结束；接近（close的过去分词）
adj. 关着的；不公开的"
closed down,"v. 关闭；关门；倒闭；歇业
 使停业；停机；停止"
cleaning,"n. 清洗；清除；去污；大败
v. 清洁（clean的ing形式）"
cleaner,n.  清洁剂；清洁工；干洗店；干洗商；洗洁器
cleanest,adj. 清洁的( clean的最高级 ); 整齐的; 新的; 正派的
clean products,找不到解释
clothes,n. 衣服
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
clothing sections,找不到解释
climate,n. 气候；风气；思潮；风土
clubs,"n. 俱乐部；社团（club的复数）；（扑克牌）梅花
v. 用棍棒打（club的第三人称单数形式）"
clubhouse,n. 俱乐部会所，俱乐部
club office,找不到解释
cinemas,n. 电影院（cinema的复数）
cities,n. 城市（city的复数）
city council,"na. 市参议会
 市议会；市政府；市政厅"
city centre, 市中心；城市中心；城中心
citizen,n. 公民；市民；老百姓
coffee,n. 咖啡；咖啡豆；咖啡色
coffee table,"n. 茶几；咖啡桌
 咖啡台；矮茶几；一个咖啡桌"
coffee machine,"n. 投币咖啡机
 煮咖啡机；咖啡自动售货机；求购咖啡机"
color,"n. 颜色；肤色；颜料；脸色
vt. 粉饰；给...涂颜色；歪曲
vi. 变色；获得颜色"
colours,"n. 颜色；特色；旗帜；外表（colour的复数）
v. 影响（colour的单三形式）；给…着色"
coloured,"n. 混血人；有色人种的人
adj. 有色的；着色的
vt. 给…着色（colour的过去式和过去分词）"
colour photos,找不到解释
competitions,n. 比赛， 竞争（competition的复数形式）
