dream team,"n. 梦之队；最佳阵容；最佳组合
 梦幻队；出发梦之队；梦幻团队"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
defend,"vi. 保卫；防守
vt. 辩护；防护"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
hoop,"n. 箍；铁环；呼呼声
vt. 加箍于；包围
vi. 发呼呼声"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
slam dunk,"n. 强力灌篮；扣篮；必定成功的事；稳操胜券的事
 灌篮高手；篮球飞人；灌蓝高手"
association,n. 协会，联盟，社团；联合；联想
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
top-class,顶层级；最高级
talented,adj. 有才能的；多才的
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
complicated,adj. 难懂的，复杂的
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
consecutive,adj. 连贯的；连续不断的
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
scorer,n. （竞赛等的）记分员；记录员；得分者；刻划痕迹的人
valued,adj. 重要的；宝贵的；贵重的；经估价的
in the history of,
grow up,"na. 长大
 成长；长大成人；成年"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
with an average of,
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
per,prep. 每；经；按照；每一
gold medal,"n. 金牌；金质奖章
 金奖；金牌奖；金奖章"
motivation,n. 动机；积极性；推动
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
steak,n. 牛排；肉排；鱼排
alongside,"prep. 在……旁边
adv. 在旁边"
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
shipyard,n. 造船厂；船坞；修船厂
various,adj. 各种各样的；多方面的
entire,adj. 全部的，整个的；全体的
immediate,adj. 立即的；直接的；最接近的
There's no doubt that ...,
deserve,"vi. 应受，应得
vt. 应受，应得"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
generation,n. 一代；产生；一代人；生殖
popularity,n. 普及，流行；名气；受大众欢迎
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
commentary,n. 评论；注释；评注；说明
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
commentator,n. 评论员，解说员；实况播音员；时事评论者
rely,vi. 依靠；信赖
stamina,n. 毅力；精力；活力；持久力
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
selfish,adj. 自私的；利己主义的
all the time,"na. 始终；老是
 一直；总是；无时无刻"
nature,n. 自然；性质；本性；种类
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
if necessary,"na. 如果必要的话；如有必要
 如果有必要的话；如必要的话；必要时"
be rude to,"na. 对…粗暴无礼
 对……粗鲁；对……无礼；粗暴对待"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
