appliance,n. 器具；器械；装置
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
deforestation,n. 采伐森林；森林开伐
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
drought,n. 干旱；缺乏
ecological,adj. 生态的，生态学的
efficiency,n. 效率；效能；功效
faucet,n. 旋塞；插口. 水龙头
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
garbage,n. 垃圾；废物
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
hence,adv. 因此；今后
install,vt. 安装；任命；安顿
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
pollution,"n. 污染
污染物"
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
shortage,n. 缺乏，缺少；不足
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
solve,"vt. 解决；解答；溶解
vi. 作解答"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
system,n. 制度，体制；系统；方法
yeah,"adv. 是
int. 是"
atop,"prep. 在…的顶上
adv. 在顶上"
audio,adj. 声音的； 音频的， 声频的
boundary,n. 边界；范围；分界线
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
climate,n. 气候；风气；思潮；风土
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
decade,n. 十年，十年期；十
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
indicator,n. 指示器； 指示剂； 指示符；压力计
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
maple,n. 枫树；淡棕色
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
prairie,n. 大草原；牧场
residence,n. 住宅，住处；居住
sensitivity,n. 敏感；敏感性；过敏
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
species,"n.  物种；种类
adj. 物种上的"
studio,n. 工作室； 演播室；画室；电影制片厂
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
