abandon,"n. 放任；狂热
vt. 遗弃；放弃"
ability,n. 能力，能耐；才能
abnormal,adj. 反常的，不规则的；变态的
abolish,vt. 废除，废止；取消，革除
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
aborigine,n. 土著；土著居民
abound,vi. 富于；充满
abridge,vt. 删节；缩短；节略
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
absence,n. 没有；缺乏；缺席；不注意
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
absent-minded,adj. 心不在焉的；健忘的；出神的
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
absolve,vt. 免除；赦免；宣告…无罪
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
abundance,n. 充裕，丰富
abundant,adj. 丰富的；充裕的；盛产
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
acceptable,adj. 可接受的；合意的；可忍受的
acceptance,n. 接纳；赞同；容忍
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
accomplish,vt. 完成；实现；达到
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
accordingly,adv. 因此，于是；相应地；照著
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accumulate,"vt. 积攒
vi. 累积；积聚"
accuracy,n.  精确度，准确性
accurate,adj. 精确的
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
accustom,vt. 使习惯于
