during,prep. 在…的时候，在…的期间
holiday,"n. 假日；节日；休息日
vi. 外出度假"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
practise,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
always,adv. 永远，一直；总是；常常
weekday,n. 平日，普通日；工作日
often,adv. 常常，时常
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
sometimes,adv. 有时，间或
never,adv. 从未；决不
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
find out about, 弄清有关……的情况；找到关于某事的一些信息；调查关于
world,n. 世界；领域；世俗；全人类；物质生活
email,"n. 电子信函
vt. 给…发电子邮件"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
the Mid-Autumn Festival,
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
mooncake,n. 月饼
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
lotus,n. 莲花（汽车品牌）
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
bring,vt. 带来；促使；引起；使某人处于某种情况或境地
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
picnic,"n. 野餐
vi. 去野餐"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
peanut,n. 花生
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
weak,adj.  疲软的；虚弱的；无力的；不牢固的
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
should,aux. 应该；就；可能；将要
shouldn't,不应该，不应（等于should not）
should not, 不应该；不应当；不宜
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
than,"conj. 比（用于形容词、副词的比较级之后）；除…外（用于other等之后）；与其…（用于 rather等之后）；一…就（用于 no sooner等之后）
prep. 比；超过"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
headache,n. 头痛；麻烦；令人头痛之事
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
idea,n. 想法；主意；概念
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
Christmas,n. 圣诞节；圣诞节期间
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
colourful,adj. 鲜艳的；生动的；色彩丰富的；富有趣味的
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
 穿上盛装；装饰；精心打扮"
Santa Claus,"n. 身着红衣
 圣诞老人；圣诞老公公；圣诞老人的由来"
receive,"vt. 收到；接待；接纳
vi. 接收"
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
