enable,vt. 使能够，使成为可能；授予权利或方法
luck,"n. 运气；幸运；带来好运的东西
vi. 靠运气，走运；凑巧碰上"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
appointment,n. 任命；约定；任命的职位
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
discuss,vt. 讨论；论述，辩论
discussion,n. 讨论，议论
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
success,n. 成功，成就；胜利；大获成功的人或事物
successful,adj. 成功的；一帆风顺的
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
advice,n. 建议；忠告；劝告；通知
invent,vt. 发明；创造；虚构
invention,n. 发明；发明物；虚构；发明才能
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
marriage,n. 结婚；婚姻生活；密切结合，合并
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
tradition,n. 惯例，传统；传说
traditional,adj. 传统的；惯例的
traditionally,adv. 传统上；习惯上；传说上
avoid,vt. 避免；避开，躲避；消除
appear,vi. 出现；显得；似乎；出庭；登场
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
pollute,vt. 污染；玷污；败坏
pollution,"n. 污染
污染物"
fact,n. 事实；实际；真相
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
and,conj. 和，与；就；而且；但是；然后
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
agreement,n. 协议；同意，一致
enjoy,vt. 欣赏，享受；喜爱；使过得快活
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
