abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abduct,vt. 绑架；诱拐；使外展
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accessible,adj. 易接近的；可进入的；可理解的
accomplice,n. 同谋者， 共犯
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountant,n. 会计师；会计人员
accumulate,"vt. 积攒
vi. 累积；积聚"
accurate,adj. 精确的
activism,n. 行动主义；激进主义
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
adjacent,adj. 邻近的，毗连的
administration,n. 管理；行政；实施；行政机构
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
adversity,n. 逆境；不幸；灾难；灾祸
advertisement,n. 广告，宣传
aerospace,n. 航空宇宙； 航空航天空间
affidavit,n. 宣誓书
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
affordable,adj. 负担得起的
aftershock,"n. 余震
余波"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
agony column,"n. （报纸或杂志中为读者个人疑难问题提供咨询的）答问专栏
 答读者问专栏；私事广告专栏；烦恼专栏"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
allege,vt. 宣称，断言；提出…作为理由
allergy,n. 过敏症；反感；厌恶
alliance,n. 联盟，联合；联姻
allocation,n. 分配，配置；安置
alter,"vt. 改变，更改
vi. 改变；修改"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
ambulance,n.  救护车；战时流动医院
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
animated,"vt. 使…有生气（animate的过去式）
adj. 活生生的；活泼的；愉快的"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
antitrust,adj.  反垄断的； 反托拉斯的
apologetic,adj. 道歉的；赔罪的
apology,n. 道歉；谢罪；辩护；勉强的替代物
apparel,"n. 服装；衣服
vt. 给…穿衣"
application,n. 应用；申请；应用程序；敷用
appraise,vt. 评价，鉴定；估价
apprehend,"vt. 理解；逮捕；忧虑
vi. 理解；担心"
arraignment,n. 传讯；提讯；提问；责难
arson,n. 纵火；纵火罪
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
assailant,"n. 攻击者
adj. 袭击的；攻击的"
assassinate,vt. 暗杀；行刺
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assert,vt. 维护，坚持；断言；主张；声称
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
asthma,n.  哮喘，气喘
astronomer,n. 天文学家
atomic,adj. 原子的，原子能的；微粒子的
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
attentive,adj. 留意的，注意的
attribute,"n. 属性；特质
vt. 归属；把…归于"
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
authentic,adj. 真正的，真实的；可信的
authoritative,adj. 有权威的；命令式的；当局的
available,adj. 可获得的；可购得的；可找到的；有空的
avert,vt. 避免，防止；转移
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
bandwagon,n. 流行，时尚；乐队花车
banker,n. 银行家；银行业者；掘土工
bankruptcy,n. 破产
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
beguile,vt. 欺骗；使着迷；轻松地消磨
belittle,vt. 轻视；贬低；使相形见小
beneficial,adj. 有益的，有利的；可享利益的
beset,vt. 困扰；镶嵌；围绕
bilateral,adj. 双边的；有两边的
binocular,"n. 双筒望远镜
adj.  双眼的；双目并用的"
biohazard,n. 生物危害
biosphere,n. 生物圈
birthrate,n. 出生率
blackmail,"n. 勒索，敲诈；勒索所得之款
vt. 勒索，敲诈"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
bogus,"n. 伪币
adj. 假的；伪造的"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
bootleg,"adj. 违法的；偷运或非法制造并销售的
vt. 私卖
vi. 私卖
n. 靴统；私货"
borrowing,"n. 借款；借用
v. 借入；采用（borrow的ing形式）"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
boundary,n. 边界；范围；分界线
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
breakup,n. 解体；分裂；崩溃；馏分组成；停止
bribe,"n. 贿赂
vt. 贿赂，收买
vi. 行贿"
