plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
candidate,n. 候选人，候补者；应试者
convenient,adj. 方便的；适当的；近便的；实用的
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
bookstore,n. 书店（等于bookshop）
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
trustworthy,adj. 可靠的；可信赖的
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
MA,abbr. 文学硕士（Master of Arts）；磁放大器（magnetic amplifier）；主报警信号（main alarm）
Master of Arts,"na. 文科硕士
 文学硕士；艺术硕士；文学硕士学位"
terms of payment,"un. 支付条件
 付款条件；付款方式；支付条款"
gratitude,n. 感谢（的心情）；感激
MS,abbr. 存贮系统（Memory System）；主存储器（Main Storage）；主程序装置（Master Sequecer）；中速，平均速度（Medium Speed）；主（总）开关（Master Switch）
Master of Science,"na. 理科硕士
 理学硕士；科学硕士；理硕士"
after-sales service,"n. 售后服务
 三包事宜；售后服务英语；售后支持"
place an order of,
with due consideration of,
EMS,"邮政特快专递服务（Express Mail Service）
增强型短信服务（Enhanced Message Service）"
Express Mail Service,
professor,n. 教授；教师；公开表示信仰的人
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
look forward to,"na. 盼望
 期待；期望；期盼"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
event,n. 事件，大事；项目；结果
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
activity,n. 活动；行动；活跃
