abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
accordance,n. 一致；和谐
adjective,"n. 形容词
adj. 形容词的；从属的"
admiration,n. 钦佩；赞赏；羡慕；赞美
admittance,n. 进入；入场权；通道
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
affection,n. 喜爱，感情；影响；感染
agreement,n. 协议；同意，一致
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
aloud,adv. 大声地；出声地
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
amusement,n. 消遣，娱乐；乐趣
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
ankle,n. 踝关节，踝
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
bacteria,n.  细菌
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
candidate,n. 候选人，候补者；应试者
careless,adj. 粗心的；无忧无虑的；淡漠的
carriage,n. 运输；运费；四轮马车；举止；客车厢
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
centimetre,n. 厘米；公分
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
cheerful,adj. 快乐的；愉快的；高兴的
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
colleague,n. 同事，同僚
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
customer,n. 顾客；家伙
dam,"n.  水坝；障碍
v. 控制；筑坝"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
decoration,n. 装饰，装潢；装饰品；奖章
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
definitely,adv. 清楚地，当然；明确地，肯定地
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
digital,"n. 数字；键
adj. 数字的；手指的"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
emphasise,vt. （英）强调；加强…的语气（等于emphasize ）
enclosure,n. 附件；围墙；围场
environment,n. 环境，外界
equality,n. 平等；相等； 等式
especially,adv. 特别；尤其；格外
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
faithless,adj. 不忠实的；无信的；无宗教信仰的
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
fate,"n. 命运
vt. 注定"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
generate,vt. 使形成；发生；生殖；产生物理反应
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
government,n. 政府；政体；管辖
graceful,adj. 优雅的；优美的
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
harmony,n. 协调；和睦；融洽；调和
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
hatred,n. 憎恨；怨恨；敌意
heater,n. 加热器；加热工
heaven,n. 天堂；天空；极乐
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
imaginary,adj. 虚构的，假想的；想像的；虚数的
infectious,adj. 传染的；传染性的；易传染的
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
install,vt. 安装；任命；安顿
insurance,n. 保险；保险费；保险契约；赔偿金
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
intuition,n. 直觉；直觉力；直觉的知识
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
