5G era,找不到解释
70-year term of land use,找不到解释
A4 waist,找不到解释
dark matter,"n. 暗物质（根据一些理论，指太空中不反射光的物质）
 黑暗物质；暗黑物质；宇宙暗物质"
hundred mark system,找不到解释
Centenary Goal,找不到解释
monthly subscription service,找不到解释
nanny blacklist,找不到解释
Conservative leadership race,找不到解释
postgraduate recommendation,找不到解释
cash deposit,"un. 现金存款
 保证金；现款押金；现金储蓄"
therapeutic massage, 保健按摩；治疗性按摩；治疗式按摩
shelf life,"n. 最佳食用日期
 保质期；保存期限；货架寿命"
off the charts, 好得没治了；破记录；智商高的惊人
mayhem,n. 故意的伤害罪；重伤罪；蓄意的破坏
backpack tour,找不到解释
tragedy trump card,找不到解释
Beijing repose,找不到解释
endorse,vt. 背书；认可；签署；赞同；在背面签名
extortive donation,找不到解释
disdain chain,找不到解释
closed-book exam,找不到解释
sidestep taxes,找不到解释
compulsory course, 必修课；必修课程；妆造型必修
disguised inflation, 变相涨价be driven to drastic alternatives
lip service,"n. 空口的应酬话；口惠
 唇唇欲动；口惠而实不至；表面文章"
stay true to the mission,找不到解释
unified real estate registration system,找不到解释
inappropriate behavior, 行为不适当；不恰当与不雅的行为；不恰当的行为
ministers' passage,找不到解释
asset declaration,找不到解释
financial fraud,n. 金融诈骗
betrothal gifts, 彩礼；订婚时男方送给女方的彩礼；聘礼
color run, 甩色；彩色跑步；彩色赛跑
participatory poverty-reduction,找不到解释
dining table pollution,找不到解释
market manipulation,"un. 市场操纵
 操纵市场；市场操纵行为；操纵市场行为"
toilet revolution,找不到解释
tea ceremony,"n. 茶道（日本沏茶和饮茶的礼仪）
 茶艺；茶道表演；茶艺表演"
sado,n. 茶道;   萨多
postpartum grooming,找不到解释
maternity bed,找不到解释
excess manufacturing capacity,找不到解释
overcapacity,n. 生产能力过剩
the Long March,找不到解释
long-haul flight,找不到解释
put on a rival show,找不到解释
excessive consumption,"un. 过度消耗
 超前消费；过度消费；消费行为"
outdo oneself,"na. 得到空前成绩；尽自己最大的努力
 超过原水平；超水平发挥；她超过她的所有同班同学"
supercomputer,n.  巨型计算机，超级计算机
Super Tuesday,"na. 超级星期二
 超级星期二初选；超级星期二之战；周二超级赛"
superdelegate,n. 超级代表（美国出席民主党全国代表大会的非初选中的党员挑选的代表）
residents of Chaoyang district,找不到解释
auto show model,找不到解释
traffic subsidy,找不到解释
shirk,"vt. 逃避
vi. 推卸；逃避"
pass the buck,"na. 推卸责任
 踢皮球；扯皮；推诿责任"
sense of achievement, 成就感；有成就感；工作成就感
fuel pricing scheme,找不到解释
urban management officer,找不到解释
urban diseases,找不到解释
city cluster,城市组团
inter-city high-speed rail,找不到解释
urban air corridor,找不到解释
urban housing fund,找不到解释
rural-urban integration,城乡整合
urban growth boundary,找不到解释
ready-to-wear line,找不到解释
be given cold shoulder,找不到解释
receive kickbacks,找不到解释
sought-after,adj. 受欢迎的，很吃香的
impulse buy,"un. 不在事先计划内的购置
 冲动购买；冲动性购物；购买冲动"
rechargeable card, 充值卡；充值卡的英文是；充值卡是
appearance fee,＝ appearance money
enter the next round,找不到解释
export duty,"na. 出口税
 出口关税；出口税救济；退场门税"
punching bag,"n. 出气筒；沙袋；(练习拳击用的)吊袋
 攻击目标；沙包；练习拳击用的吊袋"
