precise,adj. 精确的；明确的；严格的
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
seaside,"n. 海边；海滨
adj. 海边的；海滨的"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
dozen,"n. 十二个，一打
adj. 一打的"
acquire,vt. 获得；取得；学到；捕获
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
tiny,adj. 微小的；很少的
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
willingness,n. 乐意；心甘情愿；自动自发
agricultural,adj. 农业的；农艺的
liberation,n. 释放，解放
restriction,n. 限制；约束；束缚
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
identity,n. 身份；同一性，一致；特性；恒等式
unfair,adj. 不公平的，不公正的
cater,vt. 投合，迎合；满足需要；提供饮食及服务
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
unfit,"adj. 不适宜的；不合格的；不健康的
vt. 使不合格；使不相宜；使不胜任"
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
album,n. 相簿；唱片集；集邮簿；签名纪念册
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
warehouse,n. 仓库；货栈；大商店
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
civilization,n. 文明；文化
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
retell,vt. 复述；再讲；重述
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
shaver,n. 理发师；电动剃刀
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
dine,"vi. 进餐，用餐
vt. 宴请"
smelly,adj. 有臭味的，发臭的
approximately,adv. 大约，近似地；近于
receive,"vt. 收到；接待；接纳
vi. 接收"
enquiry,n.  询问， 询盘
puzzled,adj. 困惑的；茫然的；搞糊涂的
evident,adj. 明显的；明白的
simple-minded,adj. 头脑简单的；愚蠢的
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
co-worker,n. 同事；合作者
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
bacterium,n.  细菌；杆菌属
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
explicit,adj. 明确的；清楚的；直率的；详述的
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
labour,n. （英国）工党
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
forehead,n. 额，前额
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
error,n. 误差；错误；过失
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
recognise,vt. 认出；承认，认可；识别
useless,adj. 无用的；无效的
mankind,n. 人类；男性
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
niece,n. 外甥女，侄女
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
interval,n. 间隔；间距；幕间休息
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
tradition,n. 惯例，传统；传说
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
dynasty,n. 王朝，朝代
freezing,adj. 冰冻的；严寒的；冷冻用的
separation,n. 分离，分开；间隔，距离； 分居；缺口
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
playmate,n. 玩伴；游伴
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
weakness,n. 弱点；软弱；嗜好
advice,n. 建议；忠告；劝告；通知
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
grateful,adj. 感谢的；令人愉快的，宜人的
quantity,n. 量，数量；大量；总量
astonish,vt. 使惊讶
literary,adj. 文学的；书面的；精通文学的
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
woollen,"n. 毛织品
adj. 羊毛制的"
addition,n. 添加； 加法；增加物
information,n. 信息，资料；知识；情报；通知
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
scholarship,n. 奖学金；学识，学问
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
province,n. 省；领域；职权
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
aggression,n. 侵略；进攻；侵犯；侵害
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
librarian,n. 图书馆员；图书管理员
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
hibernate,vi. 过冬；（动物）冬眠；（人等）避寒
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
darkness,n. 黑暗；模糊；无知；阴郁
agency,n. 代理，中介；代理处，经销处
destination,n. 目的地，终点
science,n. 科学；技术；学科；理科
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
violence,n. 暴力；侵犯；激烈；歪曲
workforce,n. 劳动力；工人总数，职工总数
airspace,n. 空域；领空；空间
correspond,vi. 符合，一致；相应；通信
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
dining-room,n. 餐厅
website,n. 网站（全球资讯网的主机站）
undivided,"adj. 专心的；专一的；未分开的；完整的
v. 未分开（undivide的过去式和过去分词）"
debt,n. 债务；借款；罪过
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
unfortunately,adv. 不幸地
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
construct,"n. 构想，概念
vt. 建造，构造；创立"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
saucer,n. 茶托，浅碟；浅碟形物；眼睛
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
nervous,adj. 神经的；紧张不安的；强健有力的
suspension,n. 悬浮；暂停；停职
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
kind-hearted,adj. 仁慈的，好心肠的
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
envelope,n. 信封，封皮；包膜； 包层；包迹
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
atmosphere,n. 气氛；大气；空气
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
cautious,adj. 谨慎的；十分小心的
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
printing,n. 印刷；印刷术
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
physician,n.  医师；内科医师
publicly,adv. 公然地；以公众名义
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
