commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
slime-based,找不到解释
grit,"n. 粗砂，砂砾砂砾，粗砂石；勇气；决心
vt. 研磨；在…上铺砂砾，覆以砂砾；咬紧牙关
vi. 摩擦作声"
high-powered,adj. 高性能的；精力充沛的，强有力的；马力大的
piss off,"na. 惹恼；滚开
 激怒；走开；走开，滚蛋"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
detonate,"vt. 使爆炸
vi. 引爆，爆炸"
to the effect that, 大意是；大意是说；主要内容是
reincarnation,n. 再生；化身
hype,"n. 大肆宣传；皮下注射
vt. 大肆宣传；使…兴奋"
info,n. 信息；情报
trustee,"n. 受托人；托管人
vt. 移交（财产或管理权）给受托人"
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
credentials,"n.  证书；文凭；信任状（credential的复数）
v. 得到信用；授…以证书（credential的三单形式）"
indentured,"adj. 受契约束缚的
v. 以契约约束；签订契约（indenture的过去分词）"
tacitly,adv. 肃静地；沉默地；心照不宣地
disparity,n. 不同；不一致；不等
feather bed,"v. 要求资方限产超雇；同意限产超雇；以政府津贴资助
adj. 要求限产超雇的；因限产超雇而闲散的
 羽毛铺盖；羽毛褥子；羽毛褥垫"
assimilation,n. 同化；吸收； 同化作用
cut corners,"na. 走捷径
 抄近路；超近路；偷工减料"
tragicomedy,n. 悲喜剧；又悲又喜的事情
academia,n. 学术界；学术生涯
over-intellectualized,找不到解释
be clipped off,找不到解释
sue your eyes out,找不到解释
mince,"vt. 切碎；矫揉做作地说
vi. 装腔作势；碎步走
n. 切碎物，肉馅"
esteemed,"adj. 受人尊敬的
v. 尊敬；认为（esteem的过去分词）"
samurai,n. （日）武士；武士阶级
discomfit,vt. 挫败；扰乱，破坏；使…为难；使…破灭
jigger,"n. 小滑车；量杯；小玩意
vt. 阻止"
ethos,n. 民族精神；气质；社会思潮
amok,"adj. 杀人狂的；狂乱的
adv. 狂乱地；杀人狂地"
temerity,n. 鲁莽，冒失；蛮勇
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
align with, 结盟；与……结盟；与…一致
disgorge,vt. 吐出；被迫交出；香槟酒酿制过程中的一道程序，即在插入最后的软木塞前，把沉淀物从酒瓶中取出
decorously suited,找不到解释
discreet,adj. 谨慎的；小心的
precept,n. 规则；格言；训诫；命令
arduous,adj. 努力的；费力的；险峻的
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
fraught,adj. 担心的，忧虑的；充满…的
dope out,"na. 解出(谜等)；想出(方法等)；拟出(计划等)；预测
 猜出；推测出；预测出"
protracted,"adj. 拖延的
v. 拖延；绘制；伸展（protract的过去分词）"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
in proximity to,"prep. 接近
 与……接近"
revere,vt. 敬畏；尊敬；崇敬
alienated,"v. 使疏离（alienate的过去式）
adj. 疏远的；被疏远的"
majesty,n. 威严；最高权威，王权；雄伟；权威
sublime,"n. 崇高；顶点
adj. 庄严的；令人崇敬的；极端的；超群的
vt. 使…纯化；使…升华；使…变高尚
vi. 升华；纯化；变高尚"
wherewithal,"n. 必要的资金（或手段）
conj. 用以（等于wherewith）
adv. 用什么"
sage,"n. 圣人；贤人；哲人
adj. 明智的；贤明的；审慎的"
aversion,n. 厌恶；讨厌的人
speculative,adj. 投机的；推测的；思索性的
erotic,"n. 好色之徒
adj. 色情的；性爱的；性欲的"
charismatic,adj. 超凡魅力的；神赐能力的
consequential,adj. 间接的；结果的；重要的；随之发生的；自傲的
goad,"n. 刺激；（赶牲口用的）刺棒；激励
vt. 刺激；激励；用刺棒驱赶；煽动"
winnow ... out,找不到解释
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
assertive,adj. 肯定的；独断的；坚定而自信的
prod,"n. 刺针；刺棒；签子
vi. 刺；捅
vt. 刺，戳；刺激"
pester,vt. 纠缠，烦扰；使烦恼
a cornucopia of,找不到解释
be cut out to do,找不到解释
for what it's worth,n. 意思是：我所说的只是个人意见，不一定对你有帮助，听不听由自己决定
manger,n. 马槽；牛槽；挡水板
Formica,找不到解释
sauciness,n. 傲慢，鲁莽
sheet music,"n. 活页乐谱（与录音音乐相对）
 散页乐谱；乐谱分享；谱页"
encore,"n. 再演唱的要求；经要求而再唱
vt. 要求再演或唱
int. 再来一个"
sonata,n. 奏鸣曲
treble,"n. 三倍；最高声部
adj. 三倍的；最高声部的；三层的；三重的
vt. 使成三倍
vi. 变成三倍"
bass,"n. 鲈鱼；男低音；低音部；椴树
adj. 低音的"
C major, C大调；卡农；乐器
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
chord,n. 弦；和弦；香水的基调
trill,"n. 颤音；啭声；颤声
vt. 用颤音唱；用颤声说
vi. 发出颤音"
arpeggio,n. 琶音；和音急速弹奏，竖琴弹奏法
staccato,"n. 断奏，断音
adj. 断奏的，断音的
adv. 不连贯地"
prelude,"n. 前奏；序幕；前奏曲
vt. 成为…的序幕；演奏…作为前奏曲
vi. 作为序曲；奏序曲"
discordant,adj. 不和谐的，刺耳的；不一致的
hymn,"n. 赞美诗；圣歌；欢乐的歌
vt. 唱赞美歌
vi. 唱赞歌"
spinet,n. 小型立式钢琴；古时的小型竖琴
tutu,n. （法）芭蕾舞短裙；新西兰马桑
nonchalantly,adv. 冷淡地，漠不关心地
throes,"n. 剧痛；痛苦的挣扎（throe的复数）
v. 苦苦挣扎；使受痛苦（throe的第三人称单数）"
tectonic,adj.  构造的；建筑的；地壳构造上的
assortment,n. 分类；混合物
dislodge,"vt. 逐出，驱逐；使……移动；用力移动
vi. 驱逐，逐出；离开原位"
clime,n. 气候；地方
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
afield,adv. 在战场上；去野外；在远处；远离著
wrought,"adj. 锻造的；加工的；精细的
v. 工作（work的过去分词）；wreak的过去分词"
anthropologist,n. 人类学家；人类学者
crease,"n. 折痕；折缝
vt. 弄皱；使起折痕
vi. 起皱"
xenophobia,n. 仇外；对外国人的畏惧和憎恨
globalism,n. 全球主义；全球性干涉政策；世界化
bedfellow,n. 相关的人或事
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
salubrious,adj. 清爽的；气候有益健康的
resilient,"adj. 弹回的，有弹力的
adj. 能复原的；有复原力的"
ostensible,adj. 表面的；假装的
fountainhead,n. 源；水源；本源
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
rap music, 说唱音乐；饶舌音乐；说唱乐
brocade,"n.  织锦；锦缎
vt. 把图案或凸花纹织入；在…上织出图案"
diner,n. 用餐者；路边小饭店；餐车式简便餐厅
seedy,adj. 多种子的；结籽的；破烂的；没精打采的；下流的
trendy,"n. 追求时髦者；新潮人物
adj. 时髦的，流行的"
thrift shop,"n. 慈善商店（通过出售捐赠的衣物等募集慈善资金）
 旧货店；二手店；二手货商店"
blending,"n. 混合；调配；混和物
v. 混合；协调（blend的ing形式）
adj. 混合的"
punk,"n. 废物；小阿飞；年轻无知的人
adj. 朋客，崩客；无用的，低劣的"
morph,"n. 词态；语素
vt. 在屏幕上变换图像；改变"
geek,"n. 做低级滑稽表演的人，反常的人；畸形人；野人
n. （俚）极客，即智力超群，善于钻研但不懂与人交往的怪才"
chunky plastic tiles,找不到解释
Vegas,找不到解释
night owl,"n. 夜猫子；喜欢熬夜的人
 猫头鹰；夜游神；深夜不睡的人"
neckline,n. 领口，领圈
imposing,"v. impose的ing形式
adj. （建筑物等）壮观的；威风的；（仪表）堂堂的；给人深刻印象的"
jostle,"vt. 推挤，撞；争夺
vi. 竞争，争夺；推挤
n. 推撞，挤拥"
boutique,"n. 精品店；专卖流行衣服的小商店
adj. 精品屋的；小规模专售精品的"
polka dots,"na. (衣料上的)圆点花纹
 波尔卡圆点；圆点图案；波卡圆点"
dislocation,n. 转位；混乱； 脱臼
Sputnik,找不到解释
trisection,"n. 三分, 三等分"
aspire to,"v. 渴望；立志
 追求；渴求；有志于"
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
Day of Atonement, 赎罪日；该日禁食；赎罪之日
High Holy Days, 圣洁日；崇圣日
liturgy,n. 礼拜仪式；圣餐仪式；祷告文
intone,"vt. 吟诵；吟咏
vi. 吟诵；吟咏"
penitence,n. 后悔；赎罪
phantom,"n. 幽灵；幻影；虚位
adj. 幽灵的；幻觉的；有名无实的"
constituted,vt. 组成，构成；建立；任命
wiles,"n. 诡计；花招（wile的复数）
v. 引诱（wile的第三人称单数形式）"
conciliate,vt. 安抚，安慰；调和；驯服；怀柔；赢得
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
fictitious,adj. 虚构的；假想的；编造的；假装的
lethargy,n. 昏睡；死气沉沉；嗜眠（症）
trance,"n. 恍惚；出神；着迷，入迷
vt. 使恍惚；使发呆"
cranny,n. 裂隙，裂缝
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
slumber,"n. 睡眠；麻木状态；静止状态
vi. 睡眠；蛰伏；麻木
vt. 睡眠；睡着度过"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
impede,vt. 阻碍；妨碍；阻止
hitherto,adv. 迄今；至今
unfetter,vt. 释放；使自由；除去…脚镣
pedantic,adj. 迂腐的；学究式的；卖弄学问的；假装学者的
perspicacious,adj. 有洞察力的；聪颖的；敏锐的
scalpel,n. 解剖刀；外科手术刀
acme,n. 顶点，极点；最高点
appendicitis,n.  阑尾炎；盲肠炎
laxative,"n. 泻药； 缓泻药
adj. 通便的"
raccoon,n. 浣熊；浣熊毛皮
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
cerebral,adj. 大脑的，脑的
pot roast,"n. 蔬菜炖肉块
v. 炖
 炖熟的肉；美式炖牛肉；焖烧肉"
sauerkraut,n. 一种德国泡菜
canny,adj. 精明的，谨慎的；节约的
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
waif,n. 流浪者；流浪儿；飘流物；无主物；信号旗
tryst,"n. 幽会，约会
vt. 约会，约定；与…幽会
vi. 约会"
wince,"n. 畏缩；脸部肌肉的抽搐
vi. 畏缩，退避"
desist,vi. 停止；断念
contrite,adj. 悔悟了的；后悔的；悔罪的
ember,n. 灰烬，余烬
smolder,"n. 阴燃；闷烧
vi. 闷烧；郁积"
pitchblende,n. 沥青油矿; 非晶铀矿
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
exultant,adj. 非常高兴的；欢跃的；狂喜的；欢欣鼓舞的
hamstring,"n. 腿筋
vt. 切断腿筋使成跛腿；使残废"
cretin,n. 白痴病患者
chink,"n. 裂缝；叮当声；裂口
vt. 使叮当响
vi. 叮当响"
hulk,"n. 废船；笨重的船；船体；绿巨人，浩克（美国漫威漫画旗下超级英雄）
vi. 庞然大物般出现；赫然显现"
darn,"n. 织补
v. 织补，缝补"
perspiration,n. 汗水；流汗；努力
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
turf,"n. 草皮；泥炭；跑马场
vt. 覆草皮于"
jitterbug,"n. 图象不稳定；跳吉特巴舞的人；容易紧张的人；爵士乐迷
vi. 跳吉特巴舞"
blizzard,"n. 暴风雪，大风雪；大打击
vi. 下暴风雪"
hickory,n. 山核桃木；山核桃属植物（北美产的）
pecan,n. 美洲山核桃；美洲山核桃树
witch hazel,"n. 金缕梅酊剂（用于治疗皮肤创伤）
 金镂梅；金缕梅萃取；金缕梅萃取液"
canyon,n. 峡谷
corral,"n. 畜栏；环形车阵
vt. 把…关进畜栏；捕捉；把…布成车阵"
cleavage,n. 劈开，分裂； 解理； 卵裂
elk,n. 麋鹿；软鞣粗皮；驼鹿皮革
badger,"n. 獾；獾皮；（大写）獾州人（美国威斯康星州人的别称）；<动><澳>毛鼻袋熊
vt. 纠缠不休；吵着要；烦扰"
flax,n. 亚麻；亚麻纤维；亚麻布；亚麻织品
buckwheat,"n. 荞麦；荞麦粉；荞麦片
adj. 蓼科植物的"
stonecrop,n. 景天
larkspur,n. 燕草属植物
sweet clover,"na. 草木犀属植物
 草木樨；甜三叶草；甜苜蓿萃取物"
lee,"n. 保护；背风处
adj. 保护的；庇荫的；避风的"
solstice,n. 至，至日；至点
caldron,n. 大锅；大汽锅
wean,"n. （苏格兰）幼儿
vt. 使断奶；使断念；使放弃"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
impale,vt. 刺穿；钉住；使绝望
deicide,n. 杀神，杀神者，害死耶稣的人
skillet,n. 煮锅；长柄平底煎锅
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
purl,"n. 潺潺地声；漩涡；流苏
vt. 用反针编织；用金银丝绣
vi. 用反针编织；潺潺流水"
scissortail,n. 叉尾霸鹟
demeanor,n. 风度；举止；行为
trappings,n. 服饰，礼服；外部标志；马饰
cadence,n. 节奏；韵律；抑扬顿挫
imperturbable,adj. 冷静的；泰然自若的
homage,n. 敬意；尊敬；效忠
ticky-tacky,"n. 次等建筑材料；用次等建筑材料建造的单调划一的建筑
adj. 平庸划一的；用次等材料建造的"
implacable,adj. 不能安抚的；难和解的；不能缓和的
orthodoxy,n. 正统；正教；正统说法
pastorale,n. （意）田园曲；牧歌式歌剧
crusade,"n. 改革运动；十字军东侵
vi. 加入十字军；从事改革运动"
starkly,adv. 严酷地；明显地；毫无掩饰地
sagely,adv. 贤能地；贤明地
technetronic,adj. 电子技术所支配的
dodder,"n. 菟丝子
vi. （因老弱、中风等而）摇摆；蹒跚"
gloaming,"n. 黄昏；夕幕
v. 日落；天变黑（gloam的现在分词）"
pedagogical,adj. 教育学的；教学法的
stratification,n. 层理；成层
anachronistic,adj. 时代错误的
prow,"n. 船首；机头
adj. 勇敢的"
polymorphous-perverse,找不到解释
inclination,n. 倾向，爱好；斜坡
repellent,"n. 防护剂；防水布；排斥力
adj. 排斥的；防水的；弹回的；令人讨厌的"
honorarium,n. 报酬，酬金；谢礼
feel obligated to, 使负义务；感觉应该
come to mind, 想到；出现在脑海中；想起
anecdote,n. 轶事；奇闻；秘史
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
fellowship,n. 团体；友谊；奖学金；研究员职位
nervous breakdown,"n. 神经衰弱
 精神崩溃；神经失常；崩溃了"
recollection,n. 回忆；回忆起的事物
posthumous,adj. 死后的；遗腹的；作者死后出版的
enigma,n. 谜，不可思议的东西
in the course of things,"prep.事情如果顺利,不久"
go over well,受到热烈欢迎
pit against,"v. 敌对
 使竞争；使与…相斗；使与…对抗"
lucrative,adj. 有利可图的，赚钱的；合算的
gutsy,adj. 勇敢的；贪婪的；有种的；胆大的
in the same boat,"un. 破釜沉舟；连个退路都没有；同病相怜
 处境相同；同舟共济；风雨同舟"
lucidity,n. 明朗；清澈；清醒度
obsession,n. 痴迷；困扰； 强迫观念
homosexual,"n. 同性恋者
adj. 同性恋的"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
journal entry,"un. 日记簿分录；日志登录事项
 日记帐分录；会计分录；日记账分录"
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
grime,"n. 尘垢；污点；煤尘
vt. 使污秽；使…弄脏"
elongate,"adj. 伸长的；延长的
vi. 拉长；延长；伸长
vt. 拉长；使延长；使伸长"
eggshell,n. 蛋壳；薄而易碎的东西
fragility,n. 脆弱； 易碎性；虚弱
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
ascetic,"n. 苦行者；禁欲者
adj. 苦行的；禁欲主义的"
sunwrinkled,找不到解释
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
luminescence,n.  发冷光
Siamese cat,"n. 暹罗猫
 暹罗猫图片；暹罗猫动态壁纸；暹罗猫壁纸"
disembodied,adj. 空洞的；无实质的；无实体的
contextual relevance,找不到解释
clearance,n. 清除；空隙
collaborator,n.  合作者；勾结者；通敌者
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
clipped,"adj. 省略一部分的；发音清楚的
v. 剪除（clip的过去分词）"
indelible,adj. 难忘的；擦不掉的
thigh-length,adj. （衣服、袜子、靴子等）长及大腿的
cobble,"n. 鹅卵石，圆石
vt. 修，拙劣地修补；铺鹅卵石，用圆石铺面"
turnoff,n. （美）岔道；避开
blue-bells,找不到解释
minuscule,"n. 小写字；草写小字
adj. 极小的；用草写小字写的"
mediocre,adj. 普通的；平凡的；中等的
avatar,n. 电影《阿凡达》
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
be under somebody's shadow,找不到解释
the works,n. Works可以解释为：工厂; 比如说; 水泥厂; 钢铁厂等。Works也可以解释为一个机器的各个部件。但是加了个the意思可就不同哦。详见下面解释！
egregious,adj. 惊人的；过分的；恶名昭彰的
russet,"n. 赤褐色，黄褐色；冬季粗皮苹果（黄色苹果之一种）
adj. 黄褐色的，赤褐色的"
mantle,"n. 地幔；斗篷；覆盖物
vi. 覆盖；脸红
vt. 覆盖"
clad,"v. 穿衣（clothe的过去式和过去分词）
adj. 穿衣的；覆盖的
vt. 在金属外覆以另一种金属"
yon,"n. 那边，远处
adj. 那边的，彼处的
pron. 彼处之人或物
adv. 在那边，在远处"
compulsive,adj. 强制的；强迫的
jog somebody's memory,找不到解释
unsmudged, 不客气
jagged,"adj. 锯齿状的；参差不齐的
v. 使成缺口；使成锯齿状（jag的过去式）"
prong,"n. 耙子；叉状物
vt. 刺；贯穿；翻掘"
seep,"n. 小泉；水陆两用的吉普车
vi. 漏；渗出"
crotchety persona,找不到解释
relegate,vt. 把降低到；归入；提交
lady-in-waiting,n. 侍女；宫女
obituary,"adj. 讣告的；死亡的
n. 讣告"
ominous,adj. 预兆的；不吉利的
adamant,"n. 坚硬的东西；坚石
adj. 固执的，坚强的；坚定不移的；坚硬无比的"
cumulative,adj. 累积的
North Polar icecap,找不到解释
out of kilter,"na. 情形不好；“off kilter”的变体
 乱套；出差错；失去平衡"
glacier,n. 冰河，冰川
equation,n. 方程式，等式；相等； 反应式
oblivious,adj. 遗忘的；健忘的；不注意的；不知道的
galvanize,vt. 镀锌；通电；刺激
Providence,找不到解释
pandemic,"adj. （疾病等）（全国、全球i）流行的；普遍的
n. 流行性疾病"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
moratorium,n. 暂停，中止； 延期偿付
rebate,"n. 折扣
vt. 减少；打折扣
vi. 退还部分付款，打折扣"
hollyhock,n. 蜀葵
scythe,"n. 长柄大镰刀；钐刀
vt. 用大镰刀割"
rooster comb,"《英汉医学词典》rooster comb
公鸡冠,雄鸡冠"
bleeding heart,"n. 心软的人；烂好人；假惺惺的人；荷包牡丹
 老好人；滴血的心；淌血的心"
fretful,adj. 焦躁的；烦燥的；起波纹的
soprano,"n. 女高音；最高音部；女高音歌手
adj. 女高音的；童声高音的"
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
enunciation,n. 阐明，表明；清晰的发音
juniper,n. 杜松；桧或刺柏属植物；（美）桧状植物（多用于装饰）
jamb,n.  矿柱，侧柱；门窗侧壁
grits,n. 粗磨粉；粗燕麦粉；（美）粗玉米粉
dollop,"n. 团，块
vt. 厚厚地涂抹
vi. 啪地落下；噗通一声坠落"
doily,n. 小型装饰桌巾；垫杯盘的小饰巾
preen,"vt. 打扮；用嘴整理；赞扬
vi. 洋洋自得；把（自己）打扮漂亮"
writhe,"n. 翻滚；扭动；苦恼
vt. 扭曲；扭动
vi. 翻滚；蠕动"
surfeit,"n. 过度；饮食过度；恶心（由于饮食过度所引起）
vt. 使饮食过度；使厌腻；使过度沉溺于
vi. 饮食过度；过分放纵"
soufflé,找不到解释
coo,"n. 咕咕声；鸽子的叫声
vt. 咕咕地叫；轻轻地说
int. 唔（表示惊讶或者高兴等）
vi. 咕咕地叫；柔声地说"
etch,"n. 刻蚀；腐蚀剂
vt. 蚀刻；鲜明地描述；铭记
vi. 蚀刻"
bloomers,n. 灯笼裤（bloomer的复数）
slither,"n. 滑动；滑行
vt. 使滑动
vi. 蜿蜒地滑行"
singe,"n. 烧焦；烤焦
vt. 烧焦；烤焦
vi. 烧焦；烤焦"
unabashed,adj. 不害羞的；不畏惧的；厚脸皮的
girdle,"n. 腰带；围绕物；妇女紧身褡
vt. 围绕；绕…而行；用带子捆扎"
off-limits,adj. 禁止进入的，禁区的
brouhaha,n. （法）吵闹；骚动
laconic,adj. 简洁的，简明的
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
swindle,"n. 欺诈；骗局
vt. 诈骗；骗取
vi. 诈骗"
allegation,n. 指控; 陈述，主张; 宣称; 陈词，陈述;
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
covert,"n. 隐藏处；树丛；蔽覆羽翮基部的羽毛
adj. 隐蔽的；隐密的；偷偷摸摸的；在丈夫保护下的"
allegedly,adv. 依其申述；据说，据称
fraudulent,adj. 欺骗性的；不正的
fictional,adj. 虚构的；小说的
unpalatable,adj. 味道差的，难吃的；讨人厌的，使人不快的
unorthodox,adj. 非正统的；异端的；异教的
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
legions of, 大批的；众多的；大量
newsy,"adj. 多新闻的；爱闲话的；成话题的
n. 报童"
advent,n. 到来；出现；基督降临；基督降临节
coverage,n. 覆盖，覆盖范围；新闻报道
