clinic,n. 临床；诊所
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
grocery,"n. 食品杂货店
食品杂货"
stadium,n. 体育场；露天大型运动场
bakery,n. 面包店
cafeteria,n. 自助餐厅
canteen,n. 食堂，小卖部；水壶
suburb,n. 郊区；边缘
forum,n. 论坛，讨论会；法庭；公开讨论的广场
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
intervention,n. 介入；调停；妨碍
disagreement,n. 不一致；争论；意见不同
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
friction,n. 摩擦， 摩擦力
encouragement,n. 鼓励
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外；拖延
 闲逛；闲荡；出去消遣"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
apologise,vi. 道歉（等于apologize）
theory,n. 理论；原理；学说；推测
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
network,n. 网络；广播网；网状物
sociologist,n. 社会学家
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
bimonthly,"n. 双月刊
adj. 两月一次的；每月两次的
adv. 隔月地；一月两次地"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
additionally,adv. 此外；又，加之
closely-knit,adj. 紧紧结合在一起的，论据严谨的
frequently,adv. 频繁地，经常地；时常，屡次
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
outskirts,n. 市郊，郊区
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
consequence,n. 结果；重要性；推论
gable,"n. 山形墙；三角形饰物
vt. 在…上砌三角墙；在…安装三角形饰物
vi. 形成三角墙；形成三角形饰物"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
amazement,n. 惊异；惊愕
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
burst into,"na. 闯进；突然…起来
 闯入；突然发作；突然闯入"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
tear-stained,adj. 带泪痕的；泪水沾湿的
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
investigate,v. 调查；研究
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
faucet,n. 旋塞；插口. 水龙头
