backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
finally,adv. 最后；终于；决定性地
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
Germany,n. 德国
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
go away,"na. 离开；带走
 走开；离去；消失"
go home,"na. 回家；死；(忠告等)刻骨铭心；击中
 回家吧；回家去；回家了"
hers,pron. 她的（所有格）
his,pron. 他的
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
ours,pron. 我们的
quickly,adv. 迅速地；很快地
suitcase,n.  手提箱；衣箱
theirs,pron. 他们的；她们的；它们的
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
yours,"pron. 你（们）的东西；你的责任；你的家属；来信，尊函
adj. 你（们）的（东西）；信末署名前用语"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
Children's Day,"na. 儿童节
 六一儿童节；国际儿童节；日本儿童节"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
flute,"n. 长笛；(刀具的)出屑槽
vt. 用长笛吹奏
vi. 吹长笛"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
music,n. 音乐，乐曲
piano,n. 钢琴
play the piano,"na. 弹钢琴
 演奏钢琴；弹琴；弹钢琴搭配"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
tonight,"n. 今晚
adv. 在今晚"
violin,n. 小提琴；小提琴手
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
team,"n. 队；组
vt. 使合作
vi. 合作"
basketball,n. 篮球；篮球运动
badminton,n. 羽毛球
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
tennis,n. 网球（运动）
volleyball,n. 排球
goalkeeper,n. 守门员
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
sports star, 体育明星；运动明星；运动员
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
at the same time,"na. 同时；另一方面；与此同时
 然而；在同时；可是"
at last,"na. 终于
 最后；最终；终於"
corner kick,"n. 角球
 发角球；角球模式；角球比赛"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
cheer for,"un. 给加油
 为……喝彩；为……欢呼；为……而欢呼"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
up and down,"na. 忽上忽下；各处；来来去去；升降浮沉
 上上下下；来回；来来往往"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
colorful,adj. 华美的；有趣的；富有色彩的
dictionary,n. 字典；词典
difficult,adj. 困难的；不随和的；执拗的
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
expensive,adj. 昂贵的；花钱的
interesting,adj. 有趣的；引起兴趣的，令人关注的
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
a liter of milk,
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
cookbook,n. 食谱
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
puzzled,adj. 困惑的；茫然的；搞糊涂的
recipe,n. 食谱； 处方；秘诀；烹饪法
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
eat out,"v. 出去吃；在外面吃饭
 下馆子；出去吃饭；上馆子吃饭"
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
walk through,"na. (= to rehearse)排练
 走过；走查；穿过"
