visitor,n. 访问者，参观者；视察者；候鸟
could,"aux. 能够
v. 能（can的过去式）"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
nationality,n. 国籍，国家；民族；部落
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
someone,pron. 有人，某人
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
vote for,"na. 赞成；建议
 投票赞成；选举；投票选举"
youth,n. 青年；青春；年轻；青少年时期
always,adv. 永远，一直；总是；常常
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
advisor,n. 顾问；指导教师；劝告者
birth,n. 出生；血统，出身；起源
citizen,n. 公民；市民；老百姓
visa,"n. 签证
vt. 签发签证"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
baseball,n. 棒球；棒球运动
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
creative,adj. 创造性的
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
responsibility,n. 责任，职责；义务
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
solve,"vt. 解决；解答；溶解
vi. 作解答"
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
a great deal of,"det. 很多；重重
 大量的；许多；很多的"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
hard-working,adj. 勤勉的；勤奋的；勤劳的
colleague,n. 同事，同僚
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
shortcoming,n. 缺点；短处
myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪
description,n. 描述，描写；类型；说明书
conceited,adj. 自负的；狂想的；逞能的
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
honest,adj. 诚实的，实在的；可靠的；坦率的
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
topic,n. 主题（等于theme）；题目；一般规则；总论
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
