survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
add up,"na. 合计；符合预期的数目
 加起来；相加；把……加起来"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
ignore,vt. 驳回诉讼；忽视；不理睬
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
calm ... down,找不到解释
have got to,"v. 必须
 不得不；非得；必须做"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
be concerned about,"na. 关心；挂念
 担心；对…关心；关注"
walk the dog, 遛狗；溜狗；遇狗
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
vet,"n. 兽医
vt. 审查；诊疗
vi. 作兽医；诊疗"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
Amsterdam,n. 阿姆斯特丹（荷兰首都）；阿姆斯特丹（美国纽约东部城市）
Netherlands,n. 荷兰（形容词Netherlandish）；地区名
Jewish,adj. 犹太人的；犹太族的
German,"n. 德语；德国人
adj. 德国的；德语的，德国人的"
Nazi,"n. 纳粹党人；纳粹主义信徒
adj. 纳粹党的；纳粹主义的"
set down,"na. 记入；登记；定；设
 记下；放下；写下"
series,n. 系列，连续； 串联；级数；丛书
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
Kitty,找不到解释
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
spellbind,vt. 迷住；用妖术迷惑
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
at dusk,"na. 在黄昏时刻
 傍晚；黄昏时分；薄暮"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
entire,adj. 全部的，整个的；全体的
entirely,adv. 完全地，彻底地
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
face to face,"na. 面对面
 面对面地；结构长度；面对面的"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
dusty,adj. 落满灰尘的
no longer,"na. 不再
 已不；再也；再也不"
not ... any longer,找不到解释
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
loneliness,n. 寂寞，孤独
highway,n. 公路，大路；捷径
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
get tired of, 对……感到厌倦；厌烦；对……厌烦
be tired of,"v. 厌烦；厌倦
 对…厌倦；对……厌烦；讨厌"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
pack up,"na. 把…打成包；打包；捆好东西；解雇
 收拾；收拾行李；把…打包"
pack sth. up,找不到解释
suitcase,n.  手提箱；衣箱
Margot,n. 玛戈特(Margaret 的昵称)(f.)
overcoat,n. 大衣，外套
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
get along with,"na. (工作)进行
 与……相处；相处融洽；与…友好相处"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
fall in love,"v. 坠入情网
 坠入爱河；相爱；爱上"
exactly,adv. 恰好地；正是；精确地；正确地
disagree,vi. 不同意；不一致；争执；不适宜
grateful,adj. 感谢的；令人愉快的，宜人的
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
join in,"na. 参加；参与
 加入；加盟；参加某种活动"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
secondly,adv. 其次；第二
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
subway,"n. 地铁；地道
vi. 乘地铁"
elevator,n. 电梯；升降机；升降舵；起卸机
petrol,n. （英）汽油
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
because of,"na. 因
 因为；由于；由于，因为"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
Amy,找不到解释
come up,"na. 走近；上升；抬头；(暴风雨等)起
 上来；出现；发生"
apartment,n. 公寓；房间
actually,adv. 实际上；事实上
AD,找不到解释
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
at present,"na. 目前
 现在；当今；眼下"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
gradually,adv. 逐步地；渐渐地
Danish,"n. 丹麦语
adj. 丹麦的；丹麦人的；丹麦语（文）的"
enrich,vt. 使充实；使肥沃；使富足
vocabulary,n. 词汇；词表；词汇量
Shakespeare,n. 莎士比亚（1564-1616，英国诗人、剧作家）
make use of,"na. 使用
 利用；利用某事物；利用好时间"
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住"
Samuel Johnson, 约翰逊；塞缪尔·约翰逊；赛缪尔·约翰森
Noah Webster, 诺厄·韦伯斯特；诺亚韦伯斯特；家韦伯斯特
latter,adj. 后者的；近来的；后面的；较后的
identity,n. 身份；同一性，一致；特性；恒等式
fluent,adj. 流畅的，流利的；液态的；畅流的
fluently,adv. 流利地；通畅地
Singapore,n. 新加坡
Malaysia,n. 马来西亚；马来群岛
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
frequently,adv. 频繁地，经常地；时常，屡次
usage,n. 使用；用法；惯例
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
request,"n. 请求；需要
vt. 要求，请求"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
midwestern,adj. 美国中西部的
African,"n. 非洲人
adj. 非洲的，非洲人的"
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
play a part,"na. 扮演…角色；假装
 起作用；扮演角色；扮演一个角色"
play a part in,"v. 贡献力量；起…作用
 起作用；在…方面起作用；在…中起作用"
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
southeastern,adj. 东南方的；朝东南的
northwestern,adj. 来自西北的；西北方的；在西北部的
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
lorry,n. （英）卡车； 货车；运料车
Lori,找不到解释
Houston,n. 休斯顿（美国得克萨斯州港市）
Texas,n. 德克萨斯州（美国州名）
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
Buford,找不到解释
Lester,找不到解释
catfish,n. 鲶鱼
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
journal,n. 日报，杂志；日记；分类账
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
disadvantage,n. 缺点；不利条件；损失
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
route,"n. 路线；航线；通道
vt. 按某路线发送"
Mekong,n. 湄公河
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
ever since,"na. 从…以来
 从那时起；自从；此后一直"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
