weight-training,"n. 重力训练
 负重训练；重量训练；负重肌肉操练后"
body-building,n. 健身，健美运动; 健身运动
come down with,"na. 生病；得(病)
 病倒；染上；患"
acupressure,n. 针压法
massage,"vt. 按摩；揉
n. 按摩；揉"
prone,adj. 俯卧的；有…倾向的，易于…的
picky,adj. 挑剔的；吹毛求疵的
out of breath,"na. 大喘气
 喘不过气来；上气不接下气；气喘吁吁"
stress sb. out, 压力过大；经历极大压力；压力大
lose one's appetite, 没有胃口；食欲不振；没胃口
acupuncture,"n. 针刺； 针刺疗法
vt. 对…施行针刺疗法"
well-liked,adj. 深受喜爱的；适销对路
sleepless,adj. 失眠的；不休息的；警觉的；永不停息的
sleeplessness,n. 失眠
laid-back,adj. 懒散的；悠闲的；闲散的
forgetfulness,n. 健忘，忽略
stress-reducing, 缓压
energise,vt. 供给…能量；使精力充沛（等于energize）
disorganisation,"n. 计划混乱
 n.瓦解, 结构破坏"
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
achievable,adj. 可完成的；可有成就的；做得成的
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
unblock,vt. 除去…的障碍；开启；接通
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
peacefulness,n. 平静；温和
soothing,"v. 安慰；减轻痛苦（soothe的现在分词）
adj. 抚慰的；使人宽心的"
unwanted,adj. 不需要的；有害的；讨厌的；空闲的
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
visualise,"vt. 使…可见；使…具体化（等于visualize）
vi. 想象；显现"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
