guitar,"n. 吉他，六弦琴
vi. 弹吉他"
honest,adj. 诚实的，实在的；可靠的；坦率的
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
confident,adj. 自信的；确信的
courage,n. 勇气；胆量
friendship,n. 友谊；友爱；友善
admiration,n. 钦佩；赞赏；羡慕；赞美
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
caring,"v. 关心；照顾（care的现在分词）
adj. 有同情心的；表示或感到关怀或关心的"
describe,vt. 描述，形容；描绘
appearance,n. 外貌，外观；出现，露面
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
basic,"n. 基础；要素
adj. 基本的；基础的"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
be good at,"v. 善于
 擅长；擅长于；擅长做某事"
turn to somebody for help,
after school,"na. 放学后
 嘉熙；放学以后；因为你"
be willing to do something,
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
medium height, 中等身高；中等身材；中等高度
modern dance,"n. 现代舞（20 世纪初发展起来的一种摆脱芭蕾舞限制的舞蹈形式）
 摩登舞；现代舞蹈；现代舞班"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
watch over,"na. 监视；留心；看护
 看守；照看；照管"
rise into,
cry out,"na. 大叫；喊着要求
 大声呼喊；喊叫；吆喝"
cry oneself to sleep,"na. (婴儿)哭到睡着
 一直哭到睡着；一直哭到睡着了；哭得睡着了"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
 唤醒；起床；醒醒"
come and go,"na. 来来去去；变化无定；来往
 来来往往；往来；来和去"
take somebody's place,
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
geography,n. 地理；地形
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
activity,n. 活动；行动；活跃
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
practise,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
solve,"vt. 解决；解答；溶解
vi. 作解答"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
skill,n. 技能，技巧；本领，技术
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
magazine,n. 杂志；弹药库；胶卷盒
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
energy,n.  能量；精力；活力；精神
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
sincerely,adv. 真诚地；由衷地，诚恳地
diary,n. 日志，日记；日记簿
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
poster,n. 海报，广告；招贴
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
luckily,adv. 幸好，侥幸；幸运地
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
presentation,n. 展示；描述，陈述；介绍；赠送
mood,n. 情绪，语气；心境；气氛
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
success,n. 成功，成就；胜利；大获成功的人或事物
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
do the dishes,"na. 洗碗碟
 洗餐具；洗盘子；把盘子洗了"
junior high school,"n. （美国）初级中学
 初中；国中；国民中学"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
look forward to,"na. 盼望
 期待；期望；期盼"
daily life,"n. 起居
 日常生活；每日生活；每天的生活"
go to bed,"na. 睡；同床；付印
 上床睡觉；去睡觉；就寝"
get up,"na. 起床；起身；站起来；叫…起床
 起立；打扮；安排"
on foot,"na. 步行；在进行中；徒步
 走路；步行时；走路去"
full of energy,"adj. 很有精神
 精力充沛；精力充沛的；充满活力的"
get ... ready for,
put on,"na. 假话
 穿上；上演；戴上"
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
footprint,n. 足迹；脚印
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
sandy,adj. 沙地的；多沙的；含沙的
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
town,n. 城镇，市镇；市内商业区
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
loudly,adv. 大声地，响亮地
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
peaceful,adj. 和平的，爱好和平的；平静的
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
alive,adj. 活着的；活泼的；有生气的
sandcastle,n. 沙塔
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
tradition,n. 惯例，传统；传说
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
have picnics,
work one's land,
take a trip,"na. 旅行
 去旅行；旅游；作旅行"
solar term,n. 节气
in fact,"na. 事实上；总之
 实际上；其实；实则"
be divided into, 被分成；被分为；被划分为
be based on,"v. 以…为基础
 根据；基于；以……为根据"
play an important part in, 在…方面起重要作用；在……中起重要作用；在……起重要作用
system,n. 制度，体制；系统；方法
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
planet,n. 行星
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
area,n. 区域，地区；面积；范围
freezing,adj. 冰冻的；严寒的；冷冻用的
north,
pole,
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
metre,n. 米；公尺；韵律
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
pollution,"n. 污染
污染物"
protect,vt. 保护，防卫；警戒
chemical,"n. 化学制品，化学药品
adj. 化学的"
groundwater,n. 地下水
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
harmful,adj. 有害的；能造成损害的
website,n. 网站（全球资讯网的主机站）
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
emperor,n. 皇帝，君主
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
sandstorm,n.  沙暴；大风沙
solution,n. 解决方案；溶液；溶解；解答
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
generation,n. 一代；产生；一代人；生殖
