achievement,n. 成就；完成；达到；成绩
achievement,n. 成就；完成；达到；成绩
Joan of Arc,"un. 贞德(Saint,1412—1431,世称the Maid of Orleans法国民族女英雄,百年战争时率军解除英军对奥尔良城之围,后被俘火刑处死).
 圣女贞德；贞德达鲁克；卢贝松之圣女贞德"
Joan of Arc,"un. 贞德(Saint,1412—1431,世称the Maid of Orleans法国民族女英雄,百年战争时率军解除英军对奥尔良城之围,后被俘火刑处死).
 圣女贞德；贞德达鲁克；卢贝松之圣女贞德"
Elizabeth Fry,伊丽莎白·弗莱
Elizabeth Fry,伊丽莎白·弗莱
Quaker,找不到解释
Quaker,找不到解释
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
China Welfare Institute,"n. 中国福利会
 中国福利协会；中国福利基金会"
China Welfare Institute,"n. 中国福利会
 中国福利协会；中国福利基金会"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
Jane Goodall, 珍古德；古道尔；家珍古德
Jane Goodall, 珍古德；古道尔；家珍古德
chimp,n. （非洲的）黑猩猩
chimp,n. （非洲的）黑猩猩
connection,n. 连接；关系；人脉；连接件
connection,n. 连接；关系；人脉；连接件
human being,"adj. 人的；有人性的；显示人类特点的
n. 人类
 是人；指人类；泛指人"
human being,"adj. 人的；有人性的；显示人类特点的
n. 人类
 是人；指人类；泛指人"
Jody Williams,找不到解释
Jody Williams,找不到解释
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
landmine,n. 地雷（等于land mine）
landmine,n. 地雷（等于land mine）
organization,n. 组织；机构；体制；团体
organization,n. 组织；机构；体制；团体
Gombe National Park,找不到解释
Gombe National Park,找不到解释
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
behaviour,n. 行为；习性；运行状况（=behavior）
behaviour,n. 行为；习性；运行状况（=behavior）
