source,n. 来源；水源；原始资料
environment,n. 环境，外界
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
society,n. 社会；交往；社团；社交界
activity,n. 活动；行动；活跃
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
emotion,n. 情感；情绪
community,n. 社区； 群落；共同体；团体
organism,n. 有机体；生物体；微生物
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
century,n. 世纪，百年；（板球）一百分
author,"n. 作者；作家；创始人
vt. 创作出版"
species,"n.  物种；种类
adj. 物种上的"
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
region,n. 地区；范围；部位
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
population,n. 人口； 种群， 群体；全体居民
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
theory,n. 理论；原理；学说；推测
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
artist,n. 艺术家；美术家（尤指画家）；大师
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
occur,vi. 发生；出现；存在
include,vt. 包含，包括
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
indicate,vt. 表明；指出；预示；象征
sediment,n. 沉积；沉淀物
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
technique,n. 技巧，技术；手法
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
ocean,n. 海洋；大量；广阔
