able,adj. 能； 有能力的；能干的
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
academically,adv. 学术上；学业上
acceptable,adj. 可接受的；合意的；可忍受的
accident,n. 事故；意外； 意外事件；机遇
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
acquaintance,n. 熟人；相识；了解；知道
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
actually,adv. 实际上；事实上
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
adult,"n. 成年人
adj. 成年的；成熟的"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
advertiser,n. 广告客户；刊登广告的人
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
afford,vt. 给予，提供；买得起
afraid,adj. 害怕的；恐怕；担心的
agreement,n. 协议；同意，一致
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
analyze,vt. 对…进行分析，分解（等于analyse）
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
animal,"n. 动物
动物的"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
annoyed,"v. 使烦恼；打扰（annoy的过去分词）
adj. 恼怒的；烦闷的"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
apology,n. 道歉；谢罪；辩护；勉强的替代物
appear,vi. 出现；显得；似乎；出庭；登场
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
army,n. 陆军，军队
arrive,vi. 到达；成功；达成；出生
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
aspect,n. 方面；方向；形势；外貌
assignment,n. 分配；任务；作业；功课
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
attitude,n. 态度；看法；意见；姿势
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
audience,n. 观众；听众；读者；接见；正式会见；拜会
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
available,adj. 可获得的；可购得的；可找到的；有空的
avoid,vt. 避免；避开，躲避；消除
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
alter,"vt. 改变，更改
vi. 改变；修改"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
airport,n. 机场；航空站
almost,adv. 差不多，几乎
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
among,prep. 在…中间；在…之中
apartment,n. 公寓；房间
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
across,"prep. 穿过；横穿
adv. 横过；在对面"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
afterward,adv. 以后，后来
