accomplish,vt. 完成；实现；达到
task,"n. 工作，作业；任务
vt. 分派任务"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
workload,n. 工作量
laden,"adj. 负载的；装满的；苦恼的
vt. 装载（等于lade）
vi. 装载（等于lade）
v. 装载（lade的过去分词）"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
lifestyle,"n. 生活方式
保健的"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
efficient,adj. 有效率的；有能力的；生效的
internalize,vt. 使（习俗等经吸收同化而）内在化；使藏在心底
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
kick-start,"vt. 以下踢或下压动作来使机器发动；以额外的努力或行为来开始一种事业或程序
n. (比喻)(促进事务开始或重新开始的）强劲推动力"
prioritize,"vt. 把…区分优先次序
vi. 把事情按优先顺序排好"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
distracted,"adj. 心烦意乱的；思想不集中的
v. 分心（distract的过去式）"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
ensure,vt. 保证，确保；使安全
detour,"n. 绕道；便道
vt. 使…绕道而行
vi. 绕道；迂回"
arena,n. 舞台；竞技场
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
determination,n. 决心；果断；测定
concentration,n. 浓度；集中；浓缩；专心；集合
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
consciously,adv. 自觉地；有意识地
errant,adj. 不定的；周游的；错误的；偏离正路的
accurate,adj. 精确的
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
conventionally,adv. 照惯例，照常套
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
empirical,adj. 经验主义的，完全根据经验的；实证的
entitled,"v. 给…权利；给…定书名；授…以荣誉（entitle的过去分词）
adj. 有资格的；给与名称的"
exert,vt. 运用，发挥；施以影响
expertise,n. 专门知识；专门技术；专家的意见
facilitate,vt. 促进；帮助；使容易
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
gimmick,"n. 暗机关；骗人的玩意；花招
vt. 使暗机关；搞骗人的玩意"
impediment,n. 口吃；妨碍；阻止
impractical,adj. 不切实际的，不现实的；不能实行的
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
jargon,n. 行话，术语；黄锆石
jobbing,"adj. 包工的；雇来承包规定活计的；做零活的
v. 批购（货物）转卖给零售商；做零工（job的ing形式）"
postdate,"n. 事后日期；推迟日期
vt. 填迟……的日期；把……的日期填迟；继……之后"
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
reliant,adj. 依赖的；可靠的；信赖的
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
semi-skilled,adj. 半熟练的
typify,vt. 代表；作为…的典型；具有…的特点
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
sneaker,n. 运动鞋；卑鄙者；鬼鬼祟祟做事的人
belong,vi. 属于，应归入；居住；适宜；应被放置
underprivileged,adj. 贫困的；被剥夺基本权力的；社会地位低下的
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
sideline,"n. 副业；球场边线；局外人的观点
adj. 倾斜的
vt. 迫使退出"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
stash,"n. 藏匿处；藏匿物
vt. 存放；贮藏
vi. 存放；藏起来"
teammate,n. 队友，同队队员
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
donation,n. 捐款，捐赠物；捐赠
pickup,n. 收集，整理；小卡车；拾起；搭车者；偶然结识者
collection,n. 采集，聚集； 征收；收藏品；募捐
recreation,n. 娱乐；消遣；休养
sandal,n. 凉鞋；檀香；檀香木；便鞋
inspiring,"v. 鼓舞；激发；使感悟（inspire的ing形式）
adj. 鼓舞人心的；灌输的；启发灵感的"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
threadbare,adj. 磨破的；衣衫褴褛的；乏味的；俗套的
recycling,"n. （资源、垃圾的）回收利用
v. 回收；再循环利用（recycle的现在分词）"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
footwear,n. 鞋类
nonprofit,adj. 非盈利的；不以盈利为目的的
shin,"n. 胫骨
vt. 爬；攀
vi. 攀；快步走"
cleat,"n. 楔子；系缆墩；栓
vt. 把…栓住；加栓于"
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
distribute,vt. 分配；散布；分开；把…分类
wristband,n. 袖口；腕套；手表带
proceeds,n. 收入，收益；实收款项
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
aerobics,n. 有氧运动法；增氧健身法
ascent,n. 上升；上坡路；登高
athlete,n. 运动员，体育家；身强力壮的人
athletics,n. 竞技；体育运动；田径运动
backhanded,"adj. 间接的；反手拍击的
v. 用手背打击；反手击球（backhand的过去分词）"
baseball,n. 棒球；棒球运动
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
championship,n. 锦标赛；冠军称号；冠军的地位
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
competition,n. 竞争；比赛，竞赛
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
elongate,"adj. 伸长的；延长的
vi. 拉长；延长；伸长
vt. 拉长；使延长；使伸长"
event,n. 事件，大事；项目；结果
fighter,n. 战士，斗争者；斗士；奋斗者；好战者
gallop,"n. 疾驰；飞奔
vi. 飞驰；急速进行；急急忙忙地说
vt. 使飞跑；迅速运输"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
gym,n. 健身房；体育；体育馆
gymnasium,n. 体育馆；健身房
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
hockey,n. 曲棍球；冰球
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
limber,"adj. 柔软的；敏捷的
vt. 使柔软；将接在前车上
vi. 做准备活动"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
matador,n. 斗牛士；王牌
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
membership,n. 资格；成员资格；会员身份
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
promptness,n. 机敏，敏捷；迅速
pulsation,n. 脉动，搏动；震动；悸动
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
rivalry,n. 竞争；对抗；竞赛
sportsman,n. 运动员；运动家；冒险家
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
stadium,n. 体育场；露天大型运动场
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
swiftness,n. 迅速，敏捷；快
timeout,n. 超时；暂时休息；工间休息
tournament,n. 锦标赛，联赛；比赛
trainer,n. 助理教练；训练员；驯马师；飞行练习器；运动鞋
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
trot,"n. （人）慢跑；马小跑的步态；小跑的马蹄声；刚学步的小孩；老太婆；腹泻；（学生作弊用的）译文对照本
vi. （马）小跑；（人）慢跑；快步走
vt. 使小跑；使快步走"
wheeze,"n. 喘息；喘气声
vt. 喘息着说；喘息地发出
vi. 喘息；呼哧呼哧地响"
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
nervous,adj. 神经的；紧张不安的；强健有力的
appointment,n. 任命；约定；任命的职位
aggressively,adv. 侵略地；攻击地；有闯劲地
currently,adv. 当前；一般地
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
extremely,adv. 非常，极其；极端地
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
questionable,adj. 可疑的；有问题的
destination,n. 目的地，终点
estate,n. 房地产；财产；身份
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
newsletter,n. 时事通讯
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
realistically,adv. 现实地；实际地；逼真地
circumstance,n. 环境，情况；事件；境遇
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
aberration,n. 失常；离开正路，越轨
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
airsick,adj. 晕机的；患航空病的
