happy,adj. 幸福的；高兴的；巧妙的
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
sad,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
angry,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
matter,"n. 物质；事件
vi. 有关系；要紧"
stomachache,n. 腹痛，肚子痛；胃痛
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
headache,n. 头痛；麻烦；令人头痛之事
have a fever,"n. 发烧
 发热；发烧了；发高烧"
have a cold,"na. 伤风
 感冒；患感冒；受凉"
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
paper cutting,"n. 剪纸(艺术)
 中国的剪纸艺术；窗花剪纸；剪纸作品"
animal,"n. 动物
动物的"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
animal sign, 属相；生肖
were,v. 是，在（are的过去式）
was,be的第一和第三人称单数过去式
be born,"v. 出生
 出生于；出世；诞生"
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
watched cartoons,找不到解释
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
did,v. 做（do的过去式）
