umbrella,n. 雨伞；保护伞；庇护；伞形结构
maybe,"adv. 也许；可能；大概
n. 可能性；不确定性"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
raincoat,n. （美）雨衣
camera,n. 照相机；摄影机
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
sandals,"n.  凉鞋； 拖鞋（sandal的复数）；便鞋
v. 使穿凉鞋（sandal的第三人称单数）"
these,"adj. 这些的
pron. 这些"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
slippers,n. 拖鞋（slipper的复数形式）
sneakers,n. 胶底运动鞋（sneaker的复数形式）
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
e-pal, 网友（通过电子邮件交流）
New Zealand,"n. 新西兰
 纽西兰；奥克兰；区新西兰"
plays the guitar,
likes singing,
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
jumps high,
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
runs fast,
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
dances well,
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
hobby,n. 嗜好；业余爱好
goes camping,
goes fishing,
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collects stones,
stamp,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉"
collects stamps,
goes boating,
goes hiking,
editor,n. 编者，编辑；社论撰写人；编辑装置
TV station,"n. 电视台
 最喜欢的电视台；电视站；电规台"
goes to work,"vi.开始工作,着手工作"
does cleaning,
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
cooks meals,
watches TV,
washes clothes,
blog,n. 博客；部落格；网络日志
hair,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
draws pictures,
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
does exercise,
picnic,"n. 野餐
vi. 去野餐"
has a picnic,
email,"n. 电子信函
vt. 给…发电子邮件"
writes an email,
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
Internet,
surfs the Internet,
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
visit grandparents,
read a storybook,
