clever,"adj. 聪明的；机灵的；熟练的
"
careless,adj. 粗心的；无忧无虑的；淡漠的
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
helpful,adj. 有帮助的；有益的
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
all,"n. 全部
adj. 全部的
adv. 全然地；越发
pron. 全部"
but,"conj. 但是；而是；然而
adv. 仅仅，只
prep. 除…以外"
sometimes,adv. 有时，间或
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
forget,"vi. 忘记
vt. 忘记；忽略"
with,prep. 用；随着；支持；和…在一起
wear glasses, 戴眼镜；戴着眼镜；带着眼镜
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
curly,adj. 卷曲的；卷毛的；（木材）有皱状纹理的；蜷缩的
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
nice,adj. 精密的；美好的；细微的；和蔼的
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
has,v. 有，吃，得到，从事，允许，雇用，享有（have的第三人称单数）；（亲属关系中）接受；拿；买到
animal,"n. 动物
动物的"
elephant,n. 象；大号图画纸
panda,n. 熊猫；猫熊
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
sheep,n. 羊，绵羊；胆小鬼
bee,n. 蜜蜂，蜂；勤劳的人
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
fast,"n. 斋戒；绝食
adj. 快速的，迅速的；紧的，稳固的
adv. 迅速地；紧紧地；彻底地
vi. 禁食，斋戒"
why,"int. 哎呀！什么？
adv. 为什么"
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
exercise book,"n. 练习本；练习册；作业本
 练习簿；笔记本；钱一本的练习册"
pencil sharpener,"n. 卷笔刀
 转笔刀；铅笔刀；削铅笔机"
a pair of scissors, 一把剪刀；一副剪刀；一双剪刀
pencil box, 铅笔盒；文具盒；你的铅笔盒
a box of crayons,
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
also,"conj. 并且；另外
adv. 也；而且；同样"
saleswoman,n.  女售货员； 女店员
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
how much,"conj. 多少
 多少钱；做多少；有多少"
a lot,"n. 许多
adv. 常
 很多；非常；大量"
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
cartoons,"n. 卡通动画；动漫图书（cartoon的复数）
v. 画漫画（cartoon的三单形式）"
news shows,新闻节目
nature shows,
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
clean the room, 打扫房间；清扫房间；清洁房间
make the bed, 铺床；整理床铺；整理被物
take out the rubbish,
wash clothes, 洗衣服；爱洗衣服的小羊；清洗衣物
tidy the desk,
sweep the floor, 扫地；清扫地板；打扫地板
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
