border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
circus,n. 马戏；马戏团
cling,vi. 坚持，墨守；紧贴；附着
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
conjurer,n. 魔术师；巫师
creator,
crossroads,n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
curiosity,n. 好奇，好奇心；珍品，古董，古玩
daze,"n. 迷乱，眼花缭乱
vt. 使茫然；使眼花缭乱；使晕眩"
exertion,n. 发挥；运用；努力
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
hatred,n. 憎恨；怨恨；敌意
intricate,adj. 复杂的；错综的，缠结的
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
irritated,"v. 激怒；使…无效；使…兴奋（irritate的过去分词）
adj. 恼怒的，生气的"
joyfully,adv. 高兴地，喜悦地
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
misgivings,n. 疑虑，担忧
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
observant,adj. 善于观察的；机警的；严格遵守的
opportunity,n. 时机，机会
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
paradise,"n. 天堂
至福境地"
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
rivalry,n. 竞争；对抗；竞赛
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
startled,"v. 震惊（startle的过去分词）
adj. 受惊吓的"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
sweetheart,"n. 爱人；心上人
vt. 向…求爱；与…恋爱
vi. 爱慕；恋爱
adj. 私下签订的；私下达成的"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
unclouded,adj. 晴朗的；明朗的；清晰的
vain,adj. 徒劳的；自负的；无结果的；无用的
snap course,= gut course
budgetwise,
impassioned,"adj. 充满激情的；感激的
v. 使充满激情（impassion的过去式和过去分词）"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
coast toward,
profusely,adv. 丰富地
irreverently,adv. 不逊地；不敬地
budge,"n. 羔羊皮
vt. 使让步；移动；使改变态度或意见
vi. 挪动；微微移动；改变态度或意见；服从"
ardor,n. 热情；狂热；灼热
dog-eared,adj. （书页）折角的；（衣衫）褴褛的；陈腐的
improvising,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
jovial,adj. 天性快活的；主神朱庇特的
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
spoof,"n. 诳骗；愚弄；戏弄；讽刺性文章
vi. 行骗；开玩笑
vt. 哄骗；戏弄；对…作幽默讽刺
adj. 哄骗的"
standing-room-only houses,
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
debut,"n. 初次登台；开张
vi. 初次登台"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
apparently,adv. 显然地；似乎，表面上
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
fortyish,adj. 四十几岁的；年近四十岁的
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
helpless,adj. 无助的；无能的；没用的
hopefully,adv. 有希望地，有前途地
idiot,n. 笨蛋，傻瓜；白痴
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
khaki,"n. 卡其色；卡其布
adj. 卡其色的；黄褐色的；卡其布做的"
loafer,n. 乐福鞋；懒汉鞋
mustache,n. 胡子，髭
neatly,adv. 整洁地；熟练地；灵巧地
overlit,v. 使受强光照明，用强光给…照明( overlight的过去式和过去分词 )
passion,n. 激情；热情；酷爱；盛怒
prep,"n. 预备；预习；准备功课
abbr. 准备（preparation）；预备的（preparatory）；前置词（preposition）
vt. 使准备好；使（病人）准备接受手术
vi. 上预备学校；作好准备"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
sandy,adj. 沙地的；多沙的；含沙的
savings,n. 储蓄；存款；救助；节省物（saving的复数形式）
series,n. 系列，连续； 串联；级数；丛书
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
slightly,adv. 些微地，轻微地；纤细地
teller,n. （美）出纳员；讲述者；讲故事者；计票员
withdrawal,n. 撤退，收回；提款；取消；退股
Stephen Leacock, 李科克；李格；斯蒂芬
irresponsible,adj. 不负责任的；不可靠的
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
accountant,n. 会计师；会计人员
Pinkerton's,
a rival agency,
Baron Rothschild,
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
Bangkok,n. 曼谷（泰国首都）
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易； 作物物交换；讨价还价"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
colorful,adj. 华美的；有趣的；富有色彩的
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
condemn,vt. 谴责；判刑，定罪；声讨
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
employment,n. 使用；职业；雇用
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
fashionable,adj. 流行的；时髦的；上流社会的
fate,"n. 命运
vt. 注定"
fertile,adj. 富饶的，肥沃的；能生育的
forefathers,n. 祖先；先人（forefather的复数）
fortunately,adv. 幸运地
gardener,n. 园丁；花匠；园艺家
greed,n. 贪婪，贪心
hairdresser,n. 美发师
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
infancy,n. 初期；婴儿期；幼年
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
lust,"n. 性欲；强烈的欲望
vi. 贪求，渴望"
monk,n. 僧侣，修道士；和尚
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
ripen,"vt. 使成熟
vi. 成熟"
ripple,"n. 波纹；涟漪； 涟波
vt. 在…上形成波痕
vi. 起潺潺声"
scarcity,n. 不足；缺乏
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
sheaf,"n. 捆；束；扎
vt. 捆；束；扎"
shimmer,"n. 微光；闪光
vt. 使闪烁
vi. 闪烁；发闪烁的微光"
sickness,n. 疾病；呕吐；弊病
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
surely,adv. 当然；无疑；坚定地；稳当地
textile,"n. 纺织品，织物
adj. 纺织的"
