are,"v. 是（be的第二人称单复数现在式）
n. 公亩"
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
brother,"n. 兄弟；同事；战友
int. 我的老兄！"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
dance,"n. 舞蹈；舞会；舞曲
adj. 舞蹈的；用于跳舞的
vt. 跳舞；使跳跃
vi. 跳舞；跳跃；飘扬"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
father,"n. 父亲，爸爸；神父；祖先；前辈
vt. 发明，创立；当…的父亲"
French fries,
friend,n. 朋友；助手；赞助者
hamburgers,n. 汉堡包( hamburger的名词复数 )
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
juice,n. （水果）汁，液；果汁
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
lion,n. 狮子；名人；勇猛的人；社交场合的名流
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
my,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷"
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
noodles,n. 面条，挂面（noodle的复数形式)
octopus,"n. 章鱼
章鱼肉"
ostrich,n. 鸵鸟；鸵鸟般的人
panda,n. 熊猫；猫熊
pants,n. 裤子
peacock,"n. 孔雀；雄孔雀；爱虚荣的人
vi. 炫耀；神气活现地走"
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
quilt,"n. 被子；棉被
vt. 东拼西凑地编；加软衬料后缝制
vi. 缝被子"
rabbit,"n. 兔子，野兔
vt. 让…见鬼去吧
vi. 猎兔"
rain,"n. 雨；下雨；雨天；雨季
vt. 大量地给；使大量落下
vi. 下雨；降雨"
rectangle,n. 矩形；长方形
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
run,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转"
salad,n. 色拉；尤指莴苣
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
shirt,n. 衬衫；汗衫，内衣
shoes,"n. 鞋子（shoe的复数）
v. 穿鞋（shoe的第三人称单数）"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
socks,n. 袜子（sock的复数）
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
tomato,n. 番茄，西红柿
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
these,"adj. 这些的
pron. 这些"
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
tiger,n. 老虎；凶暴的人
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
umbrella,n. 雨伞；保护伞；庇护；伞形结构
violin,n. 小提琴；小提琴手
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
watermelon,n. 西瓜
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
X-ray,
yo-yo,"n. 溜溜球（一种线轴般的玩具）；优柔寡断
adj. 上下起落的；摇摆不定的
vi. 摇摆不定；上下起落"
zebra,"n.  斑马
adj. 有斑纹的"
zoo,n. 动物园; <美俚>（铁路货车的最后一节）守车; <美俚>核粒子园
