acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
appreciative,adj. 感激的；赏识的；有欣赏力的；承认有价值的
compensatory,adj. 补偿的，赔偿的
enthusiastic,adj. 热情的；热心的；狂热的
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
profound,adj. 深厚的；意义深远的；渊博的
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
soothing,"v. 安慰；减轻痛苦（soothe的现在分词）
adj. 抚慰的；使人宽心的"
talented,adj. 有才能的；多才的
tolerance,n. 公差；宽容；容忍；公差
appreciation,n. 欣赏，鉴别；增值；感谢
confident,adj. 自信的；确信的
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
supportive,adj. 支持的；支援的；赞助的
sympathy,n. 同情；慰问；赞同
tolerant,adj. 宽容的；容忍的；有耐药力的
understanding,"n. 谅解，理解；理解力；协议
v. 理解；明白（understand的ing形式）
adj. 了解的；聪明的；有理解力的"
arrogant,adj. 自大的，傲慢的
biased,adj. 有偏见的；结果偏倚的，有偏的
conservative,找不到解释
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
guilty,adj. 有罪的；内疚的
impulsive,adj. 冲动的；受感情驱使的；任性的
insulted,"vt. 侮辱；辱骂；损害
n. 侮辱；凌辱；无礼"
questionable,adj. 可疑的；有问题的
ambiguous,adj. 模糊不清的；引起歧义的
contemptuous,adj. 轻蔑的；侮辱的
criticism,n. 批评；考证；苛求
disapproval,n. 不赞成；不喜欢
enraged,"v. 使发怒；触怒（enrage的过去分词）
adj. 暴怒的；忿怒填胸的"
harmful,adj. 有害的；能造成损害的
indulgence,n. 嗜好；放纵；纵容；沉溺
misleading,"adj. 令人误解的；引入歧途的
v. 给…带错路；把…引入歧途（mislead的ing形式）"
self-centered,adj. 自我中心的；利己主义的
skepticism,n. 怀疑论；怀疑的态度
unworthy,adj. 不值得的；无价值的；不相称的
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
uneasy,adj. 不舒服的；心神不安的；不稳定的
cautious,adj. 谨慎的；十分小心的
curiosity,n. 好奇，好奇心；珍品，古董，古玩
objectiveness,"n. 客观, 客观性"
cautiousness,n. 谨慎；小心
indifference,n. 漠不关心；冷淡；不重视；中立
puzzled,adj. 困惑的；茫然的；搞糊涂的
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
music director, 音乐总监；音乐指导；音乐导演
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
announcement,n. 公告；宣告；发表；通告
appointment,n. 任命；约定；任命的职位
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
Hooray,找不到解释
sober-sided,"音节分段：so.ber-sid.ed; AHD音标：s?“b…r-so“d1d; 国际音标：6s*&b*6sa!d!d; 美国音标：6sob+6sa!d!d; Devoid of extreme qualities, such as exaggeration; sober.; 继承用法："
comparatively,adv. 比较地；相当地
unpretentious,adj. 谦逊的；含蓄的；不炫耀的；不铺张的
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
description,n. 描述，描写；类型；说明书
orchestra,n. 管弦乐队；乐队演奏处
hitherto,adv. 迄今；至今
strike sb. as,找不到解释
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
conductor,n. 导体；售票员；领导者；管理人
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
composition,n. 作文，作曲，作品； 构成；合成物；成分
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
concertgoer,n. 常去听音乐会者
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
compete with,"v. 竞争
 与……竞争；与…抗争；高下"
dance troupe,找不到解释
performance,n. 性能；绩效；表演；执行；表现
widespread,adj. 普遍的，广泛的；分布广的
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
response,n. 响应；反应；回答
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
be capable of doing,找不到解释
markedly,adv. 明显地；显著地；引人注目地
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
audience,n. 观众；听众；读者；接见；正式会见；拜会
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
president,n. 总统；董事长；校长；主席
explanation,n. 说明，解释；辩解
straight up,"un. 真的
 不加冰块的；净饮；快快说清楚"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
 排队；整队；排成一行"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
succession,n. 连续；继位；继承权； 演替
in response to,"na. 应…而
 响应；回答；对…做出反应"
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
cautious of doing,找不到解释
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
reputation,n. 名声，名誉；声望
sign of,找不到解释
recovery,n. 恢复，复原；痊愈；重获
take hold,"un. 抓住
 固定下来；生根；扛着"
deputy,"n. 代理人，代表
adj. 副的；代理的"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
stick with sb.,找不到解释
stick with sth.,找不到解释
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
abound,vi. 富于；充满
aspiring,"v. 立志（aspire的ing形式）
adj. 有抱负的；追求…的；高耸的"
senior position,找不到解释
unconventional,adj. 非常规的；非传统的；不依惯例的
adhere to the rule,找不到解释
candidate,n. 候选人，候补者；应试者
poach,"vt. 水煮；偷猎；窃取；把…踏成泥浆
vi. 偷猎；侵犯；剽窃"
instruct,vt. 指导；通知；命令；教授
sitting,"n. 入席，就坐；开庭；孵卵；坐着的一段时间
v. 坐；坐落（sit的ing形式）
adj. 坐着的；孵卵中的；在任期中的"
land in top position,找不到解释
commodity,n. 商品，货物；日用品
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
