assignment,n. 分配；任务；作业；功课
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
creative,adj. 创造性的
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
actually,adv. 实际上；事实上
fiction,n. 小说；虚构，编造；谎言
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
ignore,vt. 驳回诉讼；忽视；不理睬
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
related to,"prep. 关于
 与…有关；与…有关系；与……相关"
be related to,"na. 和…有(亲戚)关系
 与……有关；与…有关系；与…相关"
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
science fiction,"n. 科幻小说；科幻电影
 科幻机械类的作品；科幻片；科学幻想"
hand in,"na. 交进
 上交；交上；递交"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
Peabody,
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
expectation,n. 期待；预期；指望
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
adult,"n. 成年人
adj. 成年的；成熟的"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
behaviour,n. 行为；习性；运行状况（=behavior）
shortage,n. 缺乏，缺少；不足
genuine,adj. 真实的，真正的；诚恳的
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
under pressure,"un. 在压力下
 在压力之下；处于压力之下；承受压力"
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
confusing,"v. 使迷惑；使混乱不清；使困窘（confuse的ing形式）
adj. 混乱的；混淆的；令人困惑的"
Mexican,"adj. 墨西哥的；墨西哥人的
n. 墨西哥人；墨西哥语"
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
immediate,adj. 立即的；直接的；最接近的
confusion,n. 混淆，混乱；困惑
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
torn,v. 扯裂，撕开（tear的过去分词）
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
obviously,"adv. 明显地
显然地"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
memory,n. 记忆，记忆力；内存， 存储器；回忆
fluency,"n. （语言、文章）流利；（技能）娴熟
n. 流畅度（写作演讲等）"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
context,n. 环境；上下文；来龙去脉
linguist,"n. 语言学家
学多种外语的人"
within,"prep. 在…之内
n. 里面
adv. 在内部"
attitude,n. 态度；看法；意见；姿势
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
appointment,n. 任命；约定；任命的职位
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
ironically,adv. 讽刺地；说反话地
set foot on,"na. 踏上；“set foot on/in”的变体
 踏足于；踏上……的土地；登上"
Mexico,n. 墨西哥
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
amazed,"v. 使…吃惊；把…弄糊涂（amaze的过去分词）
adj. 惊奇的，吃惊的"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
gravy,n. 肉汁；不法利润；轻易得来的钱
salty,adj. 咸的；含盐的
based,"v. 立基于，以…为基础（base的过去式和过去分词）
adj. 有根基的"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
savoury,"n. 开胃的菜肴
adj. 可口的；开胃的；令人愉快的"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
pants,n. 裤子
underwear,n. 内衣物
disgusted,"adj. 厌恶的；厌烦的
v. 使恶心；使讨厌（disgust的过去分词）"
eggplant,"n. 茄子
adj. 深紫色的"
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
aubergine,"n. （英）茄子；紫红色
adj. 紫红色的"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
vocabulary,n. 词汇；词表；词汇量
all the way,"na. 路上一直；老远；(从…到…)逐一
 一路上；自始至终；天长地久"
on earth,"na. 到底；在地球上；全然
 究竟；在世上；在人间"
California,n. 加利福尼亚（美国一个州）
Las Vegas,"n. 拉斯维加斯；拉斯维加斯
 拉斯韦加斯；美国拉斯维加斯；赌城拉斯维加斯"
attraction,n. 吸引，吸引力；引力；吸引人的事物
decoration,n. 装饰，装潢；装饰品；奖章
relic,n. 遗迹，遗物；废墟；纪念物
political,adj. 政治的；党派的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
outdoor,adj. 户外的；露天的；野外的（等于out-of-door）
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
temple,n. 庙宇；寺院；神殿；太阳穴
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
masterpiece,n. 杰作；绝无仅有的人
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
ceiling,n. 天花板；上限
breathtaking,adj. 惊人的；惊险的；令人激动的
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
effort,n. 努力；成就
region,n. 地区；范围；部位
pasta,n. 意大利面食；面团
onion,n. 洋葱；洋葱头
bacon,n. 咸肉；腌肉；熏猪肉
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
opportunity,n. 时机，机会
sparkly,adj. 耀眼的
tourist attraction,"na. 旅游胜地；吸引游客的事物
 旅游景点；旅游景区；观光景点"
tear ... away,"na. 撕掉；扯开；飞跑
 撕开；勉强离去；扯掉"
tear ... away from,
make an effort,"na. 努力作出
 作出努力；做出努力；尽一番努力"
Eleanor,n. 埃莉诺（女子名）
Rome,n. 罗马（意大利首都）
Roman Forum,"n. 古罗马广场
 罗马古墟；罗马论坛；罗马市集"
Coliseum,
Renaissance,
Vatican City,"na. 梵蒂冈城
 梵谛冈；梵帝冈；梵帝冈城"
Sistine Chapel,"na. (罗马教廷中的主要教堂)西斯廷教堂
 西斯汀教堂；西斯廷礼拜堂；梵蒂冈西斯汀教堂"
Michelangelo,n. 米开朗基罗（意大利文艺复兴时期成就卓著的科学家，艺术家）
Amsterdam,n. 阿姆斯特丹（荷兰首都）；阿姆斯特丹（美国纽约东部城市）
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
analyse,vt. 分析；分解；细察
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
obstacle,n. 障碍，干扰；妨害物
practical,adj. 实际的；实用性的
setback,n. 挫折；退步；逆流
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
rooted,"v. 生根（root的过去式）
adj. 根深蒂固的；生根的"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
maintain,vt. 维持；继续；维修；主张；供养
alongside,"prep. 在……旁边
adv. 在旁边"
