alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
alpine,adj. 阿尔卑斯山的，高山的
appall,vt. 使胆寒；使惊骇
atop,"prep. 在…的顶上
adv. 在顶上"
backcountry,"n. 偏僻地区；边远地区；穷乡僻壤
adj. 偏僻地区的"
bizarre,adj. 奇异的（指态度，容貌，款式等）
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
broadband,"n. 宽频；宽波段
adj. 宽频带的；宽波段的；宽频通讯的"
cacophony,n. 刺耳的音调；不和谐音
civilization,n. 文明；文化
compass,"n. 指南针，罗盘；圆规
vt. 包围"
constellation,n.  星座；星群；荟萃；兴奋丛
counselor,n. 顾问；法律顾问；参事（等于counsellor）
coverage,n. 覆盖，覆盖范围；新闻报道
delete,vt. 删除
endanger,vt. 危及；使遭到危险
enforce,vt. 实施，执行；强迫，强制
escapade,n. 越轨行为；恶作剧
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
formerly,adv. 以前；原来
heavenly,"adj. 天上的；神圣的；天国似的
adv. 无比；极其"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
inability,n. 无能力；无才能
inessential,"n. 无关紧要的东西
adj. 无关紧要的"
intentional,adj. 故意的；蓄意的；策划的
jibber-jabberer,
outpost,n. 前哨；警戒部队；边区村落
persistent,adj. 固执的，坚持的；持久稳固的
playa,n. 沙漠之中的干盐湖；河岸
populate,vt. 居住于；构成人口；移民于；殖民于
prominent,adj. 突出的，显著的；杰出的；卓越的
protagonist,n. 主角，主演；主要人物，领导者
reductionism,n. 还原论；简化论
router,n.  路由器；刳刨者
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
smug,"n. 书呆子；自命不凡的家伙
adj. 自鸣得意的；自以为是的；整洁的"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
sparsely,adv. 稀疏地；贫乏地
species,"n.  物种；种类
adj. 物种上的"
squint,"n. 斜视；斜孔小窗；一瞥
adj. 斜视的；斜的
vt. 使斜眼；眯眼看
vi. 眯眼看；斜视；窥视；偏移"
timer,n.  定时器；计时器；计时员，记时员；跑表；延时调节器
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
trailhead,n. 小道的起点
unfold,"vi. 展开；显露
vt. 打开；呈现"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
wilderness,n. 荒地；大量，茫茫一片
free of,"na. 无…的；离开；可自由进入并使用的
 摆脱了…的；没有；摆脱…的"
be free of,"un. 把…拯救出来；无；甩掉；不与…接触
 摆脱；免于；远离"
draw the line,"na. 划界线
 划定界限；拒不容忍；划一界线"
draw the line at,"un. 拒绝做到…以上
 画清底线；划定界线；最后底线"
get away from it all, 远离这一切；用出走的办法来摆脱烦恼；摆脱一切
have a point, 有道理；很有道理；有点道理
live with,"v. 和…住在一起；和…同居；和…妥协；容忍
 忍受；接受；与……住在一起"
off the grid,"adj. 不入网的（不使用公用输电网、煤气输送网、自来水网等）
 表示没有上网；脱离生活；变数"
save for,"v. 除了…而外；例外
 储蓄；除…之外；留供…用"
serve up sth.,
sniff at,"v. 嗤之以鼻
 对…嗤之以鼻；用鼻吸；轻蔑地批评"
alienate,vt. 使疏远，离间；让与
alienation,n. 异化；疏远；转让； 精神错乱；间离效果（alienation effect）
brow,n. 眉，眉毛；额；表情
bunny,n. 兔子（特别是小兔子）；可爱女郎
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
combo,n. 联合体；结合物；小型爵士乐团
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
conscious,adj. 意识到的；故意的；神志清醒的
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
demonstration,n. 示范；证明；示威游行
dilemma,n. 困境；进退两难；两刀论法
disengaged,"adj. 空闲的；自由的；已脱离的
v. 脱离（disengage的过去分词）"
enlightening,"adj. 使人领悟的；有启发作用的
v. 启蒙；通知（enlighten的ing形式）"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
flashback,n. 倒叙；闪回；迷幻药效幻觉重现
furrow,"n. 皱纹；犁沟；车辙
vt. 犁；耕；弄绉
vi. 犁田；开沟；犁出浪迹"
hysterically,adv. 歇斯底里地
individualism,n. 个人主义；利己主义；个人特征
inevitable,adj. 必然的，不可避免的
interaction,"n. 相互作用； 交互作用
n. 互动"
invaluable,adj. 无价的；非常贵重的
manifestation,n. 表现；显示；示威运动
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
mode,n. 模式；方式；风格；时尚
modestly,adv. 谨慎地；适当地
